city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Tirana,401159.1547657007,4575786.511304637,34,T,Albania,AL,Tiranë,primary,895350,421286
Elbasan,422944.40294627787,4551651.569360549,34,T,Albania,AL,Elbasan,admin,165010,100903
Shkodër,376983.6263199374,4658340.35025747,34,T,Albania,AL,Shkodër,admin,155767,88245
Durrës,369558.4504181776,4575792.013436912,34,T,Albania,AL,Durrës,admin,142432,122034
Vlorë,371962.6343499945,4480650.112717386,34,T,Albania,AL,Vlorë,admin,89546,89471
Fier,378059.4413694141,4509109.40014789,34,T,Albania,AL,Fier,admin,82297,57198
Korçë,481461.87512382644,4496443.75193135,34,T,Albania,AL,Korçë,admin,58259,58259
Berat,411488.905999884,4506630.413432044,34,T,Albania,AL,Berat,admin,46866,46866
Lushnjë,390991.6788164426,4533119.661102522,34,T,Albania,AL,Fier,,41469,41469
Pogradec,470731.66800889844,4527991.844756882,34,T,Albania,AL,Korçë,,40000,30000
Gjirokastër,426576.7199918336,4436529.225457749,34,T,Albania,AL,Gjirokastër,admin,23437,23437
Krujë,399255.1962182584,4595985.388091987,34,T,Albania,AL,Durrës,,21286,21286
Lezhë,387286.11717572575,4626640.323556203,34,T,Albania,AL,Lezhë,admin,18695,18695
Kukës,452184.4087231857,4658480.9279075675,34,T,Albania,AL,Kukës,admin,17832,17832
Burrel,417419.11977596185,4606981.640237307,34,T,Albania,AL,Dibër,,15405,15405
Sarandë,414936.1237981636,4414418.734358952,34,S,Albania,AL,Vlorë,,15147,15147
Peshkopi,452469.3046852842,4614960.63964155,34,T,Albania,AL,Dibër,admin,14848,14848
Çorovodë,434523.27695703635,4484004.072128903,34,T,Albania,AL,Berat,,14046,14046
Librazhd-Katund,446392.90860552085,4562297.426190474,34,T,Albania,AL,Elbasan,,12691,12691
Tepelenë,416638.1372743806,4461054.115696815,34,T,Albania,AL,Gjirokastër,,11955,11955
Gramsh,431275.2782280027,4524615.194251348,34,T,Albania,AL,Elbasan,,11556,11556
Përmet,444847.3449104763,4453887.833123137,34,T,Albania,AL,Gjirokastër,,10686,10686
Rrëshen,406537.3181459236,4624573.481033871,34,T,Albania,AL,Lezhë,,10064,10064
Bajram Curri,423663.24101722805,4689855.471367416,34,T,Albania,AL,Kukës,,7967,7967
Ersekë,472725.572421922,4465297.841785918,34,T,Albania,AL,Korçë,,7890,7890
Pukë,408940.44064382056,4655296.393391019,34,T,Albania,AL,Shkodër,,6495,6495
