city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Buenos Aires,368399.5085931322,6169669.228957082,21,H,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",primary,12795000,10929146
Córdoba,387735.40634548827,6523967.721729312,20,J,Argentina,AR,Córdoba,admin,1452000,1296935
Rosario,720683.076925562,6352135.412081463,20,H,Argentina,AR,Santa Fe,minor,1203000,986569
Mendoza,516164.826113296,6360800.644449366,19,H,Argentina,AR,Mendoza,admin,893000,762630
San Miguel de Tucumán,279109.2677446359,7031108.214232697,20,J,Argentina,AR,Tucumán,admin,830000,527607
La Plata,412812.7307576976,6135251.56005742,21,H,Argentina,AR,Buenos Aires,admin,694253,186524
Mar del Plata,451050.8909331105,5793785.595558219,21,H,Argentina,AR,Buenos Aires,minor,555897,553935
Salta,256172.64257696894,7256607.208652869,20,J,Argentina,AR,Salta,admin,512686,456606
Santa Fe,718044.6501231213,6498337.174324462,20,J,Argentina,AR,Santa Fe,admin,489505,297503
San Juan,544009.1414877023,6510733.944204817,19,J,Argentina,AR,San Juan,admin,447048,420736
San Luis,748098.8110728642,6312839.191717358,19,H,Argentina,AR,San Luis,admin,432310,183982
Resistencia,303953.9208757727,6960986.2794997245,21,J,Argentina,AR,Chaco,admin,387158,349753
Posadas,609171.8834141603,6972423.040489107,21,J,Argentina,AR,Misiones,admin,357119,312060
Santiago del Estero,375727.69587924256,6924855.776333523,20,J,Argentina,AR,Santiago del Estero,admin,354692,280407
Corrientes,318791.5948786776,6958993.8530442305,21,J,Argentina,AR,Corrientes,admin,340823,339067
San Salvador de Jujuy,266668.67766979197,7322314.477833748,20,J,Argentina,AR,Jujuy,admin,305891,211587
Bahía Blanca,563249.6714012269,5714088.307835239,20,H,Argentina,AR,Buenos Aires,minor,281536,276546
Paraná,734600.8493612143,6486605.821496099,20,J,Argentina,AR,Entre Ríos,admin,262295,191409
Neuquén,581530.2552120341,5688172.857684748,19,H,Argentina,AR,Neuquén,admin,242092,185555
Formosa,382267.2797280687,7104121.114031168,21,J,Argentina,AR,Formosa,admin,221383,183161
La Rioja,708536.6898609216,6744551.034126593,19,J,Argentina,AR,La Rioja,admin,162620,131640
Río Cuarto,374077.77181842306,6333415.862911581,20,H,Argentina,AR,Córdoba,minor,153757,118162
Concordia,402939.2276066431,6526396.548894718,21,J,Argentina,AR,Entre Ríos,minor,145210,120311
Comodoro Rivadavia,616699.2142175911,4919948.883771622,19,G,Argentina,AR,Chubut,minor,140850,105732
San Martín,549639.1564843286,6339604.136452489,19,H,Argentina,AR,Mendoza,minor,117399,82549
Santa Rosa,385240.6346759375,5946883.981221067,20,H,Argentina,AR,La Pampa,admin,111424,83963
San Rafael,561416.0373502424,6169145.3474420905,19,H,Argentina,AR,Mendoza,minor,109163,49884
Tandil,310990.32253549155,5867308.534146157,21,H,Argentina,AR,Buenos Aires,minor,104325,65274
San Carlos de Bariloche,306855.24458474305,5443116.16155708,19,G,Argentina,AR,Río Negro,minor,95394,88512
Trelew,312210.412738647,5208815.949996639,20,G,Argentina,AR,Chubut,,93442,92815
Villa María,477416.38675210334,6414367.632322019,20,H,Argentina,AR,Córdoba,minor,92453,60949
Reconquista,242215.0611257867,6772490.360157723,21,J,Argentina,AR,Santa Fe,minor,90184,83097
Zárate,312865.6502053834,6225104.489416365,21,H,Argentina,AR,Buenos Aires,minor,88781,83603
Rafaela,644098.1923699409,6541667.0915623875,20,J,Argentina,AR,Santa Fe,minor,88713,50585
