city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Minsk,537233.5441622826,5972544.479704769,35,U,Belarus,BY,,primary,1805000,1577138
Horad Homyel’,362928.5893977307,5812076.167050401,36,U,Belarus,BY,Homyel’skaya Voblasts’,admin,480951,463724
Horad Mahilyow,325060.6443173945,5977228.143861813,36,U,Belarus,BY,Mahilyowskaya Voblasts’,admin,369200,317854
Horad Vitsyebsk,321417.7817760955,6119804.0978569025,36,U,Belarus,BY,Vitsyebskaya Voblasts’,admin,342700,323937
Hrodna,686697.7751746499,5960086.061482961,34,U,Belarus,BY,Hrodzyenskaya Voblasts’,,317365,254369
Brest,684097.7216954645,5775296.139168777,34,U,Belarus,BY,Brestskaya Voblasts’,admin,300715,232835
Babruysk,648591.4172522245,5889971.715757998,35,U,Belarus,BY,Mahilyowskaya Voblasts’,minor,220517,205126
Baranavichy,434026.4529359638,5887486.6896499405,35,U,Belarus,BY,Brestskaya Voblasts’,minor,168772,144257
Horad Barysaw,598108.8752106718,6009923.952243586,35,U,Belarus,BY,Minskaya Voblasts’,minor,155389,100000
Orsha,332785.42503872607,6043124.998533688,36,U,Belarus,BY,Vitsyebskaya Voblasts’,minor,135206,125347
Pinsk,438049.01780369517,5775093.80701167,35,U,Belarus,BY,Brestskaya Voblasts’,minor,130777,110900
Mazyr,653981.9941138861,5768923.744213167,35,U,Belarus,BY,Homyel’skaya Voblasts’,minor,112137,89735
Maladzyechna,490502.5575224877,6018768.6186252395,35,U,Belarus,BY,Minskaya Voblasts’,minor,101300,90810
Lida,388241.14816414524,5971881.092558957,35,U,Belarus,BY,Hrodzyenskaya Voblasts’,,100216,98036
Polatsk,612825.4886721083,6150535.4956931295,35,U,Belarus,BY,Vitsyebskaya Voblasts’,minor,82258,76174
Vyetka,376583.2722616293,5824782.94598754,36,U,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Horad Kobryn,320088.8454810204,5788344.013116727,35,U,Belarus,BY,Brestskaya Voblasts’,minor,,
Horad Pinsk,436518.70143095654,5774945.038364004,35,U,Belarus,BY,Brestskaya Voblasts’,minor,,
Horad Luninyets,486308.6431467317,5788894.38588792,35,U,Belarus,BY,Brestskaya Voblasts’,minor,,
Byaroza,362886.3151465305,5822064.742419485,35,U,Belarus,BY,Brestskaya Voblasts’,minor,,
Dobrush,385976.6993591651,5807840.673016043,36,U,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Brahin,311553.89844397083,5740879.803771109,36,U,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Asipovichy,609196.2535091637,5907018.370221118,35,U,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Slawharad,367257.5896332351,5923401.360613602,36,U,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Klyetsk,475346.38056999666,5879397.68367305,35,U,Belarus,BY,Minskaya Voblasts’,minor,,
Horad Smalyavichy,571365.721658928,5986841.141429073,35,U,Belarus,BY,Minskaya Voblasts’,minor,,
Chachersk,360008.13200130325,5865000.357682648,36,U,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Chavusy,366448.96497725253,5964268.397759699,36,U,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Pastavy,490489.26161679195,6107442.985695275,35,U,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Kapyl’,506105.69287853135,5889138.887236355,35,U,Belarus,BY,Minskaya Voblasts’,minor,,
Kastsyukovichy,436859.62718329113,5911903.79112934,36,U,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Krychaw,415323.6396070655,5952299.290782424,36,U,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Shklow,323140.08986477123,6010628.557578796,36,U,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Salihorsk,536518.2072494747,5848780.637353407,35,U,Belarus,BY,Minskaya Voblasts’,minor,,
Horad Orsha,332043.20857050887,6043951.835124668,36,U,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Braslaw,502631.06863622554,6166159.212352815,35,U,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Krupki,639026.0086612072,6020987.926897071,35,U,Belarus,BY,Minskaya Voblasts’,minor,,
Mahilyow,325631.63676064217,5977530.934758891,36,U,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
