city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Nyaunggon,197282.24027715466,1853760.167520445,47,Q,Burma,MM,Yangon,,4088000,3301820
Mandalay,199199.19472071162,2432332.217885149,47,Q,Burma,MM,Mandalay,admin,1300000,1034000
Nay Pyi Taw,199175.62471831363,2185810.496745467,47,Q,Burma,MM,Nay Pyi Taw,primary,930000,194824
Mawlamyine,353585.6920368285,1823692.1305000521,47,Q,Burma,MM,Mon State,admin,438861,361637
Bago,232316.6273283048,1918392.5619557484,47,Q,Burma,MM,Bago,admin,284318,244376
Myeik,456558.2932533236,1375190.1888925917,47,P,Burma,MM,Taninthayi,,266720,173298
Pathein,684610.9148033331,1855933.7258155302,46,Q,Burma,MM,Ayeyawady,admin,237089,194940
Monywa,720331.2218259731,2446389.3119517034,46,Q,Burma,MM,Sagaing,,226222,182011
Hinthada,760685.0591473777,1953096.655405064,46,Q,Burma,MM,Ayeyawady,,180728,134947
Sittwe,489376.31047120906,2227667.7172085852,46,Q,Burma,MM,Rakhine State,admin,179032,177743
Letpandan,791642.1819560429,1968720.4407042135,46,Q,Burma,MM,Bago,,176571,38936
Myingyan,747508.2135927066,2374949.234010978,46,Q,Burma,MM,Mandalay,,163812,141713
Taunggyi,295751.16059108474,2300058.499014391,47,Q,Burma,MM,Shan State,admin,160115,160115
Mudon,363708.4450397724,1797704.13276502,47,Q,Burma,MM,Mon State,,152300,89123
Dawei,413009.65426428756,1556031.3561883373,47,P,Burma,MM,Taninthayi,admin,146212,136783
Myitkyina,338475.7006756872,2808706.0561361406,47,R,Burma,MM,Kachin State,admin,139100,90894
Pyay,734172.7011077406,2082890.5716575265,46,Q,Burma,MM,Bago,,135308,114359
Pakokku,716175.6657341169,2360642.151343855,46,Q,Burma,MM,Magway,,126938,123773
Magway,701983.6437065769,2229205.0905302893,46,Q,Burma,MM,Magway,admin,125973,96954
Yenangyaung,695182.0482399903,2264058.069836079,46,Q,Burma,MM,Magway,,110553,98462
Taungoo,229773.97239003918,2096475.4495387785,47,Q,Burma,MM,Bago,,106945,104236
Chauk,689075.7773056533,2312063.660864337,46,Q,Burma,MM,Magway,,90870,79163
Shwebo,777456.0376923373,2498346.1183222174,46,Q,Burma,MM,Sagaing,,88914,74603
Sagaing,808360.7561859514,2422466.9935870147,46,Q,Burma,MM,Sagaing,admin,78739,78739
Pyapon,786289.1382063241,1802385.996751041,46,Q,Burma,MM,Ayeyawady,,65601,60753
Allanmyo,732440.5026631195,2143617.8359045223,46,Q,Burma,MM,Magway,,57897,38996
Chaungwa,236579.5594175121,1850481.2081164613,47,Q,Burma,MM,Yangon,,52496,19489
Ye,377045.2001076093,1685908.2879184876,47,P,Burma,MM,Mon State,,50798,50798
Hpa-an,354589.76584144315,1867838.049512023,47,Q,Burma,MM,Kayin State,admin,50000,50000
Namtu,336452.1301669338,2552893.9628592343,47,Q,Burma,MM,Shan State,,48591,48591
Wakema,732873.0563124816,1836942.449512059,46,Q,Burma,MM,Ayeyawady,,48405,42705
Pyu,229390.9353855921,2045355.5940363298,47,Q,Burma,MM,Bago,,40386,34918
Nyaungdon,780981.0444150814,1886385.9088385608,46,Q,Burma,MM,Ayeyawady,,36172,36172
Haka,562755.3668955973,2504297.5595443062,46,Q,Burma,MM,Chin State,admin,20000,20000
Loikaw,312329.26556548267,2176834.395734454,47,Q,Burma,MM,Kayah State,admin,17293,17293
Kyaukpyu,557879.0167170733,2148270.5809501596,46,Q,Burma,MM,Rakhine State,,4261,4261
Labutta,688080.409368219,1786273.3283472713,46,Q,Burma,MM,Ayeyawady,,1667,1667
Rangoon,196872.01726510545,1860190.4296902437,47,Q,Burma,MM,Yangon,primary,,
