city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Kinshasa,534083.7129440665,9521708.53911102,33,M,Congo (Kinshasa),CD,Kinshasa,primary,7843000,5565703
Lubumbashi,552223.9090192338,8709731.848614193,35,L,Congo (Kinshasa),CD,Haut-Katanga,admin,1352000,876634
Mbuji-Mayi,788891.1345852589,9321252.905219985,34,M,Congo (Kinshasa),CD,Kasaï Oriental,admin,1295000,874761
Kananga,656818.1253575452,9348065.9791731,34,M,Congo (Kinshasa),CD,Kasaï Central,admin,765000,463546
Kikwit,258241.3914462105,9442316.513846073,34,M,Congo (Kinshasa),CD,Kwilu,admin,637736,294210
Kisangani,298676.5596162916,56982.52718356177,35,N,Congo (Kinshasa),CD,Tshopo,admin,578470,539158
Bukavu,704901.6124040626,9724550.650105922,35,M,Congo (Kinshasa),CD,Sud-Kivu,admin,436779,225389
Likasi,471419.5385422523,8785884.404973162,35,L,Congo (Kinshasa),CD,Haut-Katanga,,434408,422414
Kolwezi,332954.1501791583,8814934.404108677,35,L,Congo (Kinshasa),CD,Lualaba,admin,418000,418000
Beni,775265.5554832736,54335.91252695306,35,N,Congo (Kinshasa),CD,Nord-Kivu,,332903,89648
Butembo,754687.4546858937,14244.610024861666,35,N,Congo (Kinshasa),CD,Nord-Kivu,,286403,154621
Mbandaka,195026.96745490463,5383.149461881521,34,N,Congo (Kinshasa),CD,Équateur,admin,274996,184185
Tshikapa,477140.7794114543,9290457.260733973,34,M,Congo (Kinshasa),CD,Kasaï,,267462,135051
Kindu,380236.7535798835,9674568.337588849,35,M,Congo (Kinshasa),CD,Maniema,admin,262914,135698
Matadi,329837.8031351218,9354403.46081186,33,M,Congo (Kinshasa),CD,Kongo Central,admin,245862,180109
Kalemie,742499.9763224946,9345269.831650844,35,M,Congo (Kinshasa),CD,Tanganyika,admin,206257,146974
Gemena,363600.41212669783,360028.6684735925,34,N,Congo (Kinshasa),CD,Sud-Ubangi,admin,198056,117639
Ngungu,485936.89243112726,9418253.251151998,33,M,Congo (Kinshasa),CD,Kongo Central,,197545,86356
Mwene-Ditu,770987.8127322025,9224542.011490624,34,M,Congo (Kinshasa),CD,Lomami,,189177,117480
Boma,284857.5234872386,9354222.648180975,33,M,Congo (Kinshasa),CD,Kongo Central,,178638,178638
Uvira,737522.6015284644,9624446.197620308,35,M,Congo (Kinshasa),CD,Sud-Kivu,,170391,158315
Bumba,663281.0079614795,241889.0756049326,34,N,Congo (Kinshasa),CD,Mongala,,160539,95520
Isiro,568470.0315627541,306620.9501401548,35,N,Congo (Kinshasa),CD,Haut-Uélé,admin,157196,127076
Gandajika,826508.4350317973,9253446.486864805,34,M,Congo (Kinshasa),CD,Lomami,,154425,57114
Moanda,208963.94738122204,9344117.183261411,33,M,Congo (Kinshasa),CD,Kongo Central,,153915,153915
Wamba,610609.1657002724,237497.87303498664,35,N,Congo (Kinshasa),CD,Haut-Uélé,,146871,17373
Goma,747928.6111592189,9814821.096298074,35,M,Congo (Kinshasa),CD,Nord-Kivu,admin,144124,144124
Kamina,279749.5272862291,9033852.208597992,35,L,Congo (Kinshasa),CD,Haut-Lomami,admin,128803,73557
Bandundu,764539.8447037388,9633064.202839566,33,M,Congo (Kinshasa),CD,Kwilu,,118211,97784
Kipushi,527385.6839506022,8699865.033969657,35,L,Congo (Kinshasa),CD,Haut-Katanga,,113347,62332
Ilebo,454104.72448435496,9521260.002555694,34,M,Congo (Kinshasa),CD,Kasaï,,107093,35158
Kongolo,500031.57431404036,9404742.871397829,35,M,Congo (Kinshasa),CD,Tanganyika,,105202,31943
Bunia,194237.41129531356,172561.28439713374,36,N,Congo (Kinshasa),CD,Ituri,admin,96764,26310
Lisala,557262.1634929277,238066.65180961578,34,N,Congo (Kinshasa),CD,Mongala,admin,70087,58453
Binga,444151.83205950767,262356.36760122585,34,N,Congo (Kinshasa),CD,Mongala,,64639,64639
Kasongo,453400.6556237768,9499148.367026474,35,M,Congo (Kinshasa),CD,Maniema,,63000,55118
Kabinda,221453.94192282629,9320752.245140487,35,M,Congo (Kinshasa),CD,Lomami,admin,59004,15728
Aketi,809477.9833727736,303077.74052168464,34,N,Congo (Kinshasa),CD,Bas-Uélé,,58601,35161
Basankusu,366718.23042005487,134981.77860284343,34,N,Congo (Kinshasa),CD,Équateur,,52216,52216
Mweka,562038.048039005,9463684.33195442,34,M,Congo (Kinshasa),CD,Kasaï,,50675,39769
Gbadolite,500315.589742267,472966.77738205093,34,N,Congo (Kinshasa),CD,Nord-Ubangi,admin,50493,19901
Kahemba,274486.2275739343,9192807.090344142,34,M,Congo (Kinshasa),CD,Kwango,,50000,41289
Bulungu,234100.4266574995,9497258.69451321,34,M,Congo (Kinshasa),CD,Kwilu,,48344,36277
Manono,544034.9624566276,9193219.930247145,35,M,Congo (Kinshasa),CD,Tanganyika,,46111,46111
Buta,247633.41477875054,308162.5457000055,35,N,Congo (Kinshasa),CD,Bas-Uélé,admin,45677,42713
Basayo,786433.4624741114,141145.50456282092,34,N,Congo (Kinshasa),CD,Tshopo,,43709,2197
Lubao,361378.1850021556,9404336.773385765,35,M,Congo (Kinshasa),CD,Lomami,,43068,9217
Lusambo,771009.3378450911,9449594.26945546,34,M,Congo (Kinshasa),CD,Sankuru,admin,41416,12190
Inongo,198290.18731778313,9786711.790466452,34,M,Congo (Kinshasa),CD,Mai-Ndombe,admin,40113,20249
Tshela,272521.567053962,9447304.936448516,33,M,Congo (Kinshasa),CD,Kongo Central,,38845,947
Bukama,374184.9114107779,8982344.890214033,35,L,Congo (Kinshasa),CD,Haut-Lomami,,38770,3031
Ipanga,333475.8416068944,9555877.601157555,34,M,Congo (Kinshasa),CD,Kwilu,,37188,2704
Kampene,463034.49992967065,9602436.317547396,35,M,Congo (Kinshasa),CD,Maniema,,37034,2405
Kambove,456005.67574523116,8797976.74972165,35,L,Congo (Kinshasa),CD,Haut-Katanga,,36702,1167
Kaniama,188178.32079025143,9161838.00054385,35,M,Congo (Kinshasa),CD,Haut-Lomami,,36481,29412
Yangambi,216939.12749752612,86313.43483544869,35,N,Congo (Kinshasa),CD,Tshopo,,35531,540
Luebo,546746.3319012123,9408389.993699199,34,M,Congo (Kinshasa),CD,Kasaï,admin,35183,182
Businga,487310.481803927,369023.9661948933,34,N,Congo (Kinshasa),CD,Nord-Ubangi,,34247,28919
Mushie,713658.6693975674,9666308.306979846,33,M,Congo (Kinshasa),CD,Mai-Ndombe,,33062,14965
Boende,486705.684901969,9968871.131405447,34,M,Congo (Kinshasa),CD,Tshuapa,admin,32091,17268
Kabalo,490516.53825043485,9330985.135241125,35,M,Congo (Kinshasa),CD,Tanganyika,,29833,13869
Kasangulu,518361.5268583526,9493394.904213563,33,M,Congo (Kinshasa),CD,Kongo Central,,27961,17329
Ngebolobo,641498.4290018645,9759837.958794193,33,M,Congo (Kinshasa),CD,Mai-Ndombe,,27862,17349
Libenge,237364.3377623281,404152.2247394665,34,N,Congo (Kinshasa),CD,Sud-Ubangi,,27053,7751
Watsa,781837.1230856006,336031.3852016521,35,N,Congo (Kinshasa),CD,Haut-Uélé,,24516,10927
Bondo,798408.2193974962,422100.6498867041,34,N,Congo (Kinshasa),CD,Bas-Uélé,,23517,17860
Demba,640643.4306354828,9392388.67023248,34,M,Congo (Kinshasa),CD,Kasaï Central,,22263,11754
Kasongo-Lunda,689338.6509804535,9283451.09426207,33,M,Congo (Kinshasa),CD,Kwango,,20060,17436
Zongo,233009.98203351145,480447.4643527099,34,N,Congo (Kinshasa),CD,Sud-Ubangi,,17667,17667
Nyunzu,612509.7086790586,9341545.323548093,35,M,Congo (Kinshasa),CD,Tanganyika,,15397,15397
Bosodongo,374709.40066736774,462406.9880577851,34,N,Congo (Kinshasa),CD,Nord-Ubangi,,14553,3384
Kasaji,765860.4601833429,8851744.384260492,34,L,Congo (Kinshasa),CD,Lualaba,,11969,11969
Kimpese,437738.5961283644,9388184.130905712,33,M,Congo (Kinshasa),CD,Kongo Central,,10578,10578
Moba,802341.5130560424,9216065.555112839,35,M,Congo (Kinshasa),CD,Tanganyika,,10006,10006
Dilolo,646659.075074474,8818337.003969561,34,L,Congo (Kinshasa),CD,Lualaba,,7854,7854
Bongandanga,508076.34534342284,166563.4415796727,34,N,Congo (Kinshasa),CD,Mongala,,4105,1687
