city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Copenhagen,347999.455095195,6171629.2720427,33,U,Denmark,DK,Hovedstaden,primary,1085000,1085000
Aarhus,576128.354312284,6223831.606173479,32,V,Denmark,DK,Midtjylland,minor,237551,227100
Odense,588353.5050540343,6139463.6648641,32,U,Denmark,DK,Syddanmark,minor,158222,145931
Skalborg,553932.5510488256,6317918.286055321,32,V,Denmark,DK,Nordjylland,,122219,101616
Esbjerg,465348.3455461439,6147261.849183619,32,U,Denmark,DK,Syddanmark,minor,72205,63947
Vejle,534105.1982482669,6173758.531726033,32,U,Denmark,DK,Syddanmark,admin,51177,51177
Roskilde,316260.03573694953,6169889.915023938,33,U,Denmark,DK,Sjælland,minor,44285,40284
Viborg,524919.0527825401,6256552.359577874,32,V,Denmark,DK,Midtjylland,admin,34831,31057
Svendborg,601642.8316120969,6102484.298479247,32,U,Denmark,DK,Syddanmark,minor,29180,27553
Hillerød,332381.218030131,6201912.195539425,33,U,Denmark,DK,Hovedstaden,admin,28313,28313
Frederikshavn,592861.3261639727,6367846.628775137,32,V,Denmark,DK,Nordjylland,minor,24103,20667
Borød,659507.3013527896,6145148.245084289,32,U,Denmark,DK,Sjælland,,7167,7167
Nyborg,614474.6616150644,6130307.962673765,32,U,Denmark,DK,Syddanmark,minor,,
Hvidovre,341168.89575717296,6170045.061803929,33,U,Denmark,DK,Hovedstaden,minor,,
Horsens,554668.2454447062,6191474.69642511,32,U,Denmark,DK,Midtjylland,minor,,
Kastrup,352007.0486529191,6167990.845756866,33,U,Denmark,DK,Hovedstaden,minor,,
Ærøskøbing,590328.8750554025,6083593.390023799,32,U,Denmark,DK,Syddanmark,minor,,
Hobro,548781.1808781105,6277386.527384824,32,V,Denmark,DK,Nordjylland,minor,,
Haderslev,531103.8102075912,6122991.742704879,32,U,Denmark,DK,Syddanmark,minor,,
Højby,662353.5240940152,6199276.115448845,32,U,Denmark,DK,Sjælland,minor,,
Dragør,353113.9809821644,6163423.206882399,33,U,Denmark,DK,Hovedstaden,minor,,
Lemvig,456946.07282975485,6265660.085969605,32,V,Denmark,DK,Midtjylland,minor,,
Nykøbing Falster,684960.1063966119,6072488.780494796,32,U,Denmark,DK,Sjælland,minor,,
Nykøbing Mors,490830.5566047327,6294208.040495867,32,V,Denmark,DK,Nordjylland,minor,,
Sorø,662002.7523212177,6146595.235291404,32,U,Denmark,DK,Sjælland,admin,,
Kolding,529576.6567626923,6149747.536364568,32,U,Denmark,DK,Syddanmark,minor,,
Hjørring,559319.9632774726,6369728.373035145,32,V,Denmark,DK,Nordjylland,minor,,
Søborg,343630.35224756843,6178861.888717151,33,U,Denmark,DK,Hovedstaden,minor,,
Aalborg,557118.1594260894,6321731.015958822,32,V,Denmark,DK,Nordjylland,admin,,
Kokkedal,344688.5248845318,6198828.23346432,33,U,Denmark,DK,Hovedstaden,minor,,
Sønderborg,550829.114734514,6085134.70759822,32,U,Denmark,DK,Syddanmark,minor,,
Albertslund,332372.6131067604,6171713.04215884,33,U,Denmark,DK,Hovedstaden,minor,,
Randers,563864.9985551006,6257838.081261113,32,V,Denmark,DK,Midtjylland,minor,,
Solrød Strand,324902.6973460299,6157980.515930379,33,U,Denmark,DK,Sjælland,minor,,
Vejen,508718.41329343605,6148346.312756346,32,U,Denmark,DK,Syddanmark,minor,,
Ringe,593497.2405738306,6123047.840182904,32,U,Denmark,DK,Syddanmark,minor,,
Herlev,339243.60161022004,6178276.805217248,33,U,Denmark,DK,Hovedstaden,minor,,
Odder,572904.8633484781,6204159.430905951,32,U,Denmark,DK,Midtjylland,minor,,
Næstved,677080.1127459384,6123353.5139957825,32,U,Denmark,DK,Sjælland,minor,,
Kongens Lyngby,343556.8873784235,6183496.245554207,33,U,Denmark,DK,Hovedstaden,minor,,
Helsinge,325420.89511626936,6211807.333333895,33,V,Denmark,DK,Hovedstaden,minor,,
Skanderborg,558060.4165057187,6209954.277895014,32,V,Denmark,DK,Midtjylland,minor,,
Rødovre,340583.91979335743,6173682.111023056,33,U,Denmark,DK,Hovedstaden,minor,,
Frederiksberg,344195.37251139386,6173077.975595188,33,U,Denmark,DK,Hovedstaden,minor,,
Helsingør,349591.65194679995,6211977.249729913,33,V,Denmark,DK,Hovedstaden,minor,,
Allerød,334655.425252232,6194806.962397764,33,U,Denmark,DK,Hovedstaden,minor,,
Skive,502473.32894834335,6268834.164222154,32,V,Denmark,DK,Midtjylland,minor,,
Glostrup,336707.81951247144,6172029.633985859,33,U,Denmark,DK,Hovedstaden,minor,,
Ishøj,331745.070378861,6166849.000923293,33,U,Denmark,DK,Hovedstaden,minor,,
Brøndby,337768.75965124206,6170597.041990464,33,U,Denmark,DK,Hovedstaden,minor,,
Frederikssund,316383.0328890296,6192041.809794537,33,U,Denmark,DK,Hovedstaden,minor,,
Holbæk,670675.175398492,6177542.245821769,32,U,Denmark,DK,Sjælland,minor,,
Rudkøbing,610277.4972466229,6089247.609096209,32,U,Denmark,DK,Syddanmark,minor,,
Kirke Hvalsø,680302.0042037901,6164805.303864983,32,U,Denmark,DK,Sjælland,minor,,
Tønder,491629.7337670132,6088469.492044046,32,U,Denmark,DK,Syddanmark,minor,,
Haslev,688705.59245297,6134198.645199056,32,U,Denmark,DK,Sjælland,minor,,
Holte,341273.4821386057,6188579.038867084,33,U,Denmark,DK,Hovedstaden,minor,,
Ikast,509945.0111036408,6221310.860427978,32,V,Denmark,DK,Midtjylland,minor,,
Taastrup,330856.4399932073,6170127.333758673,33,U,Denmark,DK,Hovedstaden,minor,,
Rønde,591274.7175918734,6240608.893285193,32,V,Denmark,DK,Midtjylland,minor,,
Rønne,481281.0891880094,6106059.649242643,33,U,Denmark,DK,Hovedstaden,minor,,
Støvring,550626.3108848135,6305545.593362512,32,V,Denmark,DK,Nordjylland,minor,,
