city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Addis Ababa,472438.1893555557,997550.9441966213,37,P,Ethiopia,ET,Ādīs Ābeba,primary,3100000,2757729
Nazrēt,529345.8587882121,945112.1811317451,37,P,Ethiopia,ET,Oromīya,,476892,213995
Dire Dawa,814620.624155191,1061732.076375075,37,P,Ethiopia,ET,Dirē Dawa,admin,252279,248372
Bahir Dar,323734.243450888,1282823.17664768,37,P,Ethiopia,ET,Āmara,admin,206748,168899
Desē,569157.7616540852,1230795.9976804473,37,P,Ethiopia,ET,Āmara,,183802,136056
Harar,183394.86303381284,1030842.0731612202,38,P,Ethiopia,ET,Hārerī Hizb,admin,174994,147306
Gonder,333442.90732805105,1393388.1582228732,37,P,Ethiopia,ET,Āmara,,156230,153914
Āwasa,441098.2842702889,779309.8457958167,37,N,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,admin,133097,133097
Jīma,260989.820651416,848050.7783735764,37,N,Ethiopia,ET,Oromīya,,128306,128306
Giyon,388108.89795411006,943406.7300294053,37,P,Ethiopia,ET,Oromīya,,114534,38394
Shashemenē,455838.3175018485,795877.5876573353,37,N,Ethiopia,ET,Oromīya,,114350,85871
Ādīgrat,549706.0132177757,1578404.5860006972,37,P,Ethiopia,ET,Tigray,,104021,104021
Mekele,551435.9084715543,1492111.1066367843,37,P,Ethiopia,ET,Tigray,admin,95856,95856
Hosa’ina,376814.9185117908,838393.556115097,37,N,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,89300,89300
Āsela,514694.98574943474,878772.6453406579,37,N,Ethiopia,ET,Oromīya,,82240,82240
Nek’emtē,230694.1283059785,1004974.6717575968,37,P,Ethiopia,ET,Oromīya,,73018,73018
Debre Mark’os,361319.47725592915,1144385.5772071762,37,P,Ethiopia,ET,Āmara,,70758,59920
Ārba Minch’,339522.22892296675,667102.7395976419,37,N,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,69622,39065
Sodo,361896.3217369609,762875.2409417817,37,N,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,65737,65737
Debre Birhan,558430.1734989104,1070027.748605075,37,P,Ethiopia,ET,Āmara,,65231,57787
Jijiga,258369.5135377647,1034301.5207510189,38,P,Ethiopia,ET,Sumalē,admin,56821,48194
Āksum,470258.26326349797,1561510.9217357324,37,P,Ethiopia,ET,Tigray,,47487,41249
Dīla,424433.57096011995,709314.5631025345,37,N,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,47021,47021
Hāgere Hiywet,373585.00581478607,993207.6379493134,37,P,Ethiopia,ET,Oromīya,,43920,34905
Yirga ‘Alem,435535.499783572,746150.9493976543,37,N,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,,36292,36292
Goba,608611.4895017663,775705.2072722161,37,N,Ethiopia,ET,Oromīya,,34369,32025
Gīmbī,811400.3828271204,1014505.8368011498,36,P,Ethiopia,ET,Oromīya,,31809,13038
Āsosa,668031.0021765641,1113176.5207897003,36,P,Ethiopia,ET,Bīnshangul Gumuz,admin,30512,17872
Dembī Dolo,698123.576199024,943721.3205501913,36,P,Ethiopia,ET,Oromīya,,27780,26748
Batī,611006.4514755042,1237347.3143260537,37,P,Ethiopia,ET,Āmara,,19260,6393
Dolo Bay,176167.57803017192,462993.8944017746,38,N,Ethiopia,ET,Sumalē,,11810,11810
Negēlē,564634.062066059,587698.8452281218,37,N,Ethiopia,ET,Oromīya,,11772,11772
Gorē,779156.1468509506,901755.9680913665,36,P,Ethiopia,ET,Oromīya,,9352,9352
Semera,740083.3945264424,1272295.1529329487,37,P,Ethiopia,ET,Āfar,admin,,
Gambēla,674395.4924383463,912281.7404794901,36,P,Ethiopia,ET,Gambēla Hizboch,admin,,
