city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Helsinki,385396.2036540403,6672755.427050655,35,V,Finland,FI,Uusimaa,primary,1115000,558457
Tampere,646361.8361448107,6821569.341796246,34,V,Finland,FI,Pirkanmaa,admin,259279,202687
Turku,570603.9636746168,6702216.280654042,34,V,Finland,FI,Varsinais-Suomi,admin,175945,174940
Oulu,427743.7383345922,7211188.54270117,35,W,Finland,FI,Pohjois-Pohjanmaa,admin,136752,128618
Lahti,427813.46037684125,6759809.008796026,35,V,Finland,FI,Päijät-Häme,admin,98826,96190
Jyväskylä,434166.39835020876,6900818.071394993,35,V,Finland,FI,Keski-Suomi,admin,98136,85026
Kuopio,534730.4248030137,6974631.958287883,35,V,Finland,FI,Pohjois-Savo,admin,91900,89104
Pori,541721.2462436224,6816875.716348415,34,V,Finland,FI,Satakunta,admin,76772,66280
Lappeenranta,563864.9619969418,6770790.277128571,35,V,Finland,FI,Etelä-Karjala,admin,59276,49757
Vaasa,530287.2004309519,6996872.428739407,34,V,Finland,FI,Pohjanmaa,admin,57014,40846
Joensuu,642020.9155489556,6944068.747070531,35,V,Finland,FI,Pohjois-Karjala,admin,53388,53388
Hämeenlinna,362105.241835598,6765471.830551137,35,V,Finland,FI,Kanta-Häme,admin,47261,47261
Kokkola,604132.5254432203,7080168.835963427,34,V,Finland,FI,Keski-Pohjanmaa,admin,46714,46714
Mikkeli,513230.0025985921,6838929.356936985,35,V,Finland,FI,Etelä-Savo,admin,46550,46550
Rovaniemi,442899.78712819,7376229.749856134,35,W,Finland,FI,Lappi,admin,34781,25389
Kouvola,483706.3219727708,6747973.524399912,35,V,Finland,FI,Kymenlaakso,admin,31133,31133
Savonlinna,599064.7839465005,6860762.837902295,35,V,Finland,FI,Etelä-Savo,minor,27353,13114
Kemi,388429.5889060185,7292347.384916119,35,W,Finland,FI,Lappi,minor,22641,11479
Porvoo,426532.7709496527,6696702.955761315,35,V,Finland,FI,Uusimaa,minor,12242,12242
Kirkonkylä,484990.3269820711,7476014.437385553,35,W,Finland,FI,Lappi,,8942,4091
Kemijärvi,518416.0157185639,7394283.348721806,35,W,Finland,FI,Lappi,minor,8883,8883
Sodankylä,482858.0874809729,7477885.447977609,35,W,Finland,FI,Lappi,minor,,
Kangasala,344605.67886103096,6818244.546103011,35,V,Finland,FI,Pirkanmaa,minor,,
Varkaus,547512.3083713679,6909794.555947757,35,V,Finland,FI,Pohjois-Savo,minor,,
Kuusamo,599207.2674504605,7317921.289496937,35,W,Finland,FI,Pohjois-Pohjanmaa,minor,,
Teuva,537799.5383044846,6928240.358701007,34,V,Finland,FI,Etelä-Pohjanmaa,minor,,
Saarijärvi,411360.2635466886,6955213.47025153,35,V,Finland,FI,Keski-Suomi,minor,,
Lemland,449927.42302045116,6661032.733644515,34,V,Finland,FI,Åland,minor,,
