city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Athens,740055.9284656097,4207491.269076783,34,S,Greece,GR,Attikí,primary,3242000,729137
Thessaloníki,663264.8868125615,4500988.414659105,34,T,Greece,GR,Kentrikí Makedonía,admin,828000,354290
Piraeus,731828.9536789176,4204816.377948083,34,S,Greece,GR,Attikí,minor,466065,175697
Pátra,564268.009278668,4233192.141975515,34,S,Greece,GR,Dytikí Elláda,admin,163360,155799
Irákleio,330329.47455533606,3912135.3471553186,35,S,Greece,GR,Kríti,admin,137154,131654
Lárisa,621647.6952892634,4388416.830043221,34,S,Greece,GR,Thessalía,admin,128758,111487
Áno Vólos,670694.6244381564,4360749.422631926,34,S,Greece,GR,Thessalía,,110632,84425
Ioánnina,487295.69687206607,4390571.627059008,34,S,Greece,GR,Ípeiros,admin,86304,64012
Chaniá,230567.78960152942,3933799.0722268843,35,S,Greece,GR,Kríti,minor,78728,54565
Agrínio,535671.5407364774,4274898.182884582,34,S,Greece,GR,Dytikí Elláda,minor,75233,43525
Chalkída,727082.6390473176,4260225.159719072,34,S,Greece,GR,Stereá Elláda,minor,71842,54558
Kalámi,595178.7950477488,4102317.9401297616,34,S,Greece,GR,Peloponnísos,,71823,51108
Kavála,281703.9474451911,4535288.693298075,35,T,Greece,GR,Anatolikí Makedonía kai Thráki,minor,59240,52950
Ródos,609528.2629399778,4032954.3804285023,35,S,Greece,GR,Notío Aigaío,minor,56969,56128
Sérres,713988.8212746951,4551319.468861133,34,T,Greece,GR,Kentrikí Makedonía,minor,55886,45935
Kateríni,628053.8870080585,4458764.11790562,34,T,Greece,GR,Kentrikí Makedonía,minor,53293,48408
Alexandroúpoli,405291.602106143,4522707.623590669,35,T,Greece,GR,Anatolikí Makedonía kai Thráki,minor,52979,44444
Xánthi,322734.4971417367,4555879.502759261,35,T,Greece,GR,Anatolikí Makedonía kai Thráki,minor,50570,48221
Lamía,624292.1037067496,4306655.959499388,34,S,Greece,GR,Stereá Elláda,admin,47246,47246
Komotiní,366126.9762595468,4553211.953860668,35,T,Greece,GR,Anatolikí Makedonía kai Thráki,admin,45631,45631
Kérkyra,407280.97587099107,4386216.769103988,34,S,Greece,GR,Ionía Nísia,admin,38517,27003
Mytilíni,461502.28966796835,4329077.883459081,35,S,Greece,GR,Voreío Aigaío,admin,29328,28322
Trípoli,621917.7775111297,4152221.2311271075,34,S,Greece,GR,Peloponnísos,admin,28970,26561
Chíos,424205.3910720997,4247071.810814316,35,S,Greece,GR,Voreío Aigaío,minor,26891,23953
Pýrgos,538741.0718552436,4169529.9444989427,34,S,Greece,GR,Dytikí Elláda,minor,22399,22223
Kos,525623.1742597332,4082997.626117602,35,S,Greece,GR,Notío Aigaío,minor,19244,18691
Spárti,627123.3307262389,4104088.93225631,34,S,Greece,GR,Peloponnísos,minor,16187,15497
Ermoúpoli,317194.98978472874,4146799.4719876675,35,S,Greece,GR,Notío Aigaío,admin,12260,12260
Siteía,418356.4994456208,3896534.5734578473,35,S,Greece,GR,Kríti,minor,8833,8707
Polýgyros,707252.7569724271,4472467.695935544,34,T,Greece,GR,Kentrikí Makedonía,minor,5258,5258
Megalópoli,600623.4972554852,4140011.2327559935,34,S,Greece,GR,Peloponnísos,minor,,
Cholargós,745922.6234873999,4209622.737286303,34,S,Greece,GR,Attikí,minor,,
Náousa,590353.2734587855,4498233.561513044,34,T,Greece,GR,Kentrikí Makedonía,minor,,
Ágios Nikólaos,383033.73389021086,3894987.49964984,35,S,Greece,GR,Kríti,minor,,
Agía Kyriakí,489993.8278213666,4374783.472621605,34,S,Greece,GR,Ípeiros,minor,,
Póros,717010.7826781153,4153180.9794046506,34,S,Greece,GR,Attikí,minor,,
Palaió Fáliro,737527.6887834647,4201515.394235198,34,S,Greece,GR,Attikí,minor,,
Palaióchora,744009.8695531236,3901992.0381495683,34,S,Greece,GR,Kríti,minor,,
Melíssia,748862.6942251604,4215289.374766711,34,S,Greece,GR,Attikí,minor,,
Agía Marína,487204.77452540025,4112004.9697177736,35,S,Greece,GR,Notío Aigaío,minor,,
Íos,346621.4196576351,4065549.7240334726,35,S,Greece,GR,Notío Aigaío,minor,,
Níkiti,727286.3435420648,4456646.767318455,34,T,Greece,GR,Kentrikí Makedonía,minor,,
Ílion,737159.6954801406,4212849.2972487,34,S,Greece,GR,Attikí,minor,,
Kastrí,233557.0447909367,3858564.9548441856,35,S,Greece,GR,Kríti,minor,,
Kárystos,273613.57212886063,4210821.751609954,35,S,Greece,GR,Stereá Elláda,minor,,
Pezá,335530.9528853636,3898721.535586638,35,S,Greece,GR,Kríti,minor,,
Kalamáta,598984.3173546055,4099399.153601976,34,S,Greece,GR,Peloponnísos,minor,,
Itháki,475698.3936252136,4246082.214339616,34,S,Greece,GR,Ionía Nísia,minor,,
Mandráki,511825.42353077594,4051660.1153405607,35,S,Greece,GR,Notío Aigaío,minor,,
Asprópyrgos,727174.341810935,4215828.309127514,34,S,Greece,GR,Attikí,minor,,
Geráni,760998.888440575,3934163.585251333,34,S,Greece,GR,Kríti,minor,,
Paranésti,290754.31776649517,4571384.758141362,35,T,Greece,GR,Anatolikí Makedonía kai Thráki,minor,,
Kálymnos,498276.7103322185,4089612.111789304,35,S,Greece,GR,Notío Aigaío,minor,,
