city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Baghdad,444247.94582632784,3689205.1414699145,38,S,Iraq,IQ,Baghdād,primary,5054000,5054000
Mosul,331170.763453168,4022748.3413111186,38,S,Iraq,IQ,Nīnawá,admin,1316000,1140934
Dihok,320698.3797569466,4082017.098576056,38,S,Iraq,IQ,Dahūk,admin,986000,255000
Erbil,411045.47930186865,4005761.5068430747,38,S,Iraq,IQ,Arbīl,admin,926000,665740
Al Başrah,768407.5748198421,3381180.803436151,38,R,Iraq,IQ,Al Başrah,admin,870000,870000
An Najaf,438266.2440228624,3543498.1714904816,38,S,Iraq,IQ,An Najaf,admin,665552,560000
Kirkuk,444856.57383846573,3925120.4155424354,38,S,Iraq,IQ,Kirkūk,admin,601433,508672
Al Ḩillah,445458.21972847776,3591980.3986649755,38,S,Iraq,IQ,Bābil,admin,594605,364700
Karbalā’,407707.4481499896,3607138.5335987774,38,S,Iraq,IQ,Karbalā’,admin,510692,434450
An Nāşirīyah,619957.6890403403,3436708.1140339714,38,R,Iraq,IQ,Dhī Qār,admin,451547,400249
Ad Dīwānīyah,492964.5163938071,3539649.5832076296,38,R,Iraq,IQ,Al Qādisīyah,admin,358408,318801
Al ‘Amārah,702972.6539343777,3524219.290284375,38,R,Iraq,IQ,Maysān,admin,345007,323302
Al Kūt,576848.5308227341,3597572.493904098,38,S,Iraq,IQ,Wāsiţ,admin,321521,315162
Ba‘qūbah,466995.57622253563,3734116.527047998,38,S,Iraq,IQ,Diyālá,admin,299479,152550
Ar Ramādī,342664.9275334446,3699191.767351352,38,S,Iraq,IQ,Al Anbār,admin,295121,274539
Az Zubayr,759593.7967627763,3365335.945628122,38,R,Iraq,IQ,Al Başrah,minor,262219,122676
Al Fallūjah,387037.2571842236,3690650.3575548236,38,S,Iraq,IQ,Al Anbār,minor,231819,190159
As Samāwah,526633.7975224428,3463538.3870636597,38,R,Iraq,IQ,Al Muthanná,admin,174978,152890
Ash Shaţrah,611476.2677483883,3475532.4146685447,38,R,Iraq,IQ,Dhī Qār,minor,161949,82732
Sāmarrā’,397329.38373110455,3784438.050155019,38,S,Iraq,IQ,Şalāḩ ad Dīn,minor,158508,158508
Tall ‘Afar,271083.4731476938,4029026.1630829377,38,S,Iraq,IQ,Nīnawá,minor,144465,144465
Zaxo,294487.704112268,4113876.8022012743,38,S,Iraq,IQ,Dahūk,minor,134863,95052
Al Musayyib,433513.854419224,3626979.7152168336,38,S,Iraq,IQ,Bābil,minor,76454,42901
Tikrīt,378855.8963344961,3831232.5222149105,38,S,Iraq,IQ,Şalāḩ ad Dīn,admin,56591,42477
Mandalī,551406.7405017305,3734365.0372004057,38,S,Iraq,IQ,Diyālá,,29785,3056
Ar Ruţbah,620073.5811011591,3656143.709497586,37,S,Iraq,IQ,Al Anbār,minor,22370,12029
Qūshtabah,413322.13430000126,3984590.153064249,38,S,Iraq,IQ,Arbīl,minor,,
Zummār,285630.77999134426,4059466.7180624288,38,S,Iraq,IQ,Nīnawá,minor,,
Al Maymūnah,686689.7206974209,3506541.063247705,38,R,Iraq,IQ,Maysān,minor,,
Aş Şuwayrah,479041.66268367984,3643056.4094678494,38,S,Iraq,IQ,Wāsiţ,minor,,
Dukan,496646.2436266483,3976098.8234908446,38,S,Iraq,IQ,As Sulaymānīyah,minor,,
Al Jabāyish,691205.2181747544,3427539.655978355,38,R,Iraq,IQ,Dhī Qār,minor,,
Kasnazān,422023.3544064772,4006554.67441004,38,S,Iraq,IQ,Arbīl,minor,,
Hīt,298522.30199423013,3723984.367574951,38,S,Iraq,IQ,Al Anbār,minor,,
Amêdî,365598.66532582836,4106163.395242191,38,S,Iraq,IQ,Dahūk,minor,,
Ar Rumaythah,519345.2254610008,3488188.3055084045,38,R,Iraq,IQ,Al Muthanná,minor,,
Zawîte,334581.16404556675,4086018.864161564,38,S,Iraq,IQ,Dahūk,minor,,
‘Afak,523355.16955425136,3547590.1146416315,38,S,Iraq,IQ,Al Qādisīyah,minor,,
Al Kaḩlā’,717531.4337081058,3505912.6833538665,38,R,Iraq,IQ,Maysān,minor,,
Dibis,415897.7265442637,3948279.4527024147,38,S,Iraq,IQ,Kirkūk,minor,,
Qeładizê,511450.4764270106,4004515.196343075,38,S,Iraq,IQ,As Sulaymānīyah,minor,,
Al Ḩayy,598375.3902305255,3560220.7541458583,38,S,Iraq,IQ,Wāsiţ,minor,,
Al Hāshimīyah,468022.8931962699,3580779.5196811906,38,S,Iraq,IQ,Bābil,minor,,
Dāqūq,449811.4964381106,3888622.6475998373,38,S,Iraq,IQ,Kirkūk,minor,,
Al ‘Azīzīyah,505946.0023227824,3641246.2152019963,38,S,Iraq,IQ,Wāsiţ,minor,,
Aţ Ţārmīyah,443994.14063972904,3726223.6591639435,38,S,Iraq,IQ,Baghdād,minor,,
Al Ḩaqlānīyah,256575.5677259188,3774832.4675678834,38,S,Iraq,IQ,Al Anbār,minor,,
Balad,421123.28806293296,3764131.02888989,38,S,Iraq,IQ,Şalāḩ ad Dīn,minor,,
Al Kūfah,443003.7890304075,3543356.540451323,38,S,Iraq,IQ,An Najaf,minor,,
‘Aqrah,399965.6727315082,4065863.4815396424,38,S,Iraq,IQ,Nīnawá,minor,,
Shaqlāwah,439531.72486561077,4028995.1855367795,38,S,Iraq,IQ,Arbīl,minor,,
Choman,490005.4308934295,4054572.049470068,38,S,Iraq,IQ,Arbīl,minor,,
