city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Tokyo,387016.9535327571,3949729.4604042573,54,S,Japan,JP,Tōkyō,primary,35676000,8336599
Ōsaka,547327.8587487793,3838048.2443305915,53,S,Japan,JP,Ōsaka,admin,11294000,2592413
Yokohama,377459.484557322,3921936.82117605,54,S,Japan,JP,Kanagawa,admin,3697894,3697894
Nagoya,673001.2951438896,3895027.4591833143,53,S,Japan,JP,Aichi,admin,3230000,2191279
Fukuoka,631441.3750166589,3718705.5714504896,52,S,Japan,JP,Fukuoka,admin,2792000,1392289
Sapporo,528497.07321323,4768277.531606371,54,T,Japan,JP,Hokkaidō,admin,2544000,1861786
Sendai,488336.2332899278,4235411.355976785,54,S,Japan,JP,Miyagi,admin,2250000,1037562
Hiroshima,265594.3421011149,3809456.782012035,53,S,Japan,JP,Hiroshima,admin,2045000,1143841
Kyōto,568425.5337725761,3875148.362230211,53,S,Japan,JP,Kyōto,admin,1805000,1459640
Kōbe,516793.64424553973,3837942.1035333974,53,S,Japan,JP,Hyōgo,admin,1528478,1528478
Shinkawasaki,379479.3641364769,3934873.3326857304,54,S,Japan,JP,Kanagawa,,1437266,1306785
Hamamatsu,750361.7414878217,3843176.20275772,53,S,Japan,JP,Shizuoka,,977023,797462
Zahana,366744.59450764325,2894825.1936582625,52,R,Japan,JP,Okinawa,,905238,317906
Okayama,402250.2211764134,3834747.8825137573,53,S,Japan,JP,Okayama,admin,866092,639652
Kumamoto,662325.6737351536,3628597.3764333436,52,S,Japan,JP,Kumamoto,admin,718232,680423
Shizuoka,261147.72367146096,3874323.104281244,54,S,Japan,JP,Shizuoka,admin,701561,671332
Utsunomiya,400080.53536775627,4047383.214604121,54,S,Japan,JP,Tochigi,admin,667752,449865
Nagano,248210.64836471257,4059742.9641970717,54,S,Japan,JP,Nagano,admin,594311,360176
Hachiōji,348275.45896692807,3947070.247813861,54,S,Japan,JP,Tōkyō,,579399,579399
Niigata,324158.3213216712,4196605.591459082,54,S,Japan,JP,Niigata,admin,569797,505272
Kagoshima,647098.32598343,3493447.382241112,52,R,Japan,JP,Kagoshima,admin,555352,516833
Kanazawa,644600.246413638,4051717.070855182,53,S,Japan,JP,Ishikawa,admin,551249,458937
Ōtsu,579085.8381006302,3873386.1554905158,53,S,Japan,JP,Shiga,admin,536976,338629
Mitsuhama,288747.84883320366,3747869.9329503374,53,S,Japan,JP,Ehime,,533541,516637
Tsu,638851.6040597025,3844518.5804497213,53,S,Japan,JP,Mie,admin,500000,284969
Ōita,742273.3017325153,3680168.6345098,52,S,Japan,JP,Ōita,admin,448907,375294
Tokushima,460013.7828017442,3769632.624643648,53,S,Japan,JP,Tokushima,admin,443760,267345
Wakayama,515349.1330873043,3788040.528983132,53,S,Japan,JP,Wakayama,admin,440006,351000
Nagasaki,582750.5874225859,3623917.571771246,52,S,Japan,JP,Nagasaki,admin,435455,410204
Gifu,661878.166789877,3922560.583400145,53,S,Japan,JP,Gifu,admin,412895,397714
Iwaki,489626.2282098248,4100425.4200223307,54,S,Japan,JP,Fukushima,,357309,292045
Asahikawa,610288.8793681441,4846993.352085442,54,T,Japan,JP,Hokkaidō,,356612,325547
Mito,450649.542111984,4022910.102210829,54,S,Japan,JP,Ibaraki,admin,353892,246538
Maebashi,328122.35931874625,4030022.1367134126,54,S,Japan,JP,Gunma,admin,344871,282711
Kawagoe,363319.3573095156,3974871.9207424666,54,S,Japan,JP,Saitama,,337931,337931
Kōchi,363840.6253944682,3713225.957756238,53,S,Japan,JP,Kōchi,admin,335570,310620
Takamatsu,412612.25371569523,3799524.913534364,53,S,Japan,JP,Kagawa,admin,334223,325500
Toyama,698016.6992393588,4063883.0681860754,53,S,Japan,JP,Toyama,admin,332812,325532
Miyazaki,728503.433540659,3533747.5856495304,52,R,Japan,JP,Miyazaki,admin,324384,311203
Akita,422859.1074208778,4396697.956753586,54,S,Japan,JP,Akita,admin,320069,281856
Hakodate,478115.0042823469,4624921.212906162,54,T,Japan,JP,Hokkaidō,,302984,275730
Aomori,477510.85776863794,4518439.892699464,54,T,Japan,JP,Aomori,admin,298394,264749
Morioka,512859.81389265833,4394471.769772975,54,S,Japan,JP,Iwate,admin,295172,294393
Fukushima,453016.10176156316,4178211.468667354,54,S,Japan,JP,Fukushima,admin,294237,263686
Yamagata,444571.43263928965,4231893.908250057,54,S,Japan,JP,Yamagata,admin,272209,254538
Fuku,607070.8254142033,3989929.347792268,53,S,Japan,JP,Fukui,,248707,233870
Shinkai,683381.4465894718,3759144.2659876957,52,S,Japan,JP,Fukuoka,,245786,226611
Ashino,287901.9216989026,4765787.6547314245,55,T,Japan,JP,Hokkaidō,,198566,183612
Kōfu,279748.9137688507,3949705.9489075816,54,S,Japan,JP,Yamanashi,admin,197540,190000
Kure,275867.6335490589,3790583.013261923,53,S,Japan,JP,Hiroshima,,196991,196624
Hiraokamachi,453749.493012633,4495548.632569755,54,T,Japan,JP,Aomori,,174972,168429
Takaoka,680031.496172933,4069035.7818216463,53,S,Japan,JP,Toyama,,170077,78797
Matsue,323100.696772624,3928392.7655130373,53,S,Japan,JP,Shimane,admin,156811,144243
Muroran,499015.7544390573,4684998.066277416,54,T,Japan,JP,Hokkaidō,,155676,96197
Tottori,430467.91173255246,3928763.6088598818,53,S,Japan,JP,Tottori,admin,154098,131173
Otaru,500180.55414873525,4781852.582166761,54,T,Japan,JP,Hokkaidō,,143792,134729
Kitami,732539.5094732598,4854061.425842987,54,T,Japan,JP,Hokkaidō,,113137,94806
Sakata,400734.838780905,4308152.218134399,54,S,Japan,JP,Yamagata,,100446,72569
Tsuruoka,397565.94916561816,4286549.351855442,54,S,Japan,JP,Yamagata,,99820,76285
Naka-maizuru,533267.9741946202,3924858.4236693326,53,S,Japan,JP,Kyōto,,92465,32598
Kasano,681013.2868139237,3474501.850672377,52,R,Japan,JP,Kagoshima,,82335,54692
Onagawa Chō,537758.6235048509,4255269.45402691,54,S,Japan,JP,Miyagi,minor,,
Matsuyama,293334.56843677274,3745919.8025617143,53,S,Japan,JP,Ehime,admin,,
Inuotose,527633.5117094655,4494601.101027616,54,T,Japan,JP,Aomori,minor,,
Saitama,378170.73315549263,3973698.7761568604,54,S,Japan,JP,Saitama,admin,,
Hirado,551394.0432936933,3692280.0451571625,52,S,Japan,JP,Nagasaki,minor,,
Naha,368466.5860843986,2900346.4325093604,52,R,Japan,JP,Okinawa,admin,,
