city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
George Town,647954.896193476,598283.8402286494,47,N,Malaysia,MY,Pulau Pinang,admin,2500000,720202
Kuala Lumpur,800097.8657885361,350406.2464516713,47,N,Malaysia,MY,Kuala Lumpur ,primary,1448000,1448000
Johor Bahru,361808.2661181389,162020.45398477276,48,N,Malaysia,MY,Johor,admin,875000,802489
Butterworth,651104.0992971589,596949.937417864,47,N,Malaysia,MY,Pulau Pinang,,821652,107591
Melaka,193041.59772336017,243008.58516804478,48,N,Malaysia,MY,Melaka,,788706,503127
Ipoh,731088.729393504,507027.4479335546,47,N,Malaysia,MY,Perak,admin,673318,639136
Kuching,425837.49471608107,156595.25656385813,49,N,Malaysia,MY,,,570407,504963
Kota Kinabalu,397333.929475342,660516.4736719143,50,N,Malaysia,MY,Sabah,admin,527671,457326
Kampong Baharu,191916.99117649999,676899.0400864275,48,N,Malaysia,MY,Kelantan,,505583,279316
Shah Alam,781583.0233249958,341139.2439784549,47,N,Malaysia,MY,,,481654,481654
Sandakan,623760.6507571732,645662.8437122924,50,N,Malaysia,MY,Sabah,,392288,291289
Seremban Garden,829769.087235718,299056.98673721973,47,N,Malaysia,MY,Negeri Sembilan,,372917,300731
Kuantan,314107.7667756546,421051.84865787346,48,N,Malaysia,MY,Pahang,admin,366229,274695
Kampung Sungai Pasir,662595.1015031463,620878.6054069994,47,N,Malaysia,MY,Kedah,,358499,228843
Kuala Terengganu,293970.44970991695,589474.8976177783,48,N,Malaysia,MY,Terengganu,admin,350210,285065
Alor Setar,650505.9647726654,676775.6863827792,47,N,Malaysia,MY,Kedah,admin,336475,217368
Tawau,598446.3312552142,469795.7106118316,50,N,Malaysia,MY,Sabah,,306462,289531
Taiping,692219.6590055863,536329.445414675,47,N,Malaysia,MY,Perak,,237095,217647
Miri,167996.37617281376,488645.2765669426,50,N,Malaysia,MY,Sarawak,,228212,211703
Sibu,590804.9561990781,254246.44926406402,49,N,Malaysia,MY,Sarawak,,203832,198239
Batu Pahat,270008.59694754396,205146.20128014457,48,N,Malaysia,MY,Johor,,199619,156236
Muar,229568.94636713207,226151.22795533773,48,N,Malaysia,MY,Johor,,191346,127897
Kluang,314571.1936207289,223930.68612487902,48,N,Malaysia,MY,Johor,,169828,156700
Bintulu,725963.3440513462,350236.98597268114,49,N,Malaysia,MY,Sarawak,,151617,83670
Lahad Datu,647110.7601024938,555776.0201585545,50,N,Malaysia,MY,Sabah,,105622,60310
Teluk Intan,724415.1814470508,445268.2626537111,47,N,Malaysia,MY,Perak,,101659,63353
Cukai,324273.6554059988,469941.31143903075,48,N,Malaysia,MY,Terengganu,,82425,44646
Kangar,632549.3681872757,712153.8444251085,47,N,Malaysia,MY,Perlis,admin,63869,63869
Raub,817353.2453933747,419427.26545218943,47,N,Malaysia,MY,Pahang,,40024,33521
Kuala Lipis,172108.18558075,463105.0396847968,48,N,Malaysia,MY,Pahang,,15448,15448
Klang,772327.3373133258,335585.8282817606,47,N,Malaysia,MY,Selangor,admin,,
Seremban,826712.0090812752,302115.3638131677,47,N,Malaysia,MY,Negeri Sembilan,admin,,
Kampung Lemal,183512.68335176568,667374.1227925617,48,N,Malaysia,MY,Kelantan,minor,,
Kuching,425841.9341170309,171333.66148338688,49,N,Malaysia,MY,Sarawak,admin,,
Ketereh,195317.34889329592,659211.9295286204,48,N,Malaysia,MY,Kelantan,minor,,
Tumpat,186903.07501659542,685899.9294441818,48,N,Malaysia,MY,Kelantan,minor,,
Victoria,305134.92503403744,583521.8251183224,50,N,Malaysia,MY,Labuan,admin,,
Pasir Mas,183370.4651540987,669491.7559876071,48,N,Malaysia,MY,Kelantan,minor,,
Kota Bharu,194356.37197946798,678724.4945050313,48,N,Malaysia,MY,Kelantan,minor,,
Pulai Chondong,193452.46875739342,649739.3393871438,48,N,Malaysia,MY,Kelantan,minor,,
