city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Bamako,608596.3288239235,1398638.6094041048,29,P,Mali,ML,Bamako,primary,1494000,1297281
Sikasso,208566.23278376786,1251976.332052885,30,P,Mali,ML,Sikasso,admin,225753,144786
Ségou,801509.4833869895,1486579.3007559092,29,P,Mali,ML,Ségou,admin,122952,92552
Gao,815877.9537822991,1801270.059259225,30,Q,Mali,ML,Gao,admin,116967,57978
Mopti,371454.60343533126,1602153.5922427452,30,P,Mali,ML,Mopti,admin,108456,78083
Koutiala,232066.50809760223,1371107.5350028218,30,P,Mali,ML,Sikasso,minor,104927,99353
Kayes,236466.59922891005,1598558.941516551,29,P,Mali,ML,Kayes,admin,77207,77207
Timbuktu,499404.47586531256,1854162.026160219,30,Q,Mali,ML,Tombouctou,admin,68872,68872
Kati,600677.3814954979,1409015.8538049909,29,P,Mali,ML,Koulikoro,minor,66895,42922
Markala,817383.6451313819,1516706.649567977,29,P,Mali,ML,Ségou,,53738,38585
Kita,446924.79647769046,1441046.3234937154,29,P,Mali,ML,Kayes,minor,46435,5769
San,294655.7325743575,1471463.8613822104,30,P,Mali,ML,Ségou,minor,41386,24811
Bougouni,665272.8673430918,1262979.0149656853,29,P,Mali,ML,Sikasso,minor,35450,25644
Djenné,331457.3112950883,1537715.956882091,30,P,Mali,ML,Mopti,minor,32944,22382
Banamba,667934.1223712643,1498241.5052847764,29,P,Mali,ML,Koulikoro,minor,30591,6033
Bourèm Guindou,781584.0763101438,1871366.0871823453,30,Q,Mali,ML,Gao,,30000,27486
Bafoulabé,301955.5629715557,1527082.1552830497,29,P,Mali,ML,Kayes,minor,26823,26823
Koulikoro,656272.2446296937,1422393.353457047,29,P,Mali,ML,Koulikoro,admin,23919,2898
Nara,684290.36265698,1677712.7401438153,29,P,Mali,ML,Koulikoro,minor,18459,18459
Kangaba,563517.6716763233,1319248.60669026,29,P,Mali,ML,Koulikoro,minor,17232,17232
Ménaka,436013.4886127523,1759978.7034143666,31,P,Mali,ML,Gao,minor,9110,9110
Aguelhok,275235.7017104739,2153280.0720332633,31,Q,Mali,ML,Kidal,,9000,8080
Goundam,428383.9542094199,1814907.725953865,30,Q,Mali,ML,Tombouctou,minor,8456,3979
Tessalit,292264.10315782716,2234997.599008948,31,Q,Mali,ML,Kidal,minor,6000,5739
Sokolo,809912.3790441703,1630753.5586534697,29,P,Mali,ML,Ségou,,4374,4128
Araouane,444554.70340149885,2090372.058355585,30,Q,Mali,ML,Tombouctou,,4026,4026
Taoudenni,399437.57422202715,2507811.5142261786,30,Q,Mali,ML,Tombouctou,,3019,3019
Yélimané,330504.7075910812,1672061.6450781554,29,P,Mali,ML,Kayes,minor,988,988
Satadougou,237340.14399979322,1395714.8631704818,29,P,Mali,ML,Kayes,,706,706
Kadiolo,197198.95670487918,1167562.773465581,30,P,Mali,ML,Sikasso,minor,,
Youwarou,364465.2985055414,1699469.216081338,30,P,Mali,ML,Mopti,minor,,
Bourem,782373.9047708835,1876483.1989408457,30,Q,Mali,ML,Gao,minor,,
Barouéli,735165.6615541563,1446658.2867812007,29,P,Mali,ML,Ségou,minor,,
Koro,491861.15510898584,1554805.4876171465,30,P,Mali,ML,Mopti,minor,,
Kolondiéba,730165.8562018499,1226682.4208616975,29,P,Mali,ML,Sikasso,minor,,
Bankass,444300.8599736366,1556358.22840684,30,P,Mali,ML,Mopti,minor,,
Bla,200511.16230749816,1433231.6381003896,30,P,Mali,ML,Ségou,minor,,
Niono,177009.7902365423,1577741.2384922053,30,P,Mali,ML,Ségou,minor,,
Abeïbara,368521.3473565851,2114206.2252300126,31,Q,Mali,ML,Kidal,minor,,
Ténenkou,293374.86670516036,1599156.2466002149,30,P,Mali,ML,Mopti,minor,,
Dioila,740077.2698783637,1380875.8963874746,29,P,Mali,ML,Koulikoro,minor,,
Yorosso,306801.4423821625,1366795.1122139648,30,P,Mali,ML,Sikasso,minor,,
Tominian,327415.8219396774,1469466.7104219543,30,P,Mali,ML,Ségou,minor,,
Niafunké,393973.96624878456,1761687.353504719,30,P,Mali,ML,Tombouctou,minor,,
Diré,457123.25973697106,1797410.6339657812,30,Q,Mali,ML,Tombouctou,minor,,
Kéniéba,256818.98092087198,1420456.4836656037,29,P,Mali,ML,Kayes,minor,,
Kidal,331849.8381566311,2039728.6772157198,31,Q,Mali,ML,Kidal,admin,,
Bandiagara,434355.6635699195,1586300.138929494,30,P,Mali,ML,Mopti,minor,,
Kolokani,604524.1679602409,1500687.7507795542,29,P,Mali,ML,Koulikoro,minor,,
Ké-Macina,245263.59089316163,1545021.5727816091,30,P,Mali,ML,Ségou,minor,,
Diéma,479304.29388240364,1607457.6791775941,29,P,Mali,ML,Kayes,minor,,
Ansongo,232235.87273600418,1732870.0261855735,31,P,Mali,ML,Gao,minor,,
Nioro,436340.1281219028,1683776.2326787263,29,P,Mali,ML,Kayes,minor,,
Yanfolila,592802.5807945968,1236384.2888708082,29,P,Mali,ML,Sikasso,minor,,
Douentza,505398.87917130586,1658498.485289526,30,P,Mali,ML,Mopti,minor,,
Gourma Rharous,614713.1026111854,1866347.3374822491,30,Q,Mali,ML,Tombouctou,minor,,
Ti-n-Essako,445931.7011859406,2040114.5909866765,31,Q,Mali,ML,Kidal,minor,,
