city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Auckland,300926.1311024319,5917590.112360535,60,H,New Zealand,NZ,,,1377200,395982
Wellington,314416.7057812579,5425569.224631664,60,G,New Zealand,NZ,,primary,393400,393400
Christchurch City,631973.9895498208,5178660.875847879,59,G,New Zealand,NZ,Canterbury,,363200,363200
Waitakere,281562.31933301344,5918965.566504285,60,H,New Zealand,NZ,,,208100,208100
Northcote,298934.1947698039,5923248.298162278,60,H,New Zealand,NZ,,,205605,205605
Hamilton,348833.1735108837,5816836.491061039,60,H,New Zealand,NZ,,,148200,148200
Tauranga,426524.178784226,5828684.017388227,60,H,New Zealand,NZ,,,121500,121500
Dunedin,461190.96781578765,4920645.0069476385,59,G,New Zealand,NZ,Otago,,117700,117700
Lower Hutt,325358.381058411,5435097.814486426,60,G,New Zealand,NZ,,,102400,102400
Palmerston North,382522.3214256635,5532476.726144865,60,G,New Zealand,NZ,,,82400,82400
Nelson,691160.007980562,5428373.408464474,59,G,New Zealand,NZ,Nelson,,60800,60800
Napier,492833.399433047,5629581.889600061,60,H,New Zealand,NZ,,,57800,57800
Porirua Pa,318141.771910368,5444179.048813751,60,G,New Zealand,NZ,,,52500,52500
New Plymouth,247655.22391319537,5671775.478937268,60,H,New Zealand,NZ,,,52500,52500
Invercargill,297289.2167319856,4854938.605988206,59,G,New Zealand,NZ,Southland,,49200,49200
Wanganui,333381.0967283459,5577821.740571636,60,H,New Zealand,NZ,,,43200,43200
Gisborne,587376.2791038291,5721214.005378128,60,H,New Zealand,NZ,,,34300,34300
Timaru,520322.5343836009,5083839.647542202,59,G,New Zealand,NZ,Canterbury,,27200,27200
Pukekohe East,318067.37174199504,5880972.331235807,60,H,New Zealand,NZ,,,26300,26300
Paraparaumu Beach,330134.06468944566,5470386.054382248,60,G,New Zealand,NZ,,,25263,25263
Taupo,420270.8510509052,5717964.692264414,60,H,New Zealand,NZ,,,22600,22600
Masterton,387023.5150495114,5464846.433559811,60,G,New Zealand,NZ,,,20200,20200
Levin,354120.4838211837,5500514.856245548,60,G,New Zealand,NZ,,,19550,19550
Whakatane,500000.0,5796034.215637712,60,H,New Zealand,NZ,,,18700,18700
Tokoroa,400810.9622367252,5767688.532442357,60,H,New Zealand,NZ,,,13350,13350
Hawera,266714.1848672597,5614035.977652072,60,H,New Zealand,NZ,,,11100,11100
Greymouth,517003.3814124299,5300114.752040889,59,G,New Zealand,NZ,West Coast,,10100,10100
Thames,369726.0589853993,5889329.7190574305,60,H,New Zealand,NZ,,,6756,6756
Kerikeri,770038.4853775413,6098895.312062034,59,H,New Zealand,NZ,,,5856,5856
Wanaka,351826.71091099037,5047589.370110553,59,G,New Zealand,NZ,Otago,,5037,5037
Westport,548502.6958969198,5377517.842136956,59,G,New Zealand,NZ,West Coast,,3900,3900
Turangi,407634.31203896226,5682682.305384459,60,H,New Zealand,NZ,,,3240,3240
Hokitika,497028.77891616913,5270586.691291572,59,G,New Zealand,NZ,West Coast,,3078,3078
Waioruarangi,720837.5345474477,5302322.357157149,59,G,New Zealand,NZ,,,2172,2172
Te Anau,712486.0377176558,4967397.916675986,58,G,New Zealand,NZ,Southland,,1857,1857
Waitangi,537446.0338195912,5133574.686003341,1,G,New Zealand,NZ,,,300,300
