city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Lima,276836.3185221617,8667083.732957894,18,L,Peru,PE,Lima,primary,8012000,6758234
Callao,269420.71060252434,8666298.73701445,18,L,Peru,PE,Callao,admin,876877,695586
Arequipa,229246.23393443757,8185249.118864803,19,K,Peru,PE,Arequipa,admin,815000,736570
Trujillo,717563.9868161723,9102797.407084847,17,L,Peru,PE,La Libertad,admin,765171,276921
Chilape,628723.4125786265,9255995.165583292,17,M,Peru,PE,Lambayeque,,596792,577375
Iquitos,693922.1369699275,9585409.838361435,18,M,Peru,PE,Loreto,admin,458729,437620
Huancayo,477704.3427280236,8666235.73639141,18,L,Peru,PE,Junín,admin,412733,376657
Piura,540691.4232074819,9425825.094866758,17,M,Peru,PE,Piura,admin,396932,325466
Cusco,178775.05213056004,8503119.685381608,19,L,Peru,PE,Cusco,admin,361182,312140
Chimbote,764750.5850450246,8996779.96998012,17,L,Peru,PE,Ancash,,349846,316966
Pucallpa,550745.4497447817,9073053.030315304,18,L,Peru,PE,Ucayali,admin,310750,299084
Tacna,367843.82087592315,8008754.695670512,19,K,Peru,PE,Tacna,,280098,241987
Ica,421337.9608130398,8444657.2897881,18,L,Peru,PE,Ica,admin,279420,246844
Juliaca,378745.8342535505,8287188.148964321,19,L,Peru,PE,Puno,,245675,223181
Ayacucho,587069.1144137521,8551063.414895779,18,L,Peru,PE,Ayacucho,,166314,140033
Sullana,534767.0611025487,9458301.708338214,17,M,Peru,PE,Piura,,160789,68204
Huánuco,363818.5066095097,8902004.100424137,18,L,Peru,PE,Huánuco,admin,158145,147959
Chincha Alta,377670.8849421097,8516930.299097564,18,L,Peru,PE,Ica,,153076,124140
Cajamarca,775015.2088805854,9207412.112682749,17,M,Peru,PE,Cajamarca,admin,142665,135000
Cerro de Pasco,362553.6504205922,8820508.230854899,18,L,Peru,PE,Pasco,admin,137232,78910
Puno,390789.23202920594,8248253.863741294,19,L,Peru,PE,Puno,admin,116552,106148
Tumbes,560914.4678341845,9605722.707275484,17,M,Peru,PE,Tumbes,admin,109223,102343
Talara,470153.43490586116,9494067.033829693,17,M,Peru,PE,Piura,,99074,50447
Chosica,315582.15457782615,8680446.757129632,18,L,Peru,PE,Lima,,88606,539
Huaraz,222490.80777027068,8945782.541869983,18,L,Peru,PE,Ancash,admin,86934,63039
Pisco,370191.6602163747,8484350.853321731,18,L,Peru,PE,Ica,,81207,61869
Huacho,215431.2105782103,8770979.488967402,18,L,Peru,PE,Lima,,80474,54545
Chulucanas,592568.2490103022,9436527.20470745,17,M,Peru,PE,Piura,,68835,52035
Puerto Maldonado,479457.7869212835,8607830.505219333,19,L,Peru,PE,Madre de Dios,admin,67155,37543
Paita,487197.9371443774,9437553.548214298,17,M,Peru,PE,Piura,,56151,39632
Abancay,729194.7470219932,8491763.977792803,18,L,Peru,PE,Apurímac,admin,55111,52851
Moquegua,294146.6329970109,8097477.057385836,19,K,Peru,PE,Moquegua,admin,54517,22703
Ilo,251782.7505414393,8048092.076485783,19,K,Peru,PE,Moquegua,,53476,52908
Tingo María,390130.37211022666,8971855.889265358,18,L,Peru,PE,Huánuco,,53177,19100
Jaén,742828.9646526744,9368491.948812347,17,M,Peru,PE,Cajamarca,,52493,45849
Tarma,425089.5363223398,8737822.40691382,18,L,Peru,PE,Junín,,51350,462
Ferreñafe,633963.6434675959,9266407.738407532,17,M,Peru,PE,Lambayeque,,50184,34357
Mollendo,817966.5365692343,8115853.220638193,18,K,Peru,PE,Arequipa,,49033,28953
Moyobamba,281766.7235625675,9332624.576648597,18,M,Peru,PE,San Martín,admin,47734,44276
Huancavelica,502967.2376536684,8586904.041652314,18,L,Peru,PE,Huancavelica,admin,44388,41576
Hualmay,214448.79786311561,8772169.715652835,18,L,Peru,PE,Lima,,40400,20723
Pacasmayo,658081.4856829129,9181443.97591326,17,M,Peru,PE,La Libertad,,39282,29165
Juanjuí,309214.38195693726,9206327.84756372,18,M,Peru,PE,San Martín,,37715,16990
Sicuani,259736.66223017196,8421144.897907406,19,L,Peru,PE,Cusco,,33575,8274
Forbe Oroya,401865.66711842053,8726344.240098638,18,L,Peru,PE,Junín,,33345,33345
Pativilca,196460.4752661932,8816412.417682862,18,L,Peru,PE,Lima,,31905,13583
Huamachuco,825690.7450286483,9135226.23252169,17,M,Peru,PE,La Libertad,,30835,21768
Casma,796673.9841446243,8951605.522696458,17,L,Peru,PE,Ancash,,30000,24842
Tocache Viejo,328882.8110317121,9094308.033946361,18,L,Peru,PE,San Martín,,29029,2616
Chancay,252756.53628247636,8721100.9846495,18,L,Peru,PE,Lima,,26958,10244
Chachapoyas,182292.75138587772,9310445.005657952,18,M,Peru,PE,Amazonas,,25978,20279
Nazca,506926.3002685103,8361087.148229676,18,L,Peru,PE,Ica,,23556,23218
Sechura,519845.88897289406,9386208.700044408,17,M,Peru,PE,Piura,,23020,8602
