city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Katowice,359404.11613115866,5569224.317662337,34,U,Poland,PL,Śląskie,admin,2746000,308724
Warsaw,500000.0,5788844.517726871,34,U,Poland,PL,Mazowieckie,primary,1707000,1702139
Łódź,394153.42520140635,5734345.471325706,34,U,Poland,PL,Łódzkie,admin,758000,758000
Kraków,427002.987052992,5545525.3771208795,34,U,Poland,PL,Małopolskie,admin,756000,755050
Gdańsk,347846.19127788185,6026198.750543621,34,U,Poland,PL,Pomorskie,admin,740000,455830
Bytom,352929.4772560578,5579369.094929466,34,U,Poland,PL,Śląskie,minor,662247,189186
Wrocław,642364.9553148793,5662911.690959908,33,U,Poland,PL,Dolnośląskie,admin,634893,610049
Poznań,633748.9646323429,5809202.134099835,33,U,Poland,PL,Wielkopolskie,admin,623997,570352
Gliwice,334525.967169211,5574303.3809346175,34,U,Poland,PL,Śląskie,minor,507670,198835
Szczecin,473023.5214632269,5921243.335723583,33,U,Poland,PL,Zachodniopomorskie,admin,407811,372672
Bydgoszcz,300622.9603055798,5890554.652212802,34,U,Poland,PL,Kujawsko-Pomorskie,admin,366452,365992
Lublin,609337.6364789167,5678792.360895482,34,U,Poland,PL,Lubelskie,admin,360044,355958
Gdynia,341349.9680359838,6041916.399665859,34,U,Poland,PL,Pomorskie,minor,314664,253730
Białystok,643832.9729537092,5889262.329655302,34,U,Poland,PL,Podlaskie,admin,291855,285590
Rzeszów,571965.4573052982,5543255.653443362,34,U,Poland,PL,Podkarpackie,admin,245686,158382
Kielce,473985.5704893301,5635843.562172757,34,U,Poland,PL,Świętokrzyskie,admin,215733,208598
Olsztyn,466668.0597892498,5959157.837659961,34,U,Poland,PL,Warmińsko-Mazurskie,admin,186670,171803
Opole,706694.6304257707,5617447.059420332,33,U,Poland,PL,Opolskie,admin,131412,127676
Elbląg,396085.26743052294,6001625.434881238,34,U,Poland,PL,Warmińsko-Mazurskie,minor,127558,121106
Zielona Góra,534768.3230758805,5754412.853068987,33,U,Poland,PL,Lubuskie,admin,118433,109298
Koszalin,577308.1547185917,6005709.1618676195,33,U,Poland,PL,Zachodniopomorskie,minor,107450,107450
Twierdza Grudziadz,350763.0443876047,5930249.783562988,34,U,Poland,PL,Kujawsko-Pomorskie,,102443,99486
Inowrocław,315544.23347405286,5853404.771370163,34,U,Poland,PL,Kujawsko-Pomorskie,minor,79007,77597
Ełk,589871.6228211828,5965080.309740181,34,U,Poland,PL,Warmińsko-Mazurskie,minor,55769,46856
Nakło nad Notecią,674096.7651740189,5891218.178459402,33,U,Poland,PL,Kujawsko-Pomorskie,minor,,
Ustrzyki Dolne,614908.0575721809,5476561.303465018,34,U,Poland,PL,Podkarpackie,minor,,
Sępólno Krajeńskie,668647.0460017597,5925562.573586226,33,U,Poland,PL,Kujawsko-Pomorskie,minor,,
Gorlice,511525.68907619634,5500628.28826826,34,U,Poland,PL,Małopolskie,minor,,
Nowy Targ,429675.49214872124,5481001.078177367,34,U,Poland,PL,Małopolskie,minor,,
Nowy Tomyśl,577272.9798768423,5796843.651596283,33,U,Poland,PL,Wielkopolskie,minor,,
Łask,370113.10339767707,5716885.602893143,34,U,Poland,PL,Łódzkie,minor,,
Bolesławiec,539748.2471173919,5679357.85138587,33,U,Poland,PL,Dolnośląskie,minor,,
