city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Lisbon,488408.555148115,4285344.016639993,29,S,Portugal,PT,Lisboa,primary,2812000,517802
Picotos,531880.9282396568,4560185.52810388,29,T,Portugal,PT,Porto,,1337000,249633
Braga,548366.6778225554,4600013.426697427,29,T,Portugal,PT,Braga,admin,826833,181819
Funchal,321765.6316532657,3612233.399258229,28,S,Portugal,PT,Madeira,admin,204767,100847
Setúbal,508715.76823710516,4264996.857392098,29,S,Portugal,PT,Setúbal,admin,117974,117110
Copeira,549038.6725628296,4447552.378468148,29,T,Portugal,PT,Coimbra,,106582,89131
Ponta Delgada,617488.3886807046,4177065.130446532,26,S,Portugal,PT,Azores,admin,61526,20056
Portimão,540873.8770074121,4110129.1233069496,29,S,Portugal,PT,Faro,minor,61226,38487
Évora,595830.5103892374,4269264.475559158,29,S,Portugal,PT,Évora,admin,55620,55620
Aveiro,529970.7788099819,4499329.15519258,29,T,Portugal,PT,Aveiro,admin,54162,54162
Leiria,516706.6682642915,4399775.840042734,29,S,Portugal,PT,Leiria,admin,45112,45112
Faro,594983.4895190528,4097553.736092093,29,S,Portugal,PT,Faro,admin,41355,21163
Beja,599786.8097693047,4208096.101946954,29,S,Portugal,PT,Beja,admin,35854,21658
Bragança,686313.2949005199,4630648.164449309,29,T,Portugal,PT,Bragança,admin,34375,34375
Castelo Branco,629155.1891187549,4409111.888079242,29,S,Portugal,PT,Castelo Branco,admin,33479,33479
Guarda,646871.8210729272,4488843.0722243,29,T,Portugal,PT,Guarda,admin,32111,32111
Santarém,527330.4896479227,4342718.085749919,29,S,Portugal,PT,Santarém,admin,29385,29385
Viseu,592163.7467193755,4501698.91692313,29,T,Portugal,PT,Viseu,admin,26364,26364
Covilhã,627169.4532861235,4460576.083999784,29,T,Portugal,PT,Castelo Branco,minor,24828,17610
Vila Marim,602152.0166776158,4573329.598020495,29,T,Portugal,PT,Vila Real,,17001,17001
Portalegre,635368.8980971833,4350930.277923162,29,S,Portugal,PT,Portalegre,admin,15581,15581
Viana do Castelo,513907.67402286833,4615730.752305673,29,T,Portugal,PT,Viana do Castelo,admin,15555,15555
Angra do Heroísmo,481146.335101086,4277960.138769752,26,S,Portugal,PT,Azores,,12045,10228
Portela,354732.54887194955,4266308.556446401,26,S,Portugal,PT,Azores,,6611,6572
Lagos,528946.0288110202,4106213.1143078064,29,S,Portugal,PT,Faro,minor,,
Paredes de Coura,536413.2314133064,4639890.779521639,29,T,Portugal,PT,Viana do Castelo,minor,,
São João da Pesqueira,633853.0844269281,4556418.529214315,29,T,Portugal,PT,Viseu,minor,,
São João da Madeira,542135.2895675347,4527882.772853105,29,T,Portugal,PT,Aveiro,minor,,
Fornos de Algodres,623423.9585481987,4498494.482461673,29,T,Portugal,PT,Guarda,minor,,
Castelo de Paiva,561781.5013417344,4546011.896874241,29,T,Portugal,PT,Aveiro,minor,,
Portel,613448.4952038492,4240671.252207796,29,S,Portugal,PT,Évora,minor,,
Porto,532642.0311371358,4555437.880660426,29,T,Portugal,PT,Porto,admin,,
Sertã,577138.7626584695,4406887.014728313,29,S,Portugal,PT,Castelo Branco,minor,,
Vila do Bispo,507871.3082359189,4104102.643789996,29,S,Portugal,PT,Faro,minor,,
