city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Bucharest,428370.4801348353,4920397.880169982,35,T,Romania,RO,Bucureşti,primary,1942000,1742194
Iaşi,545473.2417835062,5223860.088513959,35,T,Romania,RO,Iaşi,admin,325914,325914
Cluj-Napoca,698521.2642486279,5182517.991407804,34,T,Romania,RO,Cluj,admin,316748,282141
Timişoara,517673.57029032544,5066234.717826815,34,T,Romania,RO,Timiş,admin,315053,304097
Galaţi,582105.6516090916,5033477.845417482,35,T,Romania,RO,Galaţi,admin,311156,294087
Braşov,389582.10581206495,5054285.545785902,35,T,Romania,RO,Braşov,admin,311044,276088
Craiova,723292.3291945392,4910858.603152944,34,T,Romania,RO,Dolj,admin,304142,298145
Constanţa,631879.8075395403,4893559.221832161,35,T,Romania,RO,Constanţa,admin,303399,266826
Ploieşti,422430.92915049277,4977866.346432567,35,T,Romania,RO,Prahova,admin,232542,228851
Oradea,570868.6478255931,5212995.240392794,34,T,Romania,RO,Bihor,admin,213830,206614
Brăila,577141.3106716396,5013044.69512975,35,T,Romania,RO,Brăila,admin,213569,213569
Bacău,492336.1950396449,5157016.073555963,35,T,Romania,RO,Bacău,admin,199668,171396
Piteşti,331422.3365770785,4968501.392506701,35,T,Romania,RO,Argeş,admin,171021,167669
Arad,524439.1439181509,5114466.105623627,34,T,Romania,RO,Arad,admin,169065,149611
Sibiu,278526.59105651325,5075777.051242665,35,T,Romania,RO,Sibiu,admin,155565,151894
Târgu-Mureş,313459.9551094306,5158035.75630659,35,T,Romania,RO,Mureş,admin,149433,146863
Baia Mare,693937.0676296069,5282485.794322931,34,T,Romania,RO,Maramureş,admin,136553,132707
Buzău,486898.4105798139,4999627.228459757,35,T,Romania,RO,Buzău,admin,130954,130698
Botoşani,475014.97634491837,5288568.169107781,35,T,Romania,RO,Botoşani,admin,114783,111935
Satu Mare,641027.8632653333,5295788.790636772,34,T,Romania,RO,Satu Mare,admin,112490,112490
Râmnicu Vâlcea,292814.5744193002,4997432.939258294,35,T,Romania,RO,Vâlcea,admin,107558,107558
Drobeta-Turnu Severin,631360.0880268501,4943399.314380571,34,T,Romania,RO,Mehedinţi,admin,106578,102346
Scheia,442424.49471343344,5277685.061292723,35,T,Romania,RO,Suceava,,105796,87935
Focşani,514272.4224915275,5060732.656063029,35,T,Romania,RO,Vrancea,admin,105112,80161
Piatra Neamţ,449237.5824115133,5196119.381880745,35,T,Romania,RO,Neamţ,admin,102688,102688
Târgu Jiu,679804.9648082242,4991041.072961522,34,T,Romania,RO,Gorj,admin,97179,97179
Tulcea,641455.5388639864,5003041.262633228,35,T,Romania,RO,Tulcea,admin,92475,86288
Târgovişte,377694.6483517066,4976713.1611946095,35,T,Romania,RO,Dâmboviţa,admin,88435,88435
Reşiţa,569712.2440399867,5016754.5301434705,34,T,Romania,RO,Caraş-Severin,admin,83324,81228
Bistriţa,309149.93584145815,5223054.137264395,35,T,Romania,RO,Bistriţa-Năsăud,admin,81318,81318
Salcia,286436.4730221102,4923506.347699852,35,T,Romania,RO,Olt,,78988,78988
Călăraşi,526634.7447607613,4894140.805516697,35,T,Romania,RO,Călăraşi,admin,73224,69167
Vaslui,556132.2382746333,5164680.198523071,35,T,Romania,RO,Vaslui,admin,69225,69225
Giurgiu,416991.0954974829,4859433.934847116,35,T,Romania,RO,Giurgiu,admin,69067,69067
Deva,647429.504238829,5082840.385914778,34,T,Romania,RO,Hunedoara,,67802,67802
Alba Iulia,699790.6405605588,5104699.360027468,34,T,Romania,RO,Alba,admin,66085,66085
Zalău,655267.3992087714,5229428.258888412,34,T,Romania,RO,Sălaj,admin,63232,63232
Sfântu-Gheorghe,405564.83203003596,5079953.137862206,35,T,Romania,RO,Covasna,admin,60677,60677
Slobozia,529115.968943515,4934879.8082886385,35,T,Romania,RO,Ialomiţa,admin,52693,52693
Alexandria,366338.3545993216,4871371.901712107,35,T,Romania,RO,Teleorman,admin,49346,49346
Hunedoara,647781.9049013202,5068026.87412546,34,T,Romania,RO,Hunedoara,admin,,
Miercurea-Ciuc,407669.1445308698,5133635.748627677,35,T,Romania,RO,Harghita,admin,,
Slatina,290415.97719740745,4923376.994806597,35,T,Romania,RO,Olt,admin,,
Suceava,443658.235773493,5275820.480180629,35,T,Romania,RO,Suceava,admin,,
