city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Bratislava,657431.698554972,5335138.928920872,33,U,Slovakia,SK,Bratislavský,primary,423737,373687
Košice,518984.77180926985,5395689.437896577,34,U,Slovakia,SK,Košický,admin,236563,184070
Prešov,517111.06692641386,5427303.612761149,34,U,Slovakia,SK,Prešovský,admin,94718,76019
Žilina,334936.84860057186,5454014.899536534,34,U,Slovakia,SK,Žilinský,admin,87625,85985
Banská Bystrica,364241.52406338707,5400138.608993711,34,U,Slovakia,SK,Banskobystrický,admin,82336,79232
Trnava,691575.9994074655,5361483.014219667,33,U,Slovakia,SK,Trnavský,admin,69785,52053
Zvolen,363778.8454947813,5381794.202604119,34,U,Slovakia,SK,Banskobystrický,minor,44502,32051
Vranov nad Topľou,550199.2551665253,5415270.9939246485,34,U,Slovakia,SK,Prešovský,minor,,
Bánovce nad Bebravou,298302.593227512,5400103.706462213,34,U,Slovakia,SK,Nitriansky,minor,,
Bytča,322253.04086960654,5455230.617857597,34,U,Slovakia,SK,Žilinský,minor,,
Trebišov,553018.6455906169,5386417.844353874,34,U,Slovakia,SK,Košický,minor,,
Komárno,300294.99796575645,5332750.220247205,34,U,Slovakia,SK,Nitriansky,minor,,
Trenčín,283606.2203024088,5419064.218453566,34,U,Slovakia,SK,Trenčiansky,admin,,
Ružomberok,376394.9390513258,5437150.224545216,34,U,Slovakia,SK,Žilinský,minor,,
Zlaté Moravce,307555.4874744007,5362416.246863605,34,U,Slovakia,SK,Nitriansky,minor,,
Gelnica,495387.90646931337,5411432.638958386,34,U,Slovakia,SK,Košický,minor,,
Čadca,339697.249985135,5478168.182748804,34,U,Slovakia,SK,Žilinský,minor,,
Michalovce,567583.9488877356,5400554.832048065,34,U,Slovakia,SK,Košický,minor,,
Snina,584204.5846416291,5426822.961239377,34,U,Slovakia,SK,Prešovský,minor,,
Tvrdošín,395098.19443402975,5465922.847136947,34,U,Slovakia,SK,Žilinský,minor,,
Banská Štiavnica,345457.8940336719,5368269.761334163,34,U,Slovakia,SK,Banskobystrický,minor,,
Brezno,399867.5545602656,5406598.730831022,34,U,Slovakia,SK,Banskobystrický,minor,,
Sobrance,586848.1750454889,5399732.396309349,34,U,Slovakia,SK,Košický,minor,,
Kežmarok,458679.3663643256,5442696.121111843,34,U,Slovakia,SK,Prešovský,minor,,
Rožňava,465947.69931353297,5389773.3361921655,34,U,Slovakia,SK,Košický,minor,,
Topoľčany,291002.30786524503,5382821.72882727,34,U,Slovakia,SK,Nitriansky,minor,,
Veľký Krtíš,377452.97980653006,5341021.78067337,34,U,Slovakia,SK,Banskobystrický,minor,,
Senec,678294.5518609027,5343484.521557804,33,U,Slovakia,SK,Bratislavský,minor,,
Stará Ľubovňa,477185.48061750695,5460697.175311682,34,U,Slovakia,SK,Prešovský,minor,,
Senica,674229.2188914566,5394500.6137019545,33,U,Slovakia,SK,Trnavský,minor,,
Spišská Nová Ves,467894.07739843836,5421394.340104286,34,U,Slovakia,SK,Košický,minor,,
Nitra,284038.1261389289,5354749.222632239,34,U,Slovakia,SK,Nitriansky,admin,,
Medzilaborce,565709.6334810258,5458143.478854158,34,U,Slovakia,SK,Prešovský,minor,,
Považská Bystrica,311884.4266503407,5444167.553368159,34,U,Slovakia,SK,Nitriansky,minor,,
Svidník,541454.7483506048,5461872.708476462,34,U,Slovakia,SK,Prešovský,minor,,
Pezinok,668126.7906154923,5351000.665595586,33,U,Slovakia,SK,Bratislavský,minor,,
Kysucké Nové Mesto,338849.33997174574,5463170.116329907,34,U,Slovakia,SK,Žilinský,minor,,
Humenné,567100.8406530662,5420864.628521343,34,U,Slovakia,SK,Prešovský,minor,,
Malacky,649544.1528543596,5366740.396181325,33,U,Slovakia,SK,Bratislavský,minor,,
Ilava,297784.27211257204,5430881.9188341815,34,U,Slovakia,SK,Nitriansky,minor,,
Lučenec,401211.5299102934,5354114.207249852,34,U,Slovakia,SK,Banskobystrický,minor,,
Myjava,688775.7398057441,5403821.942381057,33,U,Slovakia,SK,Nitriansky,minor,,
Nové Mesto nad Váhom,708051.1833278101,5404108.978907022,33,U,Slovakia,SK,Nitriansky,minor,,
