city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Mogadishu,537150.2936042217,226170.63898084295,38,N,Somalia,SO,Banaadir,primary,1100000,875388
Kismaayo,226781.7355452628,9960374.513850275,38,M,Somalia,SO,Jubbada Hoose,admin,234852,134951
Jamaame,249006.78279972536,7708.07471292113,38,N,Somalia,SO,Jubbada Hoose,,185270,128577
Jawhar,555626.9031820614,307383.6781303984,38,N,Somalia,SO,Shabeellaha Dhexe,admin,111308,62000
Beledweyne,522580.0173417901,523467.1066924476,38,N,Somalia,SO,Hiiraan,admin,62945,55410
Gaalkacyo,768696.3741798569,748964.7538984503,38,N,Somalia,SO,Mudug,admin,61200,53501
Boosaaso,301510.23792471224,1248021.3408182596,39,P,Somalia,SO,Bari,admin,46969,46969
Luuq,227275.86694161448,419717.4659868105,38,N,Somalia,SO,Gedo,,33820,33820
Buurhakaba,397528.05630350695,309811.094606867,38,N,Somalia,SO,Bay,minor,31267,27792
Eyl,369553.0074745639,882307.0654346312,39,N,Somalia,SO,Nugaal,,18904,369
Bandarbeyla,479386.89625558746,1049495.8683393518,39,P,Somalia,SO,Bari,,13753,13753
Garbahaarrey,191154.0652536975,368384.9234781663,38,N,Somalia,SO,Gedo,admin,12652,12652
Buur Gaabo,815773.1723964876,9865077.98105571,37,M,Somalia,SO,Jubbada Hoose,,3096,3096
Garoowe,222985.0262909953,930001.2500050548,39,P,Somalia,SO,Nugaal,admin,2568,2568
Marka,474602.9475827327,189664.79095711414,38,N,Somalia,SO,Shabeellaha Hoose,admin,1958,1958
Xuddur,376733.5411351745,455620.2283733061,38,N,Somalia,SO,Bakool,admin,1639,1639
Bu’aale,231052.97739922674,119848.27511792837,38,N,Somalia,SO,Jubbada Dhexe,admin,1490,1490
Qardho,289771.38321037334,1051271.5386023414,39,P,Somalia,SO,Bari,,1341,1341
Mereeg,755451.7353015416,416672.8584056852,38,N,Somalia,SO,Galguduud,,548,548
Caluula,473536.9006461466,1322818.1202606529,39,P,Somalia,SO,Bari,,513,513
Hurdiyo,514703.6015147235,1167630.8146725663,39,P,Somalia,SO,Bari,,176,176
Qoryooley,447724.35495598475,197617.92376150753,38,N,Somalia,SO,Shabeellaha Hoose,minor,,
Laascaanood,759797.3958971209,937862.4611887584,38,P,Somalia,SO,Sool,admin,,
Ceerigaabo,759081.7612303557,1174525.100261944,38,P,Somalia,SO,Sanaag,admin,,
Baidoa,349963.2078656544,344270.7739998017,38,N,Somalia,SO,Bay,admin,,
Dhuusamarreeb,653600.011717394,612089.9935157532,38,N,Somalia,SO,Galguduud,admin,,
Afgooye,513477.2091556189,236325.9246353263,38,N,Somalia,SO,Shabeellaha Hoose,minor,,
Burco,558567.2451439608,1052622.8124344922,38,P,Somalia,SO,Togdheer,admin,,
Hobyo,225901.66858545464,591960.1412434008,39,N,Somalia,SO,Mudug,minor,,
Laasqoray,193808.7707285873,1235066.089490785,39,P,Somalia,SO,Sanaag,minor,,
Baki,322956.49773977976,1093906.8475455125,38,P,Somalia,SO,Awdal,admin,,
Hargeysa,397389.0172180849,1056904.2334827012,38,P,Somalia,SO,Woqooyi Galbeed,admin,,
Lughaye,384508.9434598687,1181428.503782537,38,P,Somalia,SO,Awdal,minor,,
