city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Madrid,439954.20401698945,4473810.712666702,30,T,Spain,ES,Madrid,primary,5567000,50437
Barcelona,430960.13550720556,4583310.622442574,31,T,Spain,ES,Catalonia,admin,4920000,1581595
Sevilla,236760.12540183036,4141490.7301484235,30,S,Spain,ES,Andalusia,admin,1212045,703021
Bilbao,504970.0739108751,4789791.890666756,30,T,Spain,ES,Basque Country,minor,875552,353187
Valencia,726534.960917581,4371875.453853418,30,S,Spain,ES,Valencia,admin,808000,805304
Zaragoza,676144.9253173672,4612557.686378001,30,T,Spain,ES,Aragon,admin,649404,448507
Málaga,371877.59966312017,4065510.677743126,30,S,Spain,ES,Andalusia,minor,550058,528705
Murcia,664213.3399667821,4206026.84069377,30,S,Spain,ES,Murcia,admin,406807,329838
Granada,446809.9717379316,4114826.1355818533,30,S,Spain,ES,Andalusia,minor,388290,238248
Vigo,522886.6289075979,4675664.056383541,29,T,Spain,ES,Galicia,,378952,292745
Palma,470387.8962345166,4380571.2893111175,31,S,Spain,ES,Balearic Islands,admin,375773,264129
A Coruña,548061.3791235684,4801698.250816376,29,T,Spain,ES,Galicia,minor,370610,242619
Santa María de Gracia,375993.2101213,3149552.6550728725,28,R,Spain,ES,Canary Islands,,336061,222190
Gijón,284954.14327582694,4823751.258472956,30,T,Spain,ES,Asturias,,335972,271452
Valladolid,356474.95431136346,4612927.68562201,30,T,Spain,ES,Castille-Leon,admin,322304,276443
Córdoba,344122.36320806184,4195263.683043724,30,S,Spain,ES,Andalusia,minor,321376,279648
Alicante,719546.7175279877,4247213.950918786,30,S,Spain,ES,Valencia,minor,315863,276827
Cádiz,743595.3746094239,4044601.9503312553,29,S,Spain,ES,Andalusia,minor,283157,24708
Pamplona,611091.5546443351,4741063.860392757,30,T,Spain,ES,Navarre,admin,274545,193166
Oviedo,268815.1617566806,4805105.325162745,30,T,Spain,ES,Asturias,admin,235651,211398
Zuazo de Vitoria,522712.46992819855,4743062.232039485,30,T,Spain,ES,Basque Country,,224578,173641
Santander,434927.29446759925,4812737.746289674,30,T,Spain,ES,Cantabria,admin,208763,183288
Cartagena,677756.7066761727,4163910.4845196144,30,S,Spain,ES,Murcia,,201274,131279
Marbella,331135.3954294125,4042224.8126807096,30,S,Spain,ES,Andalusia,,186131,120008
Mataró,453666.64090063854,4599088.5445293365,31,T,Spain,ES,Catalonia,,183293,116359
Almería,549043.6535932,4076524.8362575,30,S,Spain,ES,Andalusia,minor,179405,124660
Burgos,444383.07525412634,4688882.845336574,30,T,Spain,ES,Castille-Leon,minor,170183,130319
Salamanca,276000.67960959557,4538628.886105378,30,T,Spain,ES,Castille-Leon,minor,162353,158560
Albacete,598914.6020499973,4316935.974835788,30,S,Spain,ES,Castille-La Mancha,minor,158094,97100
Huelva,682655.9975124978,4126412.7199718975,29,S,Spain,ES,Andalusia,minor,144174,95290
Logroño,545215.4310615354,4701738.366963623,30,T,Spain,ES,La Rioja,admin,143698,104139
Badajoz,676037.7066998486,4305183.737942243,29,S,Spain,ES,Extremadura,minor,140133,91144
León,289137.99374639697,4719603.014937077,30,T,Spain,ES,Castille-Leon,minor,136227,133801
Tarragona,353079.0107202452,4553184.043820585,31,T,Spain,ES,Catalonia,minor,126291,89624
Ourense,593697.9532094039,4687192.0847682655,29,T,Spain,ES,Galicia,minor,118107,108083
Jaén,430414.2939750327,4180857.165046526,30,S,Spain,ES,Andalusia,minor,116400,69418
Algeciras,279492.77492758824,4001510.313605678,30,S,Spain,ES,Andalusia,,111027,102348
Santiago de Compostela,537172.6081111334,4747593.502352316,29,T,Spain,ES,Galicia,admin,92430,83012
Lorca,614496.9243408653,4170126.962039614,30,S,Spain,ES,Murcia,,86119,26964
Toledo,411924.9015416604,4413532.277517033,30,S,Spain,ES,Castille-La Mancha,admin,74632,33125
Guadalajara,486312.13379995676,4497544.390175917,30,T,Spain,ES,Castille-La Mancha,minor,72850,30963
Linares,444231.12665816117,4216567.945215147,30,S,Spain,ES,Andalusia,,59761,39338
Arrecife,641150.2753930987,3205050.406346021,28,R,Spain,ES,Canary Islands,,52944,41421
Mérida,730306.3397563656,4310822.2040445525,29,S,Spain,ES,Extremadura,admin,52423,52423
Las Palmas de Gran Canaria,459387.806672856,3108318.7358113723,28,R,Spain,ES,Canary Islands,admin,,
Vitoria-Gasteiz,527235.4323664602,4744211.649932076,30,T,Spain,ES,Basque Country,admin,,
Castellón de la Plana,752794.9665749354,4430568.882002059,30,S,Spain,ES,Valencia,minor,,
