city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Istanbul,664630.8289239977,4541829.380151398,35,T,Turkey,TR,İstanbul,admin,10061000,9945610
Ankara,486350.9281114244,4417963.734189975,36,S,Turkey,TR,Ankara,primary,3716000,3307379
İzmir,512080.64099266916,4251618.504331109,35,S,Turkey,TR,İzmir,admin,2587000,2322818
Bursa,675355.69805408,4451501.626889007,35,T,Turkey,TR,Bursa,admin,1492000,1359089
Adana,707226.731013661,4097592.7691632095,36,S,Turkey,TR,Adana,admin,1293000,1197890
Gaziantep,356188.0467111763,4102690.245520059,37,S,Turkey,TR,Gaziantep,admin,1044000,842524
Konya,454673.3369022979,4191666.7802533167,36,S,Turkey,TR,Konya,admin,919000,518360
Tarsus,668601.5392055467,4087411.328024663,36,S,Turkey,TR,Mersin,minor,894318,238276
Antalya,294698.4159396743,4087159.819199532,36,S,Turkey,TR,Antalya,admin,783000,623937
Trabzon,561132.7145751836,4539566.570618999,37,T,Turkey,TR,Trabzon,admin,764714,230399
Diyarbakır,606995.2582338884,4196930.471047904,37,S,Turkey,TR,Diyarbakır,admin,644763,636410
Samsun,276414.02513838926,4574019.371622753,37,T,Turkey,TR,Samsun,admin,609339,538106
Kayseri,716028.2381316293,4289994.156371864,36,S,Turkey,TR,Kayseri,admin,592840,531591
Eskişehir,287655.36111016845,4405910.50597478,36,S,Turkey,TR,Eskişehir,admin,514869,466420
Kocaeli,746197.3806108601,4516980.313917023,35,T,Turkey,TR,Kocaeli,admin,466504,300611
Malatya,440291.4438154263,4244890.637502624,37,S,Turkey,TR,Malatya,admin,461574,441805
Şanlıurfa,481703.9108396874,4113427.2382440977,37,S,Turkey,TR,Şanlıurfa,admin,449549,413266
Erzurum,694627.2776764095,4420095.828991206,37,S,Turkey,TR,Erzurum,admin,420691,362917
Kahramanmaraş,316911.6959141152,4161760.0666275155,37,S,Turkey,TR,Kahramanmaraş,admin,376045,373446
Denizli,683847.7855050003,4182810.889472295,35,S,Turkey,TR,Denizli,admin,372344,313238
Van,359006.3308617888,4261928.741018193,38,S,Turkey,TR,Van,admin,371713,280811
Hatay,244425.28159612362,4010605.3434877964,37,S,Turkey,TR,Hatay,admin,305564,305564
Batman,687498.833871112,4195462.563899943,37,S,Turkey,TR,Batman,admin,302074,250601
İskenderun,247123.3073278926,4052798.62489217,37,S,Turkey,TR,Hatay,minor,297943,159965
Sakarya,280882.48437797895,4517641.480092921,36,T,Turkey,TR,Sakarya,admin,286787,286787
Rize,627959.624497401,4542185.30118688,37,T,Turkey,TR,Rize,admin,279450,96503
Elazığ,519416.10200939095,4280659.501719718,37,S,Turkey,TR,Elazığ,admin,271492,271492
Sivas,330029.5188816803,4401707.242684835,37,S,Turkey,TR,Sivas,admin,264022,227581
Balıkesir,576024.4074968734,4389194.502448539,35,S,Turkey,TR,Balıkesir,admin,261516,238151
Manisa,537129.2531913922,4273809.469457251,35,S,Turkey,TR,Manisa,admin,243971,231429
Adıyaman,436256.7716508833,4179922.8959343187,37,S,Turkey,TR,Adıyaman,admin,223744,167250
Kırıkkale,543322.7153541676,4410707.48474636,36,S,Turkey,TR,Kırıkkale,admin,211138,205971
Aydın,573872.4582474222,4188950.661570554,35,S,Turkey,TR,Aydın,admin,198857,163022
Kütahya,756805.2218203801,4368096.546173447,35,S,Turkey,TR,Kütahya,admin,185008,151911
Çorum,665398.2503750123,4490514.684988138,36,T,Turkey,TR,Çorum,admin,183418,153670
Isparta,284389.49004273245,4182501.6562579814,36,S,Turkey,TR,Isparta,admin,172334,149844
Zonguldak,399188.6353359336,4589570.780470496,36,T,Turkey,TR,Zonguldak,admin,156918,100229
Ordu,405004.2975257852,4536920.96709191,37,T,Turkey,TR,Ordu,admin,155117,116788
Uşak,709289.9505218607,4283293.3655078495,35,S,Turkey,TR,Uşak,admin,152862,141519
Nusaybin,695991.2734469327,4103932.9091305602,37,S,Turkey,TR,Mardin,minor,152668,88977
Tokat,292196.64846518706,4465466.950213643,37,T,Turkey,TR,Tokat,admin,129702,129702
Erzincan,541998.0672411175,4398924.914378042,37,S,Turkey,TR,Erzincan,admin,129407,114027
Karabük,468784.4521518821,4561568.348316345,36,T,Turkey,TR,Karabük,admin,128564,97481
Edirne,463264.6738804847,4613869.65783011,35,T,Turkey,TR,Edirne,admin,126470,102378
Tekirdağ,542781.9363586911,4536440.692179651,35,T,Turkey,TR,Tekirdağ,admin,122287,94245
Karaman,519084.39909082354,4114985.5493669226,36,S,Turkey,TR,Karaman,admin,120399,86840
Giresun,448415.1741796381,4529721.742356611,37,T,Turkey,TR,Giresun,admin,98864,98864
Bafra,742381.07179326,4605870.483566206,36,T,Turkey,TR,Samsun,minor,97452,92944
Bolu,382303.2635266866,4510367.054668743,36,T,Turkey,TR,Bolu,admin,96629,96349
Kırşehir,600577.3981774083,4333604.980598747,36,S,Turkey,TR,Kırşehir,admin,94336,94336
Samandağ,767988.1712114536,3996935.6859708084,36,S,Turkey,TR,Hatay,minor,93638,93638
Polatlı,426252.45049265446,4381179.374498681,36,S,Turkey,TR,Ankara,minor,93262,52001
Ereğli,592635.1692663118,4152265.33213452,36,S,Turkey,TR,Konya,minor,92117,81009
Niğde,647516.1846224834,4203354.419249046,36,S,Turkey,TR,Niğde,admin,91039,91039
Lüleburgaz,530022.5654733757,4583651.835099775,35,T,Turkey,TR,Kırklareli,minor,90899,45080
Yozgat,654435.1129462302,4409336.876321348,36,S,Turkey,TR,Yozgat,admin,87881,87881
Ağrı,332007.567775105,4397924.958623287,38,S,Turkey,TR,Ağrı,admin,87854,87854
Çanakkale,449982.6130329883,4445184.2933689505,35,T,Turkey,TR,Çanakkale,admin,87791,61543
Amasya,739523.2792779857,4504134.508198473,36,T,Turkey,TR,Amasya,admin,82896,72505
Muş,715990.2777339463,4289927.927096408,37,S,Turkey,TR,Muş,admin,82536,78546
Kilis,331649.9035167092,4065036.3747633738,37,S,Turkey,TR,Kilis,admin,82301,64339
Bingöl,629571.2554395292,4305044.708604705,37,S,Turkey,TR,Bingöl,admin,80568,80568
Hakkari,388810.4059618596,4159345.5107654594,38,S,Turkey,TR,Hakkâri,admin,77699,7071
Kars,338007.31261968426,4495922.153316408,38,T,Turkey,TR,Kars,admin,77486,48100
Söke,535779.6599147915,4177955.519871032,35,S,Turkey,TR,Aydın,minor,77341,68230
Nevşehir,649048.6799470495,4276554.189979162,36,S,Turkey,TR,Nevşehir,admin,75527,75527
Eskitatvan,264600.2597823773,4266598.284516204,38,S,Turkey,TR,Bitlis,,73222,63651
Çankırı,552059.5239896963,4494531.290418526,36,T,Turkey,TR,Çankırı,admin,71379,71379
Mardin,654503.8937783792,4131030.8728664704,37,S,Turkey,TR,Mardin,admin,71373,57586
Kastamonu,564828.0918776466,4581015.735321357,36,T,Turkey,TR,Kastamonu,admin,70402,70402
