city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Luanda,305685.31409502233,9022729.876393849,33,L,Angola,AO,Luanda,primary,5172900,1951272
Huambo,580229.5412514025,8587508.658024242,33,L,Angola,AO,Huambo,admin,1100000,872000
Lobito,341954.2723710548,8634103.974070687,33,L,Angola,AO,Benguela,,207932,133534
Benguela,326969.7271853534,8608970.237417959,33,L,Angola,AO,Benguela,admin,151226,132808
Namibe,194013.99273695587,8317988.632201266,33,L,Angola,AO,Namibe,admin,132900,123361
Malanje,647649.9377342546,8944636.507586826,33,L,Angola,AO,Malanje,admin,125856,87046
Lubango,338660.41738545394,8350347.24184483,33,L,Angola,AO,Huíla,admin,125632,102541
Cuito,710195.2775462164,8630296.8428081,33,L,Angola,AO,Bié,admin,114286,113624
Cabinda,189758.96212573006,9385805.416331578,33,M,Angola,AO,Cabinda,admin,91791,66020
Capenda Camulemba,218349.00739231956,8957882.886847751,34,L,Angola,AO,Lunda Norte,,80000,79685
Soio,208793.2078986927,9321167.990374478,33,M,Angola,AO,Zaire,,67491,63167
Mbanza Congo,415941.4825548218,9307216.578694768,33,M,Angola,AO,Zaire,admin,60182,24220
Uíge,506245.3277820311,9158453.620140739,33,M,Angola,AO,Uíge,admin,60008,53567
Saurimo,433247.7505988566,8932033.008436723,34,L,Angola,AO,Lunda Sul,admin,41316,40498
Tômbua,805335.4315041968,8251118.379509126,32,L,Angola,AO,Namibe,,40000,40000
Somba,375022.2515336537,8757349.409988422,33,L,Angola,AO,Kwanza Sul,,33277,26000
Lucapa,471890.58746542234,9069354.709167358,34,L,Angola,AO,Lunda Norte,admin,31041,20115
Mavinga,430385.4413624705,8253079.783975877,34,L,Angola,AO,Kuando Kubango,,30000,30000
Caxito,352995.0246075281,9051325.631753866,33,L,Angola,AO,Bengo,admin,28224,3107
Luena,381969.5197704448,8697176.904573835,34,L,Angola,AO,Moxico,admin,21115,13438
Nzeto,264428.7950699426,9200144.392928911,33,M,Angola,AO,Zaire,,21059,18352
Camacupa,770394.601469851,8670382.812536485,33,L,Angola,AO,Bié,,19828,19150
Luanga,636188.2064601837,8815560.893353518,34,L,Angola,AO,Moxico,,18465,1463
Ambriz,291221.8331797221,9132442.664118884,33,M,Angola,AO,Bengo,,17000,17000
Menongue,789546.8523405555,8377377.503909513,33,L,Angola,AO,Kuando Kubango,admin,13030,13030
Camabatela,541300.3076145512,9094885.849591302,33,L,Angola,AO,Kwanza Norte,,12837,12625
Uacu Cungo,513177.83496542653,8743832.720423289,33,L,Angola,AO,Kwanza Sul,,12069,10970
Dundo,481658.19986203464,9184119.634348685,34,M,Angola,AO,Lunda Norte,,11985,11985
Songo,483035.816769424,9187327.477744173,33,M,Angola,AO,Uíge,,10579,10579
Ondjiva,578032.4627551128,8112923.340609559,33,K,Angola,AO,Cunene,admin,10169,7327
Quibala,497807.6087414826,8813469.577950107,33,L,Angola,AO,Kwanza Sul,,8915,1582
N’dalatando,490848.205713742,8971979.310994005,33,L,Angola,AO,Kwanza Norte,admin,8144,8144
Cubal,418677.7461992085,8559058.064596433,33,L,Angola,AO,Benguela,,4837,4837
Dondo,436548.7763632202,8930041.684097528,33,L,Angola,AO,Kwanza Norte,,2353,2353
Muconda,534791.4904374727,8829074.944399443,34,L,Angola,AO,Lunda Sul,,2324,2324
Chibemba,401799.74118885864,8258504.668508628,33,L,Angola,AO,Huíla,,1502,1502
Chibia,360349.6717881454,8320981.41096982,33,L,Angola,AO,Huíla,,1411,1411
Bala Cangamba,377463.53983916296,8481477.679095414,34,L,Angola,AO,Moxico,,1307,1307
Cacolo,310016.90137878794,8878046.249467464,34,L,Angola,AO,Lunda Sul,,984,984
Cacuso,489683.7431399715,8895450.31320195,33,L,Angola,AO,Kwanza Sul,,795,795
Calenga,635239.6197379405,8744327.05184706,33,L,Angola,AO,Bié,,531,531
Chitado,384876.2552428511,8085089.15195727,33,K,Angola,AO,Cunene,,500,437
Xangongo,498223.5752366811,8148100.799661228,33,K,Angola,AO,Cunene,,447,447
Cazombo,708759.084559215,8683783.923002472,34,L,Angola,AO,Moxico,,298,298
Quipungo,446208.3799678743,8358204.408352926,33,L,Angola,AO,Huíla,,186,186
Luiana,712484.6375966546,8076929.650898206,34,K,Angola,AO,Kuando Kubango,,150,150
Cuito Cuanavale,304818.4092547823,8322430.011612627,34,L,Angola,AO,Kuando Kubango,,149,149
Mucusso,545869.8115542813,8007916.833775696,34,K,Angola,AO,Kuando Kubango,,100,100
Sumbe,373763.3323003055,8760990.016857533,33,L,Angola,AO,Kwanza Sul,admin,,
