city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Ouagadougou,660391.0992395595,1367941.2329031946,30,P,Burkina Faso,BF,Centre,primary,1149000,835457
Bobo-Dioulasso,358286.3622620058,1235878.7246395529,30,P,Burkina Faso,BF,Hauts-Bassins,admin,360106,331964
Koudougou,569309.757932337,1354571.2452051623,30,P,Burkina Faso,BF,Centre-Ouest,admin,87347,83331
Ouahigouya,562575.8055527037,1501659.0338024881,30,P,Burkina Faso,BF,Nord,admin,79504,61096
Banfora,306739.1778263332,1175987.2942886087,30,P,Burkina Faso,BF,Cascades,admin,60288,31519
Dédougou,449930.4160387884,1377837.3724000277,30,P,Burkina Faso,BF,Boucle du Mouhoun,admin,45341,45341
Kaya,707683.9552185057,1448059.4606315056,30,P,Burkina Faso,BF,Centre-Nord,admin,40017,39229
Tenkodogo,786652.6897755283,1303570.6263843153,30,P,Burkina Faso,BF,Centre-Est,admin,38108,37658
Torodi,821113.4096922955,1549377.0816107173,30,P,Burkina Faso,BF,Sahel,,37806,37806
Réo,557524.6674764946,1361954.4372974127,30,P,Burkina Faso,BF,Centre-Ouest,minor,37535,37535
Fada Ngourma,212413.21958393714,1334747.6435751272,31,P,Burkina Faso,BF,Est,admin,33910,33910
Koupéla,788267.2748361924,1347714.396786638,30,P,Burkina Faso,BF,Centre-Est,minor,32052,32052
Kombissiri,681390.5458002479,1333844.6856260493,30,P,Burkina Faso,BF,Centre-Sud,minor,30137,30137
Nouna,406306.2052104323,1407365.2353640073,30,P,Burkina Faso,BF,Boucle du Mouhoun,minor,29048,29048
Gaoua,480071.3893864488,1142056.081152835,30,P,Burkina Faso,BF,Sud-Ouest,,28023,28023
Léo,597575.4243206622,1227219.154396718,30,P,Burkina Faso,BF,Centre-Ouest,minor,26884,26884
Diapaga,368131.28745452815,1334923.3749405718,31,P,Burkina Faso,BF,Est,minor,26013,26013
Zorgo,759427.2435331852,1355258.2976308563,30,P,Burkina Faso,BF,Plateau-Central,minor,23892,23892
Yako,580180.8319753774,1432728.8667237642,30,P,Burkina Faso,BF,Nord,minor,22904,22904
Djibo,648377.6148339054,1559152.6612465554,30,P,Burkina Faso,BF,Sahel,minor,22223,22223
Orodara,290327.87741223135,1214564.4918000663,30,P,Burkina Faso,BF,Hauts-Bassins,,18632,18632
Pô,702563.468098023,1235381.1547864657,30,P,Burkina Faso,BF,Centre-Sud,minor,17924,17924
Tougan,492476.3583654209,1445154.277106148,30,P,Burkina Faso,BF,Boucle du Mouhoun,minor,17590,17590
Boulsa,763422.6539130635,1401494.3553357886,30,P,Burkina Faso,BF,Centre-Nord,minor,17489,17489
Manga,710058.4810784516,1290071.1478641804,30,P,Burkina Faso,BF,Centre-Sud,admin,15173,15173
Diébougou,472721.2020731902,1211798.9038220847,30,P,Burkina Faso,BF,Sud-Ouest,minor,12732,12732
Ziniaré,684993.4399269857,1391495.1310399622,30,P,Burkina Faso,BF,Plateau-Central,admin,12703,12703
Bogandé,809260.7328221059,1435590.2896572563,30,P,Burkina Faso,BF,Est,minor,9854,9854
Gorom-Gorom,798150.6279623215,1598505.853837129,30,P,Burkina Faso,BF,Sahel,minor,6691,6691
Sapouy,633728.2880170405,1277572.3989800883,30,P,Burkina Faso,BF,Centre-Ouest,minor,3837,3837
Sebba,232599.16863056162,1486737.3738175188,31,P,Burkina Faso,BF,Sahel,minor,3273,3273
Déou,745729.5871266869,1615411.8382965615,30,P,Burkina Faso,BF,Sahel,minor,,
Dano,493684.80134162167,1232167.8652958407,30,P,Burkina Faso,BF,Sud-Ouest,minor,,
Sindou,262990.037548659,1179952.8114513538,30,P,Burkina Faso,BF,Cascades,minor,,
Oursi,773518.921068897,1623974.7286914096,30,P,Burkina Faso,BF,Sahel,minor,,
Boromo,507620.34936010634,1298404.0997547957,30,P,Burkina Faso,BF,Boucle du Mouhoun,minor,,
Batié,509136.1645234123,1092514.5622040876,30,P,Burkina Faso,BF,Sud-Ouest,minor,,
Houndé,443653.8650795521,1271316.2386502607,30,P,Burkina Faso,BF,Hauts-Bassins,minor,,
Salanso,381982.5134910386,1346055.722532469,30,P,Burkina Faso,BF,Boucle du Mouhoun,minor,,
Pama,249709.53887667376,1244568.7727756589,31,P,Burkina Faso,BF,Est,minor,,
Tin-Akoff,805119.0031823163,1656460.7910908007,30,P,Burkina Faso,BF,Sahel,minor,,
Kongoussi,658702.4621992176,1473636.6315206967,30,P,Burkina Faso,BF,Centre-Nord,minor,,
Dori,820530.2197890155,1553511.6096169057,30,P,Burkina Faso,BF,Sahel,minor,,
Ouargaye,179123.5805242748,1273132.7931626139,31,P,Burkina Faso,BF,Centre-Est,minor,,
Titao,600896.2043158966,1522116.6535718706,30,P,Burkina Faso,BF,Nord,minor,,
Gaoua,472535.2649663467,1138500.496445358,30,P,Burkina Faso,BF,Sud-Ouest,admin,,
Orodara,288630.5413790188,1211036.6399320327,30,P,Burkina Faso,BF,Hauts-Bassins,minor,,
Aribinda,730505.6363765878,1574141.5753091048,30,P,Burkina Faso,BF,Sahel,minor,,
Gayéri,227695.72403843747,1399541.2091511658,31,P,Burkina Faso,BF,Est,minor,,
Boussé,620226.865557105,1399525.4871950028,30,P,Burkina Faso,BF,Plateau-Central,minor,,
Gourcy,569461.313234797,1460199.6494769035,30,P,Burkina Faso,BF,Nord,minor,,
Toma,510985.54745719425,1410425.3430575426,30,P,Burkina Faso,BF,Boucle du Mouhoun,minor,,
