city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Douala,578633.9450902385,447345.8133810375,32,N,Cameroon,CM,Littoral,admin,1906000,1338082
Yaoundé,779498.4859624584,427803.5331419794,32,N,Cameroon,CM,Centre,primary,1611000,1060587
Bamenda,626841.9066477582,658881.9924326646,32,N,Cameroon,CM,North-West,admin,445299,393835
Garoua,324011.90819653217,1028574.9693708732,33,P,Cameroon,CM,Nord,admin,436899,293974
Maroua,425166.2054833711,1170832.852446013,33,P,Cameroon,CM,Extrême-Nord,admin,319941,201371
Bafoussam,657042.6568706878,605660.1532988602,32,N,Cameroon,CM,Ouest,admin,290768,290768
Ngaoundéré,343620.0114200027,809001.7910339502,33,N,Cameroon,CM,Adamaoua,admin,231357,37288
Bertoua,353940.5508025603,506740.9690384321,33,N,Cameroon,CM,Est,admin,218111,88462
Limbe,523854.4810186123,444805.4883193323,32,N,Cameroon,CM,South-West,,212474,72106
Edéa,625844.3667159581,420102.8482278654,32,N,Cameroon,CM,Littoral,,203149,15864
Kumba,549567.6452054863,512477.2953801722,32,N,Cameroon,CM,South-West,,144413,117831
Kumbo,684406.3274398288,685602.8085379734,32,N,Cameroon,CM,North-West,,125486,53970
Nkongsamba,604259.2007487699,547730.8094627165,32,N,Cameroon,CM,Littoral,,117063,93075
Bafang,630464.060766584,570144.4374352051,32,N,Cameroon,CM,Ouest,,93145,80688
Foumban,710263.2383738543,633332.4157718929,32,N,Cameroon,CM,Ouest,,92673,36125
Buea,526747.4080446303,459010.2584180471,32,N,Cameroon,CM,South-West,admin,90088,90088
Ébolowa,738993.0180834711,320766.8235379851,32,N,Cameroon,CM,Sud,admin,87875,79500
Guider,384535.0729091305,1098220.7914661358,33,P,Cameroon,CM,Nord,,84647,81991
Mbalmayo,777755.1514395033,389074.13657703064,32,N,Cameroon,CM,Centre,,80206,26797
Meïganga,422605.57310655696,720372.2721202056,33,N,Cameroon,CM,Adamaoua,,80100,29629
Bigna,747740.3729777067,521742.4100690288,32,N,Cameroon,CM,Centre,,69270,13132
Wum,617969.0399081092,705701.4307200222,32,N,Cameroon,CM,North-West,,68836,16366
Kribi,601872.1712449869,326108.46985264716,32,N,Cameroon,CM,Sud,,55224,7722
Batouri,429733.9272052756,490056.32949237665,33,N,Cameroon,CM,Est,,43821,40721
Tibati,237697.0776617193,715222.6100322403,33,N,Cameroon,CM,Adamaoua,,35589,8603
Bélabo,311501.246786106,545535.5729352862,33,N,Cameroon,CM,Est,,22553,358
Eséka,696220.7535793509,403632.7759622874,32,N,Cameroon,CM,Centre,,22221,5983
Abong Mbang,298301.82470531634,440507.2785337421,33,N,Cameroon,CM,Est,,14661,735
Kontcha,194976.061131232,881634.1217310076,33,N,Cameroon,CM,Adamaoua,,8018,3674
Mbé,345650.3848327801,867972.7714404077,33,N,Cameroon,CM,Nord,,3950,3950
