"city, province_name",utm easting,utm northing,zone number,zone letter,population,density
"Toronto, Ontario",630984.5006927756,4844470.4680454,17,T,5429524,4334.4
"Montréal, Quebec",612351.8805988252,5040491.346059996,18,T,3519595,3889.0
"Vancouver, British Columbia",492722.42536838364,5455252.511256967,10,U,2264823,5492.6
"Calgary, Alberta",705588.4135469684,5659479.426069999,11,U,1239220,1501.1
"Edmonton, Alberta",334961.1172657523,5934605.991777401,12,U,1062643,1360.9
"Ottawa, Ontario",445629.5613000193,5030365.850660562,18,T,989567,334.0
"Mississauga, Ontario",608960.0608939232,4828332.60144237,17,T,721599,2467.6
"Winnipeg, Manitoba",633156.4292575379,5527425.345975324,14,U,705244,1430.0
"Quebec City, Quebec",331548.5150265715,5186851.130504094,19,T,705103,1173.2
"Hamilton, Ontario",591785.3946050438,4789942.257602033,17,T,693645,480.6
"Brampton, Ontario",599403.5354942898,4837437.613567221,17,T,593638,2228.7
"Surrey, British Columbia",511009.7341932251,5448588.517242541,10,U,517887,1636.8
"Kitchener, Ontario",542678.3790517253,4807436.27902773,17,T,470015,3433.5
"Laval, Quebec",597514.2463197996,5048510.798863157,18,T,422993,1710.9
"Halifax, Nova Scotia",453167.1461958374,4943962.9593800455,20,T,403131,73.4
"London, Ontario",479641.94788287673,4759023.851766485,17,T,383822,913.1
"Victoria, British Columbia",473020.98460261786,5363970.010586194,10,U,335696,4406.3
"Markham, Ontario",639527.2799410301,4859644.218358603,17,T,328966,1549.2
"St. Catharines, Ontario",643573.4926035602,4782685.317812347,17,T,309319,1384.8
"Niagara Falls, Ontario",654171.4683810568,4769217.2258842215,17,T,308596,419.9
"Vaughan, Ontario",620597.9538626753,4854451.534084606,17,T,306233,1119.4
"Gatineau, Quebec",449202.5860266216,5036846.646878023,18,T,276245,773.7
"Windsor, Ontario",335098.24135038187,4683168.255719381,17,T,276165,1484.3
"Saskatoon, Saskatchewan",384788.1621356855,5777200.615386108,13,U,246376,1080.0
"Longueuil, Quebec",615816.9305509884,5043266.055888138,18,T,239700,2002.0
"Burnaby, British Columbia",502422.6149875194,5457104.776763248,10,U,232755,2568.7
