city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Bogotá,603947.6539056568,513954.08025547175,18,N,Colombia,CO,Bogotá,primary,7772000,6333661
Medellín,437655.93699877494,691077.0298572549,18,N,Colombia,CO,Antioquia,admin,3297000,1999979
Cali,330866.70304997603,380055.63170280185,18,N,Colombia,CO,Valle del Cauca,admin,2254000,2178836
Barranquilla,522245.99473319337,1211994.145740328,18,P,Colombia,CO,Atlántico,admin,1798000,1244491
Bucaramanga,707650.0174545294,788033.3971903509,18,N,Colombia,CO,Santander,admin,1009000,571820
Cartagena,443688.8054498408,1149653.335032706,18,P,Colombia,CO,Bolívar,admin,887000,887000
Cúcuta,774790.5877131927,873390.2981931044,18,N,Colombia,CO,Norte de Santander,admin,722146,721398
Soledad,525724.2052140695,1206970.5658689127,18,P,Colombia,CO,Atlántico,,698852,342556
Pereira,422809.74278335983,532069.816250335,18,N,Colombia,CO,Risaralda,admin,568750,440118
Santa Marta,587430.811220309,1242723.1507708635,18,P,Colombia,CO,Magdalena,admin,431781,402641
Ibagué,474236.4286674096,490644.49204997,18,N,Colombia,CO,Tolima,admin,421685,408627
Pasto,246158.55631646977,134247.74819229514,18,N,Colombia,CO,Nariño,admin,382236,360041
Manizales,442651.1074589792,560302.178558394,18,N,Colombia,CO,Caldas,admin,375848,357814
Villavicencio,652438.0808685184,457955.64865900076,18,N,Colombia,CO,Meta,admin,374763,321717
Neiva,468673.78628749435,323561.2543190411,18,N,Colombia,CO,Huila,admin,352855,284277
Armenia,424443.2167266364,501176.9524688147,18,N,Colombia,CO,Quindío,admin,315328,314267
Valledupar,691189.3536930203,1157148.9869763493,18,P,Colombia,CO,Cesar,admin,308237,287018
Montería,403048.9419825587,967103.604294502,18,P,Colombia,CO,Córdoba,admin,275198,272420
Sincelejo,456315.50187297503,1028566.191651054,18,P,Colombia,CO,Sucre,admin,261187,218388
Popayán,320553.0791070045,270293.96630608785,18,N,Colombia,CO,Cauca,admin,258750,258750
Buenaventura,274449.7821826986,429144.7201106637,18,N,Colombia,CO,Valle del Cauca,,252805,240387
Barrancabermeja,626487.6945942742,781120.6413526514,18,N,Colombia,CO,Santander,,191403,164201
Tuluá,367312.38309296314,451583.49158197356,18,N,Colombia,CO,Valle del Cauca,,165501,163062
Tunja,680808.3166845089,612082.0816175236,18,N,Colombia,CO,Boyacá,admin,161412,117479
Cartago,398895.6208528999,524697.191248166,18,N,Colombia,CO,Valle del Cauca,,134827,111513
Ríohacha,728240.2999338142,1277014.4300249743,18,P,Colombia,CO,La Guajira,admin,133186,92431
Ciénaga,582190.2983578861,1216859.6676087228,18,P,Colombia,CO,Magdalena,,131171,88311
Florencia,432567.222460326,178448.24163541486,18,N,Colombia,CO,Caquetá,admin,130337,44861
Girardot,521673.42337153474,475142.68854919064,18,N,Colombia,CO,Cundinamarca,,130289,113372
Sogamoso,728818.3723358054,632038.6106901547,18,N,Colombia,CO,Boyacá,,126551,113592
Pupiales,206133.2366963721,96414.55956549455,18,N,Colombia,CO,Nariño,,109618,77729
Duitama,717677.6065866156,644183.4572521562,18,N,Colombia,CO,Boyacá,,101156,92040
Magangué,526947.005373437,1021619.1185299859,18,P,Colombia,CO,Bolívar,,100313,89511
Quibdó,316040.6763441581,629723.3219059065,18,N,Colombia,CO,Chocó,admin,92780,75104
Tumaco,743014.1294598086,198946.6655947404,17,N,Colombia,CO,Nariño,,86713,86713
Ocaña,681080.7686969184,910951.3873654818,18,P,Colombia,CO,Norte de Santander,,83511,83292
Arauca,306123.50667918497,783457.7635357431,19,N,Colombia,CO,Arauca,admin,69264,23797
Sabanalarga,508681.3310399855,1175027.6137613107,18,P,Colombia,CO,Atlántico,,68535,63027
Yopal,788625.8007642771,590609.5782936134,18,N,Colombia,CO,Casanare,admin,61029,61029
El Carmen de Bolívar,486811.8773883959,1074169.395603699,18,P,Colombia,CO,Bolívar,,60980,47957
Leticia,395616.2246985385,9534013.715652317,19,M,Colombia,CO,Amazonas,admin,59575,32450
San Andrés,423904.6983199674,1391313.7825312763,17,P,Colombia,CO,San Andrés y Providencia,admin,58257,58257
Garzón,430194.1365958861,242732.0907827428,18,N,Colombia,CO,Huila,,56603,29451
El Banco,612578.5252375678,995135.3176219624,18,P,Colombia,CO,Magdalena,,54522,24735
Chiquinquirá,630966.1295286528,620930.175983118,18,N,Colombia,CO,Boyacá,,53975,45294
Pamplona,759644.1567620636,815960.1131396717,18,N,Colombia,CO,Norte de Santander,,53587,52247
Lorica,410641.0418880027,1021099.1856885755,18,P,Colombia,CO,Córdoba,,52771,40605
Turbo,309711.97902796813,895057.9583664493,18,P,Colombia,CO,Antioquia,,50508,34007
Arjona,462340.78679636464,1133565.0515366935,18,P,Colombia,CO,Bolívar,,50405,44045
Honda,529273.7088530149,575724.4020780888,18,N,Colombia,CO,Tolima,,35469,28158
Yarumal,434775.56875956774,777137.1382515562,18,N,Colombia,CO,Antioquia,,35315,35315
Puerto Berrío,565980.0350728626,717582.5774420674,18,N,Colombia,CO,Antioquia,,33983,32405
Túquerres,208598.40771059372,120469.19117607283,18,N,Colombia,CO,Nariño,,33979,20184
Tame,197339.954628654,714939.5595623984,19,N,Colombia,CO,Arauca,,29099,20961
Tolú,436190.44478931633,1052829.6068170809,18,P,Colombia,CO,Sucre,,27390,12049
Socorro,692398.3112018296,715310.1344556666,18,N,Colombia,CO,Santander,,24895,17752
Ayapel,484603.7231924024,918983.1757111893,18,P,Colombia,CO,Córdoba,,23639,22602
Campoalegre,464085.0714237126,296768.16056152177,18,N,Colombia,CO,Huila,,22568,11549
San José del Guaviare,761762.3923224418,284621.5281287847,18,N,Colombia,CO,Guaviare,admin,22136,21214
Mocoa,316784.77764633636,127088.1554702097,18,N,Colombia,CO,Putumayo,admin,22035,22035
Sonsón,465598.8048665379,631225.3198270765,18,N,Colombia,CO,Antioquia,,18817,17232
Puerto López,726923.0382006239,451757.59728579776,18,N,Colombia,CO,Meta,,16678,7649
San Marcos,649214.2416657666,406065.78549660556,18,N,Colombia,CO,Meta,,16273,8335
Guapi,179109.84336038172,284517.75596554205,18,N,Colombia,CO,Cauca,,13853,13853
Puerto Carreño,667527.4630694694,684339.2230372644,19,N,Colombia,CO,Vichada,admin,10216,5861
Mitú,362628.5433802993,139054.9791291748,19,N,Colombia,CO,Vaupés,admin,5917,5917
Orocué,240956.69703317463,530022.3161330085,19,N,Colombia,CO,Casanare,,2835,1418
Nuquí,248494.69404420687,631920.1463392234,18,N,Colombia,CO,Chocó,,2741,233
Juradó,195337.1876010917,786386.9282401942,18,N,Colombia,CO,Chocó,,2351,2351
San Vicente del Caguán,526005.0030122673,234517.07146121722,18,N,Colombia,CO,Caquetá,,1500,1000
Inírida,619480.6562145199,427311.50107196,19,N,Colombia,CO,Guainía,admin,,
