city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Santo Domingo,404974.2554137936,2042053.433857047,19,Q,Dominican Republic,DO,Ozama,primary,2154000,2873
Santiago,321854.84392193134,2151687.3590875757,19,Q,Dominican Republic,DO,Cibao Norte,admin,1550753,1391262
San Pedro de Macorís,468622.39002740453,2041277.4087121924,19,Q,Dominican Republic,DO,Higuamo,admin,217899,204140
La Romana,502867.27328575193,2037465.4900874016,19,Q,Dominican Republic,DO,Yuma,admin,208437,196506
La Vega,339213.8902752607,2126106.2233088827,19,Q,Dominican Republic,DO,Cibao Sur,admin,163197,102426
San Cristóbal,382987.41947693774,2036859.7370061493,19,Q,Dominican Republic,DO,Valdesia,admin,154040,154040
San Francisco de Macorís,368396.0610588228,2134607.41182994,19,Q,Dominican Republic,DO,Cibao Nordeste,admin,152538,124763
Higüey,530384.1075530972,2057629.6063742877,19,Q,Dominican Republic,DO,Yuma,minor,123787,123787
Puerto Plata,323223.1775237319,2188847.8023927663,19,Q,Dominican Republic,DO,Cibao Norte,minor,119897,119897
Barahona,277829.31605247257,2014530.9650037675,19,Q,Dominican Republic,DO,Enriquillo,admin,90128,77160
Bonao,351611.3837551194,2094435.0210134257,19,Q,Dominican Republic,DO,Cibao Sur,minor,73269,73269
San Juan,264984.3986167798,2080823.962175831,19,Q,Dominican Republic,DO,El Valle,admin,72950,72950
Baní,359221.0530973907,2021637.987152085,19,Q,Dominican Republic,DO,Valdesia,minor,66709,66709
Moca,339757.54121113545,2145079.2998664593,19,Q,Dominican Republic,DO,Cibao Norte,minor,61834,61834
Azua,316791.1626861622,2041204.2919733294,19,Q,Dominican Republic,DO,Valdesia,minor,59139,59139
Mao,281970.51896519546,2163215.0287430007,19,Q,Dominican Republic,DO,Cibao Noroeste,admin,48297,48297
Salcedo,351123.5173003442,2143222.1881982256,19,Q,Dominican Republic,DO,Cibao Nordeste,minor,45299,45299
El Pino,219057.8304435414,2090035.5829337034,19,Q,Dominican Republic,DO,,,43894,27908
Cotuí,379058.3357540848,2107056.4122110372,19,Q,Dominican Republic,DO,Cibao Sur,minor,41641,41641
Hato Mayor,472932.9470864107,2074599.0963423143,19,Q,Dominican Republic,DO,Higuamo,minor,35999,35999
Nagua,410791.324134265,2142499.676621938,19,Q,Dominican Republic,DO,Cibao Nordeste,minor,33862,33862
Neiba,244492.62860441962,2045155.2966225173,19,Q,Dominican Republic,DO,Enriquillo,minor,25731,18670
El Seibo,495904.2958471872,2074891.1657745426,19,Q,Dominican Republic,DO,Yuma,minor,23547,23547
Monte Cristi,223326.25943276053,2196741.5755618876,19,Q,Dominican Republic,DO,Cibao Noroeste,minor,17001,16704
Dajabón,215817.7443998758,2163799.0122285946,19,Q,Dominican Republic,DO,Cibao Noroeste,minor,16398,16398
Sabaneta,254242.29568352128,2155385.7596573224,19,Q,Dominican Republic,DO,Cibao Noroeste,minor,16380,16380
Monte Plata,417388.52119125635,2079655.086955865,19,Q,Dominican Republic,DO,Higuamo,minor,15532,15532
Samaná,464590.08140267426,2123612.682241933,19,Q,Dominican Republic,DO,Cibao Nordeste,minor,11432,11432
Pedernales,209482.31560303108,1996586.6920724758,19,Q,Dominican Republic,DO,Enriquillo,minor,11072,11072
Jimaní,199015.99284260196,2046960.9670815105,19,Q,Dominican Republic,DO,Enriquillo,minor,6567,6567
Bávaro,559679.8632047441,2067323.2957062637,19,Q,Dominican Republic,DO,Yuma,,795,795
San José de Ocoa,341022.20528150053,2051326.7701731855,19,Q,Dominican Republic,DO,Valdesia,minor,,
Santo Domingo Este,409519.12208371796,2044443.7290547453,19,Q,Dominican Republic,DO,Ozama,admin,,
Comendador,215241.31760319666,2089447.3814534887,19,Q,Dominican Republic,DO,El Valle,minor,,
