city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Guayaquil,621435.9831884534,9756142.425362935,17,M,Ecuador,EC,Guayas,admin,2514000,1952029
Quito,779053.8334981322,9978473.647283075,17,M,Ecuador,EC,Pichincha,primary,1701000,1399814
Cuenca,721808.5326124174,9679204.365250912,17,M,Ecuador,EC,Azuay,admin,286878,276964
Ambato,764538.5382699382,9861455.3783136,17,M,Ecuador,EC,Tungurahua,admin,281425,154369
Portoviejo,560696.9875167264,9883431.883793492,17,M,Ecuador,EC,Manabí,admin,213601,170326
Machala,615486.9989458802,9639762.457677698,17,M,Ecuador,EC,El Oro,admin,213034,198123
Manta,531963.953312111,9893655.828190299,17,M,Ecuador,EC,Manabí,,183166,170716
Sangolquí,784478.6801383062,9963749.963968089,17,M,Ecuador,EC,Pichincha,,178582,5114
Esmeraldas,649989.2576296143,107145.94241884239,17,N,Ecuador,EC,Esmeraldas,admin,173101,95630
Riobamba,761779.5554780015,9815148.732050104,17,M,Ecuador,EC,Chimborazo,admin,172464,124478
Ibarra,820341.9014111992,38923.94020953243,17,N,Ecuador,EC,Imbabura,admin,146741,108666
Loja,699593.4828865367,9557037.144332431,17,M,Ecuador,EC,Loja,admin,126368,117796
Milagro,656344.3314777361,9764052.261369934,17,M,Ecuador,EC,Guayas,,109970,897
Latacunga,765372.1223765914,9896541.378397832,17,M,Ecuador,EC,Cotopaxi,admin,94972,51717
Tulcán,197551.80539174879,89837.87791822877,18,N,Ecuador,EC,Carchi,admin,83000,83000
Babahoyo,663019.0961050835,9800740.270330312,17,M,Ecuador,EC,Los Ríos,admin,76279,43467
Azogues,739181.2626573988,9696964.463327292,17,M,Ecuador,EC,Cañar,admin,69087,34877
Chone,600855.0869017087,9922819.599020382,17,M,Ecuador,EC,Manabí,,44751,36007
Salinas,503307.1007145707,9756016.610389063,17,M,Ecuador,EC,Guayas,,43862,5371
Jipijapa,546862.548384761,9850922.026963584,17,M,Ecuador,EC,Manabí,,35901,21581
Tena,186919.75901346043,9890021.866281252,18,M,Ecuador,EC,Napo,admin,31126,17172
Cayambe,817795.6365636662,4519.804552725169,17,N,Ecuador,EC,Pichincha,,27881,26582
Guaranda,722401.1041077123,9823858.435684262,17,M,Ecuador,EC,Bolívar,admin,27866,20000
Puyo,833580.5195819202,9835781.555524167,17,M,Ecuador,EC,Pastaza,admin,24881,24881
Macas,821312.3251968514,9744493.28166255,17,M,Ecuador,EC,Morona-Santiago,admin,23687,17601
San Lorenzo de Esmeraldas,740891.5182806391,142272.47894195688,17,N,Ecuador,EC,Esmeraldas,,20209,20209
Piñas,646503.0257177186,9593017.583503595,17,M,Ecuador,EC,El Oro,,16981,16981
San Gabriel,184893.3262166247,65644.76286890988,18,N,Ecuador,EC,Carchi,,16066,15112
Zamora,727049.3899748854,9550195.614787597,17,M,Ecuador,EC,Zamora-Chinchipe,admin,15276,7887
Alausí,739439.9474573359,9756296.487693084,17,M,Ecuador,EC,Chimborazo,,14294,14294
Muisne,609201.4451931396,67575.80543032527,17,N,Ecuador,EC,Esmeraldas,,13393,3112
Macará,617204.966791506,9515586.316462018,17,M,Ecuador,EC,Loja,,13035,10461
Valdez,724429.0126441539,138156.8488305048,17,N,Ecuador,EC,Esmeraldas,,11441,2530
Santa Cruz,805789.7567288142,9941622.653651677,15,M,Ecuador,EC,Galápagos,,11262,5033
Puerto Baquerizo Moreno,210094.640366506,9897850.461050352,16,M,Ecuador,EC,Galápagos,admin,6030,4214
Puerto Villamil,726441.9579674014,9894188.757834895,15,M,Ecuador,EC,Galápagos,,2200,1800
Yaupi,173556.53899727488,9684079.093210632,18,M,Ecuador,EC,Morona-Santiago,,293,293
Santa Elena,515708.60065695405,9753933.584332189,17,M,Ecuador,EC,Santa Elena,admin,,
Santo Domingo de los Colorados,703069.7842048083,9972016.41726685,17,M,Ecuador,EC,Santo Domingo de los Tsáchilas,admin,,
Puerto Francisco de Orellana,278838.14768042957,9948412.458399821,18,M,Ecuador,EC,Orellana,admin,,
Nueva Loja,289834.09568576375,10016.514304817265,18,N,Ecuador,EC,Sucumbíos,admin,,
