city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Berlin,391431.8151757593,5819708.966243127,33,U,Germany,DE,Berlin,primary,3406000,3094014
Stuttgart,513283.0881583642,5403276.1110734865,32,U,Germany,DE,Baden-Württemberg,admin,2944700,606588
Frankfurt,477419.4755306388,5551522.629579195,32,U,Germany,DE,Hesse,minor,2895000,679664
Mannheim,462312.8080716078,5482804.769903265,32,U,Germany,DE,Baden-Württemberg,minor,2362000,313174
Hamburg,567229.5859455345,5936752.912696028,32,U,Germany,DE,Hamburg,admin,1757000,1739117
Essen,361902.1180062132,5702473.102143339,32,U,Germany,DE,North Rhine-Westphalia,minor,1742135,573468
Duisburg,344653.29005894996,5700288.221071803,32,U,Germany,DE,North Rhine-Westphalia,minor,1276757,488005
Munich,692138.6634672345,5336199.898988239,32,U,Germany,DE,Bavaria,admin,1275000,1260391
Düsseldorf,345964.39924191573,5677526.241546145,32,U,Germany,DE,North Rhine-Westphalia,admin,1220000,592393
Cologne,355952.57408544386,5644412.474986555,32,U,Germany,DE,North Rhine-Westphalia,,1004000,963395
Wuppertal,372171.09232280153,5681475.288629605,32,U,Germany,DE,North Rhine-Westphalia,minor,776525,349470
Saarbrücken,353073.8938201306,5455584.605997051,32,U,Germany,DE,Saarland,admin,770001,175741
Marienberg,651091.3602311276,5483578.310487416,32,U,Germany,DE,Bavaria,,737304,499237
Bremen,488393.2332472549,5880493.025119747,32,U,Germany,DE,Bremen,admin,724909,546501
Hannover,550169.5381202004,5804112.727423722,32,U,Germany,DE,Lower Saxony,admin,722490,515140
Bonn,365604.2626628287,5622017.250257026,32,U,Germany,DE,North Rhine-Westphalia,minor,680543,313125
Dresden,412086.23301722953,5655973.539012757,33,U,Germany,DE,Saxony,admin,617515,486854
Wiesbaden,446293.5832138974,5548082.4599450035,32,U,Germany,DE,Hesse,admin,617126,272432
Dortmund,393558.3260938091,5708206.409553575,32,U,Germany,DE,North Rhine-Westphalia,minor,588462,588462
Leipzig,317985.9996454075,5691343.980902122,33,U,Germany,DE,Saxony,minor,542529,504971
Heidelberg,477055.18134912185,5472429.8832101645,32,U,Germany,DE,Baden-Württemberg,minor,426590,143345
Karlsruhe,456447.5139987153,5428667.702751346,32,U,Germany,DE,Baden-Württemberg,minor,377487,283799
Augsburg,640597.7613731546,5359337.907576271,32,U,Germany,DE,Bavaria,minor,358989,259196
Bielefeld,468578.1218465761,5764288.389029525,32,U,Germany,DE,North Rhine-Westphalia,minor,331906,291573
Koblenz,398900.0921785936,5578909.313173436,32,U,Germany,DE,Rhineland-Palatinate,minor,312633,107319
Altchemnitz,352957.9171401117,5630943.5530640185,33,U,Germany,DE,Saxony,,302643,247220
Kassel,533777.3660468521,5684831.085430391,32,U,Germany,DE,Hesse,minor,289924,194501
Münster,405473.6221091533,5757607.101375863,32,U,Germany,DE,North Rhine-Westphalia,minor,270184,237041
Kiel,573873.7173421553,6018846.572161421,32,U,Germany,DE,Schleswig-Holstein,admin,269427,232758
Freiburg,414190.4197147361,5316591.460057773,32,T,Germany,DE,Baden-Württemberg,minor,254889,215966
Braunschweig,604185.2716136989,5791715.268253436,32,U,Germany,DE,Lower Saxony,minor,244715,235054
Fürth,642520.8118226274,5482812.52599581,32,U,Germany,DE,Bavaria,minor,237844,112025
Lübeck,611019.6175863906,5970030.985343497,32,U,Germany,DE,Schleswig-Holstein,minor,235390,212207
Osnabrück,435165.9604829125,5791788.166057126,32,U,Germany,DE,Lower Saxony,minor,231268,166462
Magdeburg,679963.7966614858,5778505.374489083,32,U,Germany,DE,Saxony-Anhalt,admin,229826,224931
Potsdam,367825.6090887531,5807554.670077116,33,U,Germany,DE,Brandenburg,admin,218095,145292
Erfurt,642702.0733267622,5649422.824991981,32,U,Germany,DE,Thuringia,admin,203254,175476
Rostock,311206.9375738343,5997033.620732677,33,U,Germany,DE,Mecklenburg-Western Pomerania,,203080,198293
Mainz,448318.21029484086,5537121.670603317,32,U,Germany,DE,Rhineland-Palatinate,admin,184997,184997
Ulm,571722.9938917896,5360886.065927346,32,U,Germany,DE,Baden-Württemberg,minor,172955,120451
Würzburg,568461.1710979496,5516151.343315095,32,U,Germany,DE,Bavaria,minor,168561,133731
Oldenburg,447469.0153652635,5888263.660560666,32,U,Germany,DE,Lower Saxony,minor,167458,159218
Regensburg,289451.49927605025,5435290.722446808,33,U,Germany,DE,Bavaria,minor,164359,129151
Ingolstadt,678102.6860283616,5404175.14979334,32,U,Germany,DE,Bavaria,minor,163325,120658
Göttingen,564778.9830973397,5710217.125997894,32,U,Germany,DE,Lower Saxony,minor,139419,122149
Bremerhaven,471957.02647454344,5933562.906362096,32,U,Germany,DE,Bremen,minor,137751,117446
Cottbus,453678.80877077684,5734301.548169804,33,U,Germany,DE,Brandenburg,minor,105067,84754
Jena,681997.6912941748,5645099.665439174,32,U,Germany,DE,Thuringia,minor,104712,95171
Gera,294806.8393032006,5640034.243411027,33,U,Germany,DE,Thuringia,minor,104659,103055
Flensburg,528271.8284975684,6070878.693643057,32,U,Germany,DE,Schleswig-Holstein,minor,97930,85838
Schwerin,659328.5657532876,5944873.710817536,32,U,Germany,DE,Mecklenburg-Western Pomerania,admin,96641,96641
Rosenheim,284526.4524325726,5304459.764619803,33,T,Germany,DE,Bavaria,minor,92809,60167
Gießen,477031.1220330172,5603979.631923257,32,U,Germany,DE,Hesse,minor,82358,74411
Stralsund,375665.45146199444,6020346.008946487,33,U,Germany,DE,Mecklenburg-Western Pomerania,minor,61368,58976
Coburg,639979.2796969285,5569313.82822078,32,U,Germany,DE,Bavaria,,61054,41901
Hofeck,705860.6813888479,5579423.662523803,32,U,Germany,DE,Bavaria,,56153,49239
Emden,380752.4085437125,5914644.8935637465,32,U,Germany,DE,Lower Saxony,minor,51526,48046
Detmold,491214.1401500119,5754737.066563966,32,U,Germany,DE,North Rhine-Westphalia,minor,,
Meißen,393922.2283929211,5667599.194624764,33,U,Germany,DE,Saxony,minor,,
Kitzingen,582912.1061339598,5510328.86628234,32,U,Germany,DE,Bavaria,minor,,
Dingolfing,315622.4999890423,5389301.762219829,33,U,Germany,DE,Bavaria,minor,,
Heppenheim,473435.4714614802,5498831.376204831,32,U,Germany,DE,Hesse,minor,,
Torgau,361097.9982661356,5714022.639390513,33,U,Germany,DE,Saxony,minor,,
Hanau,493866.38736564066,5553558.596685753,32,U,Germany,DE,Hesse,minor,,
Husum,503881.7131520557,6037210.663637956,32,U,Germany,DE,Schleswig-Holstein,minor,,
Schwandorf,289996.73216218664,5467641.99986815,33,U,Germany,DE,Bavaria,minor,,
Bitburg,322683.5290451933,5537996.249976361,32,U,Germany,DE,Rhineland-Palatinate,minor,,
Cham,329264.8558342962,5455187.401390573,33,U,Germany,DE,Bavaria,minor,,
Traunstein,323762.0541974413,5304345.2279267125,33,T,Germany,DE,Bavaria,minor,,
Lüchow,644650.7332534976,5870894.495082761,32,U,Germany,DE,Lower Saxony,minor,,
Gifhorn,605342.9427485064,5815307.345415252,32,U,Germany,DE,Lower Saxony,minor,,
Biberach,558585.0205062741,5327707.9049873585,32,U,Germany,DE,Baden-Württemberg,minor,,
Bad Reichenhall,340900.4334506742,5288412.714220071,33,T,Germany,DE,Bavaria,minor,,
Künzelsau,549711.9120944863,5459007.890923192,32,U,Germany,DE,Baden-Württemberg,minor,,
Weißenburg,644201.1749648707,5432728.242039516,32,U,Germany,DE,Bavaria,minor,,
Regen,363021.3116142422,5426020.328811879,33,U,Germany,DE,Bavaria,minor,,
Nuremberg,649917.293193097,5479291.507854138,32,U,Germany,DE,Bavaria,minor,,
Aurich,399258.87032872834,5925538.66986534,32,U,Germany,DE,Lower Saxony,minor,,
Nordhorn,368717.2641169026,5810929.370029044,32,U,Germany,DE,Lower Saxony,minor,,
Aichach,657776.755066603,5369787.354287906,32,U,Germany,DE,Bavaria,minor,,
Marburg,483843.74273399665,5628615.266346384,32,U,Germany,DE,Hesse,minor,,
Görlitz,500000.0,5668359.154409068,33,U,Germany,DE,Saxony,minor,,
Vechta,451779.87361139496,5842066.130978781,32,U,Germany,DE,Lower Saxony,minor,,
Trier,329789.569187975,5514604.007985192,32,U,Germany,DE,Rhineland-Palatinate,minor,,
Pirmasens,398274.9304400776,5451084.280304896,32,U,Germany,DE,Rhineland-Palatinate,minor,,
Pirna,425427.42785065365,5645697.05946393,33,U,Germany,DE,Saxony,minor,,
Neustadt,437457.24770525354,5466731.3027439285,32,U,Germany,DE,Rhineland-Palatinate,minor,,
Beeskow,448435.6799821262,5780538.047041336,33,U,Germany,DE,Brandenburg,minor,,
Westerstede,428444.59506396984,5901377.225231175,32,U,Germany,DE,Lower Saxony,minor,,
Verden,515792.62884123996,5863778.07514486,32,U,Germany,DE,Lower Saxony,minor,,
Worms,453724.4467041051,5498000.426690004,32,U,Germany,DE,Rhineland-Palatinate,minor,,
Düren,323356.4250906106,5631062.669054237,32,U,Germany,DE,North Rhine-Westphalia,minor,,
Landsberg,639331.5105921207,5323286.339575858,32,U,Germany,DE,Bavaria,minor,,
Ludwigsburg,514323.7750273494,5415678.106490315,32,U,Germany,DE,Baden-Württemberg,minor,,
Meiningen,600360.0003345849,5603016.219880377,32,U,Germany,DE,Thuringia,minor,,
Siegen,431352.8302887749,5636357.447821128,32,U,Germany,DE,North Rhine-Westphalia,minor,,
Deggendorf,350368.2328548179,5411769.897086262,33,U,Germany,DE,Bavaria,minor,,
Peine,584190.918570234,5797268.353140981,32,U,Germany,DE,Lower Saxony,minor,,
Frankfurt (Oder),468321.7139088059,5799436.473958016,33,U,Germany,DE,Brandenburg,minor,,
Nienburg,514942.62607993546,5832926.366179426,32,U,Germany,DE,Lower Saxony,minor,,
Brake,465399.63614891923,5908758.605611457,32,U,Germany,DE,Lower Saxony,minor,,
Memmingen,588234.0170316583,5315349.475125015,32,T,Germany,DE,Bavaria,minor,,
Kirchheimbolanden,428924.9867401864,5501571.209834642,32,U,Germany,DE,Rhineland-Palatinate,minor,,
Tauberbischofsheim,547867.900356189,5497117.85794208,32,U,Germany,DE,Baden-Württemberg,minor,,
Emmendingen,414332.88641004,5330108.088387873,32,U,Germany,DE,Baden-Württemberg,minor,,
Warendorf,430420.3805430433,5756082.456570182,32,U,Germany,DE,North Rhine-Westphalia,minor,,
Bad Segeberg,585469.6391699613,5977979.651405867,32,U,Germany,DE,Schleswig-Holstein,minor,,
Rotenburg,527499.2299921752,5884725.2515766695,32,U,Germany,DE,Lower Saxony,minor,,
Kronach,666182.4378296724,5567778.265943757,32,U,Germany,DE,Bavaria,minor,,
Darmstadt,474869.32033617864,5524421.634207701,32,U,Germany,DE,Hesse,minor,,
Mindelheim,611213.2880553374,5322465.748206465,32,U,Germany,DE,Bavaria,minor,,
Bergheim,334314.8161229148,5647456.594004354,32,U,Germany,DE,North Rhine-Westphalia,minor,,
Donauwörth,630921.9802869371,5395073.0412284,32,U,Germany,DE,Bavaria,minor,,
Korbach,491068.5662982365,5680337.368551079,32,U,Germany,DE,Hesse,minor,,
Herzberg,377801.07426318165,5728206.570905486,33,U,Germany,DE,Brandenburg,minor,,
Hameln,525003.0088750202,5773251.733990791,32,U,Germany,DE,Lower Saxony,minor,,
Suhl,619860.5279500042,5607727.585395222,32,U,Germany,DE,Thuringia,minor,,
Friedberg,482629.3070623786,5576172.95756658,32,U,Germany,DE,Hesse,minor,,
Hof,707756.7707862256,5577863.90195217,32,U,Germany,DE,Bavaria,minor,,
Neuburg,660820.1833941067,5399991.909069509,32,U,Germany,DE,Bavaria,minor,,
Bad Kissingen,576919.9556261412,5561677.192353932,32,U,Germany,DE,Bavaria,minor,,
Viersen,318182.0378228382,5681335.341777107,32,U,Germany,DE,North Rhine-Westphalia,minor,,
Birkenfeld,367670.1323935357,5501603.107128604,32,U,Germany,DE,Rhineland-Palatinate,minor,,
Bad Fallingbostel,546824.205181837,5857636.9536401285,32,U,Germany,DE,Lower Saxony,minor,,
Halle,706018.2662412195,5707544.069563561,32,U,Germany,DE,Saxony-Anhalt,minor,,
Bamberg,635662.4795292225,5528463.998505597,32,U,Germany,DE,Bavaria,minor,,
Fürstenfeldbruck,669150.8492634376,5339547.086375672,32,U,Germany,DE,Bavaria,minor,,
Neuss,338261.9819069086,5674398.475690416,32,U,Germany,DE,North Rhine-Westphalia,minor,,
Bad Kreuznach,418544.40806751786,5521612.113311894,32,U,Germany,DE,Rhineland-Palatinate,minor,,
