city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Guatemala,767493.8621874754,1619247.0598432529,15,P,Guatemala,GT,Guatemala,minor,1024000,994938
Quetzaltenango,659457.3165715474,1640573.710829933,15,P,Guatemala,GT,Quetzaltenango,admin,575263,224703
San Luis,239103.60249605996,1792486.193085396,16,Q,Guatemala,GT,Petén,minor,132470,6776
Escuintla,738933.3366875678,1582599.7813907359,15,P,Guatemala,GT,Escuintla,admin,107638,103165
Huehuetenango,664166.9380807546,1694268.0645248576,15,P,Guatemala,GT,Huehuetenango,admin,85992,79426
Chimaltenango,734840.9462408094,1621975.3704082724,15,P,Guatemala,GT,Chimaltenango,admin,82370,82370
Totonicapán,676285.9267660289,1649204.9284649177,15,P,Guatemala,GT,Totonicapán,admin,69734,69734
Cobán,782112.6100609594,1712130.7646876478,15,P,Guatemala,GT,Alta Verapaz,admin,65194,53375
Mazatenango,661262.0619268903,1607332.4993176255,15,P,Guatemala,GT,Suchitepéquez,admin,64652,44132
Puerto Barrios,329159.9376017816,1739468.5472801148,16,P,Guatemala,GT,Izabal,admin,56605,53150
Jutiapa,187557.5673950484,1581933.9497025637,16,P,Guatemala,GT,Jutiapa,admin,50681,34332
Jalapa,178004.85703864606,1620048.6242142753,16,P,Guatemala,GT,Jalapa,admin,45834,45834
Sololá,695539.1757324021,1633923.5985960832,15,P,Guatemala,GT,Sololá,admin,45373,45373
Chiquimula,225972.2656561099,1637761.188215711,16,P,Guatemala,GT,Chiquimula,admin,41521,41521
Salamá,788282.4344012728,1671452.6390575937,15,P,Guatemala,GT,Baja Verapaz,admin,40000,40000
Antigua Guatemala,744109.8188694392,1610997.6824079587,15,P,Guatemala,GT,Sacatepéquez,admin,39368,39368
Flores,191579.7312137438,1873159.0037956685,16,Q,Guatemala,GT,Petén,admin,38035,20464
Retalhuleu,642461.6809653183,1607431.477306004,15,P,Guatemala,GT,Retalhuleu,admin,36656,36656
Zacapa,227834.0426718733,1656807.1304703143,16,P,Guatemala,GT,Zacapa,admin,36088,36088
San Marcos,629636.3450495001,1654684.156727943,15,P,Guatemala,GT,San Marcos,admin,25088,25088
Santa Cruz del Quiché,699010.1380226533,1662539.5475618113,15,P,Guatemala,GT,Quiché,admin,23618,23618
San José,735915.4870996767,1539591.585242014,15,P,Guatemala,GT,Escuintla,minor,18655,9841
Cuilapa,791438.560186907,1579988.8867807537,15,P,Guatemala,GT,Santa Rosa,admin,16484,16484
Lívingston,312585.35962159385,1751280.8222492232,16,P,Guatemala,GT,Izabal,minor,14350,10255
La Libertad,807329.1180378551,1858392.4599034877,15,Q,Guatemala,GT,Petén,minor,8646,8523
Quezaltepeque,236092.60047615488,1619197.733087695,16,P,Guatemala,GT,Chiquimula,minor,,
Mixco,757830.1870510887,1619132.798909661,15,P,Guatemala,GT,Guatemala,minor,,
Huité,207752.10377862275,1652738.7455334144,16,P,Guatemala,GT,Zacapa,minor,,
Huitán,646248.9418950574,1664218.777933144,15,P,Guatemala,GT,Quetzaltenango,minor,,
Magdalena Milpas Altas,750505.7702727226,1609309.5501331338,15,P,Guatemala,GT,Sacatepéquez,minor,,
Tecpán Guatemala,715912.4484465084,1633512.8312844827,15,P,Guatemala,GT,Chimaltenango,minor,,
Tectitán,603765.4450150109,1695426.1304149395,15,P,Guatemala,GT,Huehuetenango,minor,,
San Jorge,222104.33778528543,1652567.5610641507,16,P,Guatemala,GT,Zacapa,minor,,
Concepción Las Minas,235953.55563490337,1606284.0520365848,16,P,Guatemala,GT,Chiquimula,minor,,
San Sebastián Huehuetenango,648606.6126371161,1701682.5291794855,15,P,Guatemala,GT,Huehuetenango,minor,,
Lanquín,181794.03690991737,1723215.6432273753,16,P,Guatemala,GT,Alta Verapaz,minor,,
El Rodeo,611139.1832581231,1649367.0284672757,15,P,Guatemala,GT,San Marcos,minor,,
San José Chacayá,691955.0840478459,1633280.1840280904,15,P,Guatemala,GT,Sololá,minor,,
San Juan Ostuncalco,640960.0661259376,1644724.6047720348,15,P,Guatemala,GT,Quetzaltenango,minor,,
Zunilito,659765.5954466809,1616450.3389759983,15,P,Guatemala,GT,Suchitepéquez,minor,,
Zunil,663232.7461080193,1634913.25341037,15,P,Guatemala,GT,Quetzaltenango,minor,,
San Andrés Villa Seca,652618.3367447609,1610872.9518535105,15,P,Guatemala,GT,Retalhuleu,minor,,
San Andrés Semetabaj,700943.0515724762,1631508.7918284943,15,P,Guatemala,GT,Sololá,minor,,
San Andrés Sajcabajá,723789.5463799671,1683358.782467157,15,P,Guatemala,GT,Quiché,minor,,
San Andrés Itzapa,732220.5153490282,1617400.100209568,15,P,Guatemala,GT,Chimaltenango,minor,,
Ixtahuacán,632341.1042602888,1704790.7528741758,15,P,Guatemala,GT,Huehuetenango,minor,,
Patulul,697650.8871944331,1594595.8967558877,15,P,Guatemala,GT,Suchitepéquez,minor,,
El Asintal,636435.7702739029,1614465.1861922056,15,P,Guatemala,GT,Retalhuleu,minor,,
Esquipulas Palo Gordo,627264.3638564212,1651291.046582155,15,P,Guatemala,GT,San Marcos,minor,,
Los Amates,274472.7504948557,1688909.5158366906,16,P,Guatemala,GT,Izabal,minor,,
San Bernardino,667010.3961198288,1607278.5885622439,15,P,Guatemala,GT,Suchitepéquez,minor,,
Usumatlán,200598.71169609093,1654672.9124448267,16,P,Guatemala,GT,Zacapa,minor,,
El Chal,219125.54722797888,1844532.7962836113,16,Q,Guatemala,GT,Petén,minor,,
Poptún,241772.60348458812,1807093.735838774,16,Q,Guatemala,GT,Petén,minor,,
Sansare,810904.8230700309,1632363.408709957,15,P,Guatemala,GT,El Progreso,minor,,
Casillas,797154.2137948753,1596203.6855343916,15,P,Guatemala,GT,Santa Rosa,minor,,
San José,191177.2318065603,1879995.4956624142,16,Q,Guatemala,GT,Petén,minor,,
San Agustín Acasaguastlán,180862.6792708118,1654928.6098201885,16,P,Guatemala,GT,El Progreso,minor,,
Jocotán,243492.1608382661,1639413.5838066891,16,P,Guatemala,GT,Chiquimula,minor,,
Chiquimulilla,783278.1584487716,1558798.1529416507,15,P,Guatemala,GT,Santa Rosa,minor,,
Santa Ana,197989.5822344693,1859589.8220973897,16,Q,Guatemala,GT,Petén,minor,,
San Rafael Pie de La Cuesta,616508.455182611,1651236.2131047773,15,P,Guatemala,GT,San Marcos,minor,,
Ciudad Vieja,741422.680858937,1607127.8909905013,15,P,Guatemala,GT,Sacatepéquez,minor,,
Coatepeque,622016.9514824772,1625451.3532014717,15,P,Guatemala,GT,Quetzaltenango,minor,,
Jerez,203053.05643409182,1560522.8838395583,16,P,Guatemala,GT,Jutiapa,minor,,
Taxisco,773961.9129094513,1557035.4028828572,15,P,Guatemala,GT,Santa Rosa,minor,,
San José La Máquina,654553.6164174306,1581579.6968235523,15,P,Guatemala,GT,Suchitepéquez,minor,,
Pajapita,603859.3437087515,1627747.4705305633,15,P,Guatemala,GT,San Marcos,minor,,
Ostuncalco,648823.0218006861,1644039.8703395585,15,P,Guatemala,GT,Quetzaltenango,minor,,
Unión,630995.3733797166,1760526.785757738,15,P,Guatemala,GT,Huehuetenango,minor,,
Almolonga,661413.9142982614,1638589.1289274031,15,P,Guatemala,GT,Quetzaltenango,minor,,
Alotenango,736320.5959863464,1601974.7348426622,15,P,Guatemala,GT,Sacatepéquez,minor,,
Samayac,665176.9491261732,1612798.209876322,15,P,Guatemala,GT,Suchitepéquez,minor,,
Gualán,245661.07279353435,1674445.2168048935,16,P,Guatemala,GT,Zacapa,minor,,
Guanagazapa,754311.9100891066,1573926.9226817288,15,P,Guatemala,GT,Escuintla,minor,,
Parramos,736663.8631099113,1616089.9613853348,15,P,Guatemala,GT,Chimaltenango,minor,,
El Chol,770980.3011486072,1655901.8387608584,15,P,Guatemala,GT,Baja Verapaz,minor,,
Sibilia,648731.2278579823,1658790.759007071,15,P,Guatemala,GT,Quetzaltenango,minor,,
Sibinal,602181.1561243758,1675097.3861678883,15,P,Guatemala,GT,San Marcos,minor,,
San Francisco La Unión,657753.6026041135,1649628.8550232819,15,P,Guatemala,GT,Quetzaltenango,minor,,
San Francisco El Alto,666692.9800498792,1653377.555738677,15,P,Guatemala,GT,Totonicapán,minor,,
San José Poaquil,725310.1613652273,1639439.8477328042,15,P,Guatemala,GT,Chimaltenango,minor,,
San José Pinula,778956.8515018733,1609708.3367975368,15,P,Guatemala,GT,Guatemala,minor,,
Yupiltepeque,199582.81886345352,1571636.504900601,16,P,Guatemala,GT,Jutiapa,minor,,
San Miguel Acatán,648236.1664253939,1736235.8121380077,15,P,Guatemala,GT,Huehuetenango,minor,,
San José Ojetenam,610983.5864346457,1682553.2536358626,15,P,Guatemala,GT,San Marcos,minor,,
San Juan Chamelco,786190.4156214308,1708028.719199158,15,P,Guatemala,GT,Alta Verapaz,minor,,
Ciudad Melchor de Mencos,270949.1570339523,1888408.2750666009,16,Q,Guatemala,GT,Petén,minor,,
Yepocapa,720182.8035822222,1604469.3272451344,15,P,Guatemala,GT,Chimaltenango,minor,,
Fray Bartolomé de Las Casas,190472.68407043954,1750617.3100615595,16,P,Guatemala,GT,Alta Verapaz,minor,,
Esquipulas,246793.42087578832,1611704.8654453568,16,P,Guatemala,GT,Chiquimula,minor,,
Guazacapán,778970.3513765276,1557458.9511987725,15,P,Guatemala,GT,Santa Rosa,minor,,
Génova,625653.6937728573,1616251.232745105,15,P,Guatemala,GT,Quetzaltenango,minor,,
Colomba,636363.555401745,1627371.4599851277,15,P,Guatemala,GT,Quetzaltenango,minor,,
Tamahú,804234.8503179321,1697184.9896649052,15,P,Guatemala,GT,Alta Verapaz,minor,,
San Vicente Pacaya,754546.3033729659,1595053.060529703,15,P,Guatemala,GT,Escuintla,minor,,
San Miguel Ixtahuacán,634452.7863261104,1688849.2326230407,15,P,Guatemala,GT,San Marcos,minor,,
Quesada,819371.2316251366,1579652.6820444213,15,P,Guatemala,GT,Jutiapa,minor,,
Catarina,599357.9897048175,1642109.3649502816,15,P,Guatemala,GT,San Marcos,minor,,
La Democracia,619339.5449613578,1727817.1129162118,15,P,Guatemala,GT,Huehuetenango,minor,,
La Democracia,721499.9761629957,1574231.2695613115,15,P,Guatemala,GT,Escuintla,minor,,
Santa Bárbara,646778.9405352279,1693758.5996086185,15,P,Guatemala,GT,Huehuetenango,minor,,
Malacatán,601323.6512583843,1648658.3178706835,15,P,Guatemala,GT,San Marcos,minor,,
Santa María Ixhuatán,794159.7446596939,1570455.4275131172,15,P,Guatemala,GT,Santa Rosa,minor,,
Santa María Visitación,681229.822290158,1627664.9487837316,15,P,Guatemala,GT,Sololá,minor,,
Olopa,246927.22320988757,1624617.762035734,16,P,Guatemala,GT,Chiquimula,minor,,
Morazán,807349.7679334596,1652866.723048691,15,P,Guatemala,GT,El Progreso,minor,,
Pueblo Nuevo,657946.3478092223,1620126.3942621348,15,P,Guatemala,GT,Suchitepéquez,minor,,
San Cristóbal Acasaguastlán,189786.08111876686,1651119.5188310833,16,P,Guatemala,GT,El Progreso,minor,,
San Cristóbal Cucho,630869.971633899,1647622.9238015248,15,P,Guatemala,GT,San Marcos,minor,,
Tucurú,815030.5037993721,1693637.0386935002,15,P,Guatemala,GT,Alta Verapaz,minor,,
Aguacatán,681238.499858248,1696976.780897127,15,P,Guatemala,GT,Huehuetenango,minor,,
San Martín Zapotitlán,650799.7832141774,1614549.4599144107,15,P,Guatemala,GT,Retalhuleu,minor,,
San Mateo,652409.8227557126,1644062.3612723653,15,P,Guatemala,GT,Quetzaltenango,minor,,
San Martín Jilotepeque,737606.6566246209,1636022.2377166848,15,P,Guatemala,GT,Chimaltenango,minor,,
Santa Catarina Pinula,769883.8331233212,1612128.6623756783,15,P,Guatemala,GT,Guatemala,minor,,
San Juan Cotzal,710945.0307257614,1707311.0578808624,15,P,Guatemala,GT,Quiché,minor,,
El Tumbador,614751.2127609941,1643852.9378090436,15,P,Guatemala,GT,San Marcos,minor,,
Palestina de los Altos,639813.3897040628,1651361.138468844,15,P,Guatemala,GT,Quetzaltenango,minor,,
Palín,748175.6119865954,1593820.170275447,15,P,Guatemala,GT,Escuintla,minor,,
Nebaj,698956.056241964,1704069.0220173132,15,P,Guatemala,GT,Quiché,minor,,
San Carlos Sija,655912.413151238,1656992.689063345,15,P,Guatemala,GT,Quetzaltenango,minor,,
Guastatoya,815389.4306765911,1644265.364328694,15,P,Guatemala,GT,El Progreso,admin,,
El Progreso,192585.832070683,1588331.212517093,16,P,Guatemala,GT,Jutiapa,minor,,
Santo Domingo Suchitepéquez,663466.9589848401,1599878.9455421031,15,P,Guatemala,GT,Suchitepéquez,minor,,
San Andrés Xecul,663145.2052590975,1647820.9180844296,15,P,Guatemala,GT,Totonicapán,minor,,
Atescatempa,203959.8886403084,1568755.0126643032,16,P,Guatemala,GT,Jutiapa,minor,,
Zapotitlán,194092.83207400737,1564320.3564457914,16,P,Guatemala,GT,Jutiapa,minor,,
Concepción Chiquirichapa,648834.4399063367,1642195.979119548,15,P,Guatemala,GT,Quetzaltenango,minor,,
