city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Tehran,538138.9274025053,3951311.3394297245,39,S,Iran,IR,Tehrān,primary,7873000,7153309
Mashhad,730542.0745882296,4022013.9192326516,40,S,Iran,IR,Khorāsān-e Raẕavī,admin,2469000,2167253
Eşfahān,563543.5739484446,3613489.905970864,39,S,Iran,IR,Eşfahān,admin,1628000,1517766
Karaj,499236.364353587,3965388.7372686868,39,S,Iran,IR,Alborz,admin,1423000,1423000
Tabrīz,613304.3602167417,4215479.165562542,38,S,Iran,IR,Āz̄arbāyjān-e Sharqī,admin,1413000,1196426
Shīrāz,648257.0754913252,3276584.535778313,39,R,Iran,IR,Fārs,admin,1240000,1240000
Ahvāz,278947.1514799554,3466551.939482772,39,R,Iran,IR,Khūzestān,admin,996000,841145
Qom,488672.13174073095,3833139.651547528,39,S,Iran,IR,Qom,admin,973000,893956
Kermānshāh,690008.4743918777,3798921.8247838295,38,S,Iran,IR,Kermānshāh,admin,828313,828313
Zāhedān,292823.7837330156,3264876.4004036207,41,R,Iran,IR,Sīstān va Balūchestān,admin,598887,551980
Rasht,374873.0876992627,4126436.1528915972,39,S,Iran,IR,Gīlān,admin,594590,494885
Kermān,507577.444299016,3350170.5083977226,40,R,Iran,IR,Kermān,admin,577514,535522
Orūmīyeh,506394.7194084247,4156478.961378832,38,S,Iran,IR,Āz̄arbāyjān-e Gharbī,admin,577307,577307
Hamadān,272621.4446048784,3853592.8573832973,39,S,Iran,IR,Hamadān,admin,528256,330
Arāk,379073.47468913853,3773103.56322564,39,S,Iran,IR,Markazī,admin,503647,423251
Yazd,251030.3608512968,3532067.1276463224,40,R,Iran,IR,Yazd,admin,477905,425942
Qazvīn,410630.4109593429,4015431.249339372,39,S,Iran,IR,Qazvīn,admin,464551,333635
Bandar ‘Abbās,428761.43153148546,3007296.39240722,40,R,Iran,IR,Hormozgān,admin,461499,367508
Khomeynī Shahr,550256.7412946264,3616560.8225382413,39,S,Iran,IR,Eşfahān,minor,437138,437138
Ārdsālem,262300.859966998,4238920.744559723,39,S,Iran,IR,Ardabīl,,414603,410753
Khorramābād,254326.67300093244,3708493.355879315,39,S,Iran,IR,Lorestān,admin,375198,329825
Ābādān,240847.5523215387,3359453.2702561584,39,R,Iran,IR,Khūzestān,minor,370180,260078
Zanjān,276268.01480892824,4061898.5296234284,39,S,Iran,IR,Zanjān,admin,357471,352554
Sanandaj,681707.3314001327,3909803.1629779623,38,S,Iran,IR,Kordestān,admin,349176,314420
Bīrjand,707823.5455587774,3638649.2837745952,40,S,Iran,IR,Khorāsān-e Jonūbī,admin,324703,196982
Dezfūl,255953.0538311509,3585691.9709524135,39,S,Iran,IR,Khūzestān,minor,315482,315482
Gorgān,272079.8305833466,4080472.4429936395,40,S,Iran,IR,Golestān,admin,281023,244937
Sārī,684352.9437374129,4048406.5266388953,39,S,Iran,IR,Māzandarān,admin,271467,255396
Borūjerd,292095.26095948776,3753044.649935883,39,S,Iran,IR,Lorestān,minor,251958,251958
Kāshān,540779.9443339813,3761942.7018063534,39,S,Iran,IR,Eşfahān,minor,250000,248789
Zābol,356352.13484607835,3433965.936086686,41,R,Iran,IR,Sīstān va Balūchestān,minor,233968,121989
Sabzevār,560855.6878515114,4007910.349775889,40,S,Iran,IR,Khorāsān-e Raẕavī,minor,226183,205638
Nīshābūr,661418.2457591348,4009100.369226966,40,S,Iran,IR,Khorāsān-e Raẕavī,minor,221700,220929
Āmol,621015.014092437,4036885.296566479,39,S,Iran,IR,Māzandarān,minor,221650,199382
Bojnūrd,529092.9144186984,4147588.6516115987,40,S,Iran,IR,Khorāsān-e Shomālī,admin,208582,192041
Khvoy,495826.1280960582,4266875.90463286,38,S,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,202728,175370
Varāmīn,558688.2683046064,3909187.789473229,39,S,Iran,IR,Tehrān,minor,179603,164827
Malāyer,299530.5835495568,3797743.4995476385,39,S,Iran,IR,Hamadān,minor,176573,176573
Sāveh,441303.47894711903,3875594.2933795275,39,S,Iran,IR,Markazī,minor,175533,115236
Sīrjān,371992.96044647717,3257132.67807375,40,R,Iran,IR,Kermān,minor,175000,167014
Bandar-e Būshehr,484265.1178693165,3204495.3556440873,39,R,Iran,IR,Būshehr,admin,169060,165377
Mahābād,564531.3404272458,4067372.131914553,38,S,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,162434,144423
Gonbad-e Kāvūs,337453.43622570386,4124184.874543115,40,S,Iran,IR,Golestān,minor,159982,131416
Kāshmar,633352.1520529543,3900455.4296261165,40,S,Iran,IR,Khorāsān-e Raẕavī,minor,157135,96151
Masjed Soleymān,339673.41070880473,3534641.6575338263,39,R,Iran,IR,Khūzestān,minor,153663,111510
Īlām,631944.1489380718,3722860.328747267,38,S,Iran,IR,Īlām,admin,152894,140940
Marāgheh,609683.2444717013,4139086.9282095428,38,S,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,151385,151385
Qūchān,634131.1463788934,4107697.1932734735,40,S,Iran,IR,Khorāsān-e Raẕavī,minor,145531,111752
Shāhrūd,318563.69473928394,4032236.0669621984,40,S,Iran,IR,Semnān,minor,131889,118719
Shahr-e Kord,487241.4543654452,3576530.1187376,39,S,Iran,IR,Chahār Maḩāl va Bakhtīārī,admin,129153,129153
Semnān,716755.5779362397,3939657.128271665,39,S,Iran,IR,Semnān,admin,124826,110950
Fasā,758136.7513488033,3204037.6513450276,39,R,Iran,IR,Fārs,minor,124458,98061
Torbat-e Jām,283674.26566604973,3902693.140289132,41,S,Iran,IR,Khorāsān-e Raẕavī,minor,104578,58928
Ahar,680556.2188041337,4260815.482172069,38,S,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,103639,94348
Bam,632043.1867925888,3220490.2991329967,40,R,Iran,IR,Kermān,minor,99268,99268
Yāsūj,556324.3737277162,3392982.615130412,39,R,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,admin,96786,96786
Behbahān,427303.58883177664,3385063.763366371,39,R,Iran,IR,Khūzestān,minor,85707,79327
Chābahār,262678.0184563791,2799356.3228656896,41,R,Iran,IR,Sīstān va Balūchestān,minor,65801,47287
Bījār,734995.1693394107,3972958.3171939873,38,S,Iran,IR,Kordestān,minor,53871,43741
Qaşr-e Shīrīn,553153.6811570703,3819479.298962923,38,S,Iran,IR,Kermānshāh,minor,11202,11202
Chādegān,465227.2948788941,3625656.3494062056,39,S,Iran,IR,Eşfahān,minor,,
Dehdasht,458342.79731213156,3406953.213741677,39,R,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,minor,,
Zehak,373878.5420110185,3418600.37404395,41,R,Iran,IR,Sīstān va Balūchestān,minor,,
Dārān,445126.69556973164,3650188.1378923384,39,S,Iran,IR,Eşfahān,minor,,
Bandar-e Māhshahr,326255.87471039034,3381854.3954857523,39,R,Iran,IR,Khūzestān,minor,,
Bandar-e Lengeh,288885.0825765618,2939218.358354614,40,R,Iran,IR,Hormozgān,minor,,
Ārān Bīdgol,544565.9970669348,3768638.1147025754,39,S,Iran,IR,Eşfahān,minor,,
Bastak,239150.49414403123,3011226.1411721567,40,R,Iran,IR,Hormozgān,minor,,
Takāb,689510.8467283905,4030490.1806737105,38,S,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Gomīshān,240096.00973902387,4106837.036558551,40,S,Iran,IR,Golestān,minor,,
Rābor,491559.77612301265,3240251.9129013163,40,R,Iran,IR,Kermān,minor,,
Bandar-e Ganāveh,453220.157684549,3272245.0428045406,39,R,Iran,IR,Būshehr,minor,,
Marīvān,607266.1183489596,3931164.971565027,38,S,Iran,IR,Kordestān,minor,,
Dīvāndarreh,682619.3167272264,3976291.149684695,38,S,Iran,IR,Kordestān,minor,,
Āz̄arshahr,586173.5098111426,4179526.6347505273,38,S,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Rūdsar,436763.0331695191,4110375.5162236113,39,S,Iran,IR,Gīlān,minor,,
Tīrān,514405.9969397656,3618328.3764711544,39,S,Iran,IR,Eşfahān,minor,,
Rāmshīr,347826.88140633213,3418845.5461721485,39,R,Iran,IR,Khūzestān,minor,,
Sarvābād,624259.6099228882,3908566.988240015,38,S,Iran,IR,Kordestān,minor,,
Arakvāz-e Malekshāhī,648666.1125471682,3694866.610893822,38,S,Iran,IR,Īlām,minor,,
Mohr,685974.490796782,3049345.6740030944,39,R,Iran,IR,Fārs,minor,,
Esfarāyen,545340.1336038505,4103474.728184102,40,S,Iran,IR,Khorāsān-e Shomālī,minor,,
Chenārān,689624.120644459,4057639.13643774,40,S,Iran,IR,Khorāsān-e Raẕavī,minor,,
Narmāshīr,665448.0250506249,3203872.0574661624,40,R,Iran,IR,Kermān,minor,,
Jūybār,670967.1732220865,4056768.622599091,39,S,Iran,IR,Māzandarān,minor,,
Khorramshahr,229585.4451901642,3370998.25311978,39,R,Iran,IR,Khūzestān,minor,,
Ashkez̄ar,236844.22381941532,3544560.618897237,40,S,Iran,IR,Yazd,minor,,
Sarāb,722912.3374436735,4202281.825931574,38,S,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Maḩallāt,449448.40236517263,3752431.6958620064,39,S,Iran,IR,Markazī,minor,,
Eshtehārd,442679.43473112583,3953688.2115601315,39,S,Iran,IR,Alborz,minor,,
‘Alīābād-e Katūl,310011.1351466413,4087024.5938450205,40,S,Iran,IR,Golestān,minor,,
Nīr,763174.5210680079,4213899.3007012075,38,S,Iran,IR,Ardabīl,minor,,
Borāzjān,521255.8274109744,3237908.225553238,39,R,Iran,IR,Būshehr,minor,,
Mīnūdasht,355589.30228133954,4121645.207721282,40,S,Iran,IR,Golestān,minor,,
Kahnūj,568817.9224965244,3092071.0466630305,40,R,Iran,IR,Kermān,minor,,
Nekā,705507.9182009508,4058596.057572426,39,S,Iran,IR,Māzandarān,minor,,
Dehgolān,719955.9486350502,3906554.8508981033,38,S,Iran,IR,Kordestān,minor,,
Oshnavīyeh,508741.79925253167,4099280.952495928,38,S,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Ābādeh,657321.4316136151,3448595.6060651694,39,R,Iran,IR,Fārs,minor,,
Nūr,590843.4188798969,4047838.873117943,39,S,Iran,IR,Māzandarān,minor,,
Pāveh,623721.4471671858,3878697.0248755175,38,S,Iran,IR,Kermānshāh,minor,,
Tafresh,409873.43883465,3839446.6334341676,39,S,Iran,IR,Markazī,minor,,
Meshgīn Shahr,734210.6319922018,4253492.6548759295,38,S,Iran,IR,Ardabīl,minor,,
Nā’īn,695329.8779350924,3637704.673420099,39,S,Iran,IR,Eşfahān,minor,,
Sīāhkal,399778.31339375576,4112473.089942248,39,S,Iran,IR,Gīlān,minor,,
Chālūs,537573.6879755241,4056683.3623495977,39,S,Iran,IR,Māzandarān,minor,,
Bonāb,593548.4902161353,4133158.1136806896,38,S,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Bahār,266233.19937415933,3865740.0300267674,39,S,Iran,IR,Hamadān,minor,,
Ābyek,457752.6688308439,3988479.0181533624,39,S,Iran,IR,Qazvīn,minor,,
Komījān,346790.45133766887,3843189.5787887312,39,S,Iran,IR,Markazī,minor,,
Nasīm Shahr,514620.25374205504,3935392.908990535,39,S,Iran,IR,Tehrān,minor,,
Semīrom,554126.5092237508,3475645.487277278,39,R,Iran,IR,Eşfahān,minor,,
Nehbandān,218640.03837137553,3493463.931649159,41,R,Iran,IR,Khorāsān-e Jonūbī,minor,,
Ardabīl,263146.5645474367,4236996.443471354,39,S,Iran,IR,Ardabīl,admin,,
Nowshahr,544334.3155631538,4056050.499337538,39,S,Iran,IR,Māzandarān,minor,,
Asadābād,236473.19566946803,3852693.910858662,39,S,Iran,IR,Hamadān,minor,,
Bāneh,579793.4928294396,3984033.5083675142,38,S,Iran,IR,Kordestān,minor,,
Jīroft,574720.198617895,3169836.448667005,40,R,Iran,IR,Kermān,minor,,
Boshrūyeh,539664.5479072686,3747652.5237485794,40,S,Iran,IR,Khorāsān-e Jonūbī,minor,,
Kangāvar,772254.0697409626,3822067.0383605408,38,S,Iran,IR,Kermānshāh,minor,,
Rāsak,340086.4022272265,2902898.12366347,41,R,Iran,IR,Sīstān va Balūchestān,minor,,
Sīsakht,543584.9700251503,3414610.854121886,39,R,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,minor,,
Naqadeh,534542.9862115381,4089983.9891674565,38,S,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
