city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Almaty,656543.852232775,4791123.687186233,43,T,Kazakhstan,KZ,Almaty,admin,1209000,983512
Shymkent,549456.578214636,4683260.037723016,42,T,Kazakhstan,KZ,Ongtüstik Qazaqstan,admin,465392,414032
Qaraghandy,363272.6651550107,5518126.011198753,43,U,Kazakhstan,KZ,Qaraghandy,admin,451800,304747
Taraz,693219.7779750321,4752427.34158493,42,T,Kazakhstan,KZ,Zhambyl,admin,358153,307294
Astana,671287.7686331051,5671212.564255781,42,U,Kazakhstan,KZ,Astana,primary,345604,325021
Pavlodar,634152.0468354956,5794373.671771655,43,U,Kazakhstan,KZ,Pavlodar,admin,329002,303506
Öskemen,614744.0272160951,5536151.336308114,44,U,Kazakhstan,KZ,Shyghys Qazaqstan,admin,319067,249634
Semey,447913.02998935105,5586337.294323786,44,U,Kazakhstan,KZ,Shyghys Qazaqstan,,311353,292780
Qyzylorda,697552.0899346338,4969328.077871933,41,T,Kazakhstan,KZ,Qyzylorda,admin,300000,126519
Aqtöbe,513056.9950705991,5572003.013911194,40,U,Kazakhstan,KZ,Aqtöbe,admin,262457,258529
Qostanay,542289.8904584907,5896560.475371729,41,U,Kazakhstan,KZ,Qostanay,admin,236901,210000
Petropavl,509627.0687930401,6079964.61693598,42,U,Kazakhstan,KZ,Soltüstik Qazaqstan,admin,228238,200920
Oral,525599.576770511,5675836.788499467,39,U,Kazakhstan,KZ,Batys Qazaqstan,admin,209788,200000
Atyraū,567009.3854502897,5218507.531241528,39,T,Kazakhstan,KZ,Atyraū,admin,182753,158413
Temirtaū,354303.55680747377,5546723.364957167,43,U,Kazakhstan,KZ,Qaraghandy,,170600,163787
Kökshetaū,526668.0241051168,5903864.363937434,42,U,Kazakhstan,KZ,Aqmola,admin,128873,124444
Ekibastuz,522301.29943430715,5730358.951168529,43,U,Kazakhstan,KZ,Pavlodar,,127868,121470
Rudnyy,507841.5162420903,5869262.596611642,41,U,Kazakhstan,KZ,Qostanay,,124000,84471
Zhezqazghan,407615.0234086189,5292955.505962817,42,T,Kazakhstan,KZ,Qaraghandy,,104357,104357
Türkistan,436967.32348900073,4794337.593197782,42,T,Kazakhstan,KZ,Ongtüstik Qazaqstan,,97360,76127
Taldyqorghan,293826.35448276706,4988132.918578767,44,T,Kazakhstan,KZ,Almaty,admin,88380,88380
Balkhash,499618.79582407634,5188279.362013561,43,T,Kazakhstan,KZ,Qaraghandy,,81364,79808
Sarqan,415134.561908199,5029209.764710894,44,T,Kazakhstan,KZ,Almaty,,76919,45739
Kentaū,459963.2529455919,4818317.560862071,42,T,Kazakhstan,KZ,Ongtüstik Qazaqstan,,57408,54321
Ridder,678790.56124942,5579913.060006144,44,U,Kazakhstan,KZ,Shyghys Qazaqstan,,56756,52664
Arqalyq,351729.20086681366,5568401.820047925,42,U,Kazakhstan,KZ,Qostanay,,55521,42000
Zyryanovsk,303482.82872218767,5511796.013232513,45,U,Kazakhstan,KZ,Shyghys Qazaqstan,,49658,44929
Zhitiqara,376885.6684988424,5783721.012384687,41,U,Kazakhstan,KZ,Qostanay,,46740,43104
Ayagöz,457777.8036925862,5312506.3534410605,44,T,Kazakhstan,KZ,Shyghys Qazaqstan,,45861,33479
Arys,484264.2164092521,4697555.36224184,42,T,Kazakhstan,KZ,Ongtüstik Qazaqstan,,42648,36285
Shū,399858.5653170497,4828566.112162703,43,T,Kazakhstan,KZ,Zhambyl,,42439,39785
Qapshaghay,666006.744724929,4858631.7052709,43,T,Kazakhstan,KZ,Almaty,,42167,38472
Qarataū,619281.8716794067,4781703.518763511,42,T,Kazakhstan,KZ,Zhambyl,,37881,33605
Qulsary,273126.8549616721,5207632.453008798,40,T,Kazakhstan,KZ,Atyraū,,37103,37103
Zharkent,420574.03884034045,4890856.799574425,44,T,Kazakhstan,KZ,Almaty,,36496,34422
Atbasar,455872.1534345598,5739713.106397127,42,U,Kazakhstan,KZ,Aqmola,,35819,34797
Esik,697750.7798193832,4803558.756813461,43,T,Kazakhstan,KZ,Almaty,,35319,26447
Aksay,639672.6980813064,5670415.65209575,39,U,Kazakhstan,KZ,Batys Qazaqstan,,34799,26010
Aral,398255.5174862993,5183802.291546438,41,T,Kazakhstan,KZ,Qyzylorda,,33017,27353
Beyneu,350729.39450105187,5005072.704370197,40,T,Kazakhstan,KZ,Mangghystaū,,32452,32452
Balyqshy,565806.6787115014,5212937.020227969,39,T,Kazakhstan,KZ,Atyraū,,31624,19260
Shīeli,319229.4483640682,4893109.289267554,42,T,Kazakhstan,KZ,Qyzylorda,,29832,21910
Alga,523737.9227525624,5527611.193586117,40,U,Kazakhstan,KZ,Aqtöbe,,28267,28267
Oktyabr’sk,530368.1068814485,5479692.625577473,40,U,Kazakhstan,KZ,Aqtöbe,,28196,26373
Shalqar,694565.6502827919,5301049.2702417625,40,T,Kazakhstan,KZ,Aqtöbe,,27256,27256
Shemonaīkha,564513.4028068618,5608868.070682202,44,U,Kazakhstan,KZ,Shyghys Qazaqstan,,27176,20087
Ereymentaū,368661.9417949255,5720884.360884622,43,U,Kazakhstan,KZ,Aqmola,,25141,14169
Khromtaū,602662.3900420493,5567549.886853079,40,U,Kazakhstan,KZ,Aqtöbe,,23715,19513
Lengir,573153.0182284298,4670310.013072695,42,T,Kazakhstan,KZ,Ongtüstik Qazaqstan,,23058,21238
Makīnsk,596040.3589659992,5832380.3031099355,42,U,Kazakhstan,KZ,Aqmola,,23020,17711
Oytal,355325.4167076376,4750150.619829564,43,T,Kazakhstan,KZ,Zhambyl,,22673,9821
Qarazhal,638417.8069796038,5322437.754370711,42,U,Kazakhstan,KZ,Qaraghandy,,22170,13807
Boralday,650538.2548943378,4802500.266765268,43,T,Kazakhstan,KZ,Almaty,,20996,20996
Üshtöbe,733842.1947592733,5015266.642761692,43,T,Kazakhstan,KZ,Almaty,,20492,17741
Zhosaly,584243.20968438,5037703.874854323,41,T,Kazakhstan,KZ,Qyzylorda,,20065,17982
Atasū,694641.1218391039,5395992.005486655,42,U,Kazakhstan,KZ,Qaraghandy,,19616,13184
Emba,584430.3318921163,5409175.387420423,40,U,Kazakhstan,KZ,Aqtöbe,,18760,1259
Zaysan,340324.61068216816,5259330.795320787,45,T,Kazakhstan,KZ,Shyghys Qazaqstan,,17600,10798
Derzhavīnsk,312051.1491650256,5664286.573083443,42,U,Kazakhstan,KZ,Aqmola,,15848,13856
Uryzhar,547766.7867501151,5215693.340927696,44,T,Kazakhstan,KZ,Shyghys Qazaqstan,,14826,12882
Maqat,673974.2538418844,5280000.406304126,39,T,Kazakhstan,KZ,Atyraū,,14082,10256
Esil,321921.8833697593,5759200.168464388,42,U,Kazakhstan,KZ,Aqmola,,13504,627
Taiynsha,549991.7712627472,5966727.31724647,42,U,Kazakhstan,KZ,Soltüstik Qazaqstan,,13148,1109
Qulan,313940.55931235146,4753352.532323607,43,T,Kazakhstan,KZ,Zhambyl,,13128,7272
Otar,517465.44209373207,4820598.734576305,43,T,Kazakhstan,KZ,Zhambyl,,11238,11238
Būlaevo,592426.015053287,6085278.582761301,42,U,Kazakhstan,KZ,Soltüstik Qazaqstan,,9886,880
Aqadyr,341045.8854895155,5347482.581546245,43,U,Kazakhstan,KZ,Qaraghandy,,9710,1009
Ertis,530482.3384205616,5909484.947161009,43,U,Kazakhstan,KZ,Pavlodar,,9216,3406
Shar,503506.7229847479,5492557.601758755,44,U,Kazakhstan,KZ,Shyghys Qazaqstan,,9087,1162
Makhambet,543793.5158172051,5279417.530295819,39,T,Kazakhstan,KZ,Atyraū,,8905,618
Zhangaözen,646000.6959566639,4795703.268456542,39,T,Kazakhstan,KZ,Mangghystaū,,8895,8895
Aqsū,701002.4642351116,5814562.166910041,42,U,Kazakhstan,KZ,Aqmola,,8543,8543
Zhänibek,633949.2717185102,5476017.482757,38,U,Kazakhstan,KZ,Batys Qazaqstan,,8212,5436
Qarqaraly,534299.1921850038,5473462.047941609,43,U,Kazakhstan,KZ,Qaraghandy,,8195,1603
Qusmuryn,610073.2887172697,5812443.482203118,41,U,Kazakhstan,KZ,Qostanay,,8049,642
Bayghanīn,417214.3867724474,5393578.711851846,40,U,Kazakhstan,KZ,Aqtöbe,,7657,885
Osakarovka,327961.2458579192,5603958.231780699,43,U,Kazakhstan,KZ,Qaraghandy,,7305,1087
Bestöbe,370745.2669821164,5818128.226328748,43,U,Kazakhstan,KZ,Aqmola,,7189,7189
Tobyl,471685.033531697,5838600.2174349865,41,U,Kazakhstan,KZ,Qostanay,,7155,672
Zholymbet,687263.2975327639,5735837.721397578,42,U,Kazakhstan,KZ,Aqmola,,6876,1062
Kishkeneköl,324191.37991438614,5946298.626101232,43,U,Kazakhstan,KZ,Soltüstik Qazaqstan,,6779,6779
Qazaly,430596.99228826107,5068078.345661432,41,T,Kazakhstan,KZ,Qyzylorda,,6582,290
Chapaev,511894.90875626943,5560881.294567194,39,U,Kazakhstan,KZ,Batys Qazaqstan,,6000,1031
Torghay,535964.4682235778,5498045.201065447,41,U,Kazakhstan,KZ,Qostanay,,5277,5277
Fort-Shevchenko,441486.63185045915,4928399.568541191,39,T,Kazakhstan,KZ,Mangghystaū,,5213,1259
Aqtaū,513440.59893687454,4833013.800505733,39,T,Kazakhstan,KZ,Mangghystaū,admin,4479,4479
Saryshagan,393309.062151407,5108214.650803645,43,T,Kazakhstan,KZ,Qaraghandy,,4365,297
