city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Nairobi,257051.0918486317,9858049.195630867,37,M,Kenya,KE,Nairobi City,primary,3010000,2750547
Mombasa,573658.7847808843,9551801.129280124,37,M,Kenya,KE,Mombasa,admin,882000,799668
Kisumu,696065.4549334045,9988697.345397683,36,M,Kenya,KE,Kisumu,admin,395615,216479
Nakuru,173453.80713334313,9968641.82456512,37,M,Kenya,KE,Nakuru,admin,364727,259903
Eldoret,752642.0061261195,57560.45694043489,36,N,Kenya,KE,Uasin Gishu,,353381,218446
Kitale,723252.7821804163,112337.55793911306,36,N,Kenya,KE,Trans Nzoia,,150495,75123
Machakos,307160.9796877011,9832285.11124952,37,M,Kenya,KE,Machakos,,144925,31971
Thika,286718.4997256552,9883877.930880534,37,M,Kenya,KE,Kiambu,,99322,87821
Kericho,754118.4958865969,9959320.723581705,36,M,Kenya,KE,Kericho,,98852,35748
Malindi,624340.7369238281,9644300.095821125,37,M,Kenya,KE,Kilifi,,94016,68304
Kendu Bay,683540.83701456,9960312.331262978,36,M,Kenya,KE,Homa Bay,,91248,91248
Kilifi,594389.1936499102,9598676.14217806,37,M,Kenya,KE,Kilifi,,80339,46118
Sotik,735796.7022532055,9924419.123664256,36,M,Kenya,KE,Kericho,,71285,2600
Garissa,571227.2688365779,9949866.158522598,37,M,Kenya,KE,Garissa,admin,67861,64035
Kakamega,695013.6717089902,31429.537923663735,36,N,Kenya,KE,Kakamega,admin,63426,63426
Embu,327577.3324382703,9941274.203222934,37,M,Kenya,KE,Embu,admin,58620,34922
Bungoma,673663.7490046066,62307.40726138459,36,N,Kenya,KE,Bungoma,,55962,55962
Nyeri,271575.51678020577,9953532.773133088,37,M,Kenya,KE,Nyeri,admin,51084,51084
Meru,350417.99635733606,5114.094513729926,37,N,Kenya,KE,Meru,,47226,47226
Wajir,617605.0681556609,193140.95145855073,37,N,Kenya,KE,Wajir,,45771,34709
Naivasha,214607.70691186975,9920706.80727618,37,M,Kenya,KE,Nakuru,,43983,38366
Voi,451461.11647081166,9624788.514911428,37,M,Kenya,KE,Taita/Taveta,,36487,19624
Nanyuki,285513.51908310276,1843.2538865368554,37,N,Kenya,KE,Laikipia,,36142,32542
Kisii,697225.0463771885,9925473.459960539,36,M,Kenya,KE,Kisii,,28547,28547
Moyale,506488.41407867736,388706.1138699554,37,N,Kenya,KE,Marsabit,,24837,16243
Lamu,711201.8226293155,9749039.963100513,37,M,Kenya,KE,Lamu,,24525,10345
Maralal,243821.639404718,121326.94614144602,37,N,Kenya,KE,Samburu,,20841,20841
Lodwar,788590.4914128883,345200.07833328383,36,N,Kenya,KE,Turkana,,20219,13960
Eldama Ravine,803982.7604440519,5707.443648826364,36,N,Kenya,KE,Baringo,,17581,12524
Marsabit,387682.6069606993,257399.14612516016,37,N,Kenya,KE,Marsabit,,16460,15361
Namanga,254321.0168741339,9718679.786422348,37,M,Kenya,KE,Kajiado,,13193,2136
Mwingi,395415.85840939987,9896712.058980787,37,M,Kenya,KE,Kitui,,11219,7874
Witu,659915.4642242326,9735874.540674757,37,M,Kenya,KE,Lamu,,5380,2510
Karungu,628493.8194052676,9906427.175711643,36,M,Kenya,KE,Migori,,2376,2376
Konza,291909.08159535355,9807285.978417052,37,M,Kenya,KE,Machakos,,2004,2004
Tsavo,440200.4768179635,9669267.252293952,37,M,Kenya,KE,Taita/Taveta,,414,414
