city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
P’yŏngch’ŏn,735162.1765857071,4319513.655581134,51,S,"Korea, North",KP,P’yŏngyang,,3300000,2498797
Namp’o,709275.3972305903,4290399.836983345,51,S,"Korea, North",KP,P’yŏngnam,minor,1127000,455000
Hasu-dong,378272.2687327727,4420250.041207944,52,S,"Korea, North",KP,Hamnam,,773000,418341
Hŭngnam,381793.936727562,4409987.008101778,52,S,"Korea, North",KP,Hamnam,,751322,346082
Ch’ŏngjin,564458.1238789385,4627368.31212033,52,T,"Korea, North",KP,Hambuk,admin,672614,327000
Sunch’ŏn,752425.611338974,4368786.271252726,51,S,"Korea, North",KP,P’yŏngnam,,400629,400629
Kaesŏng,285185.70573645685,4205400.493301686,52,S,"Korea, North",KP,Hwangnam,minor,338155,272512
Wŏnsan,365516.4635421253,4334884.1766233435,52,S,"Korea, North",KP,Kangwŏn,admin,329207,315643
Kanggye,296811.9819228861,4538175.6490077665,52,T,"Korea, North",KP,Chagang,admin,299514,209530
Sinŭiju,619164.4442731322,4439854.617860527,51,T,"Korea, North",KP,P’yŏngbuk,admin,288112,46356
Hyesan,431271.0679160452,4583673.61554091,52,T,"Korea, North",KP,Yanggang,admin,227461,227461
Haeju,738235.6661943689,4213794.158988754,51,S,"Korea, North",KP,Hwangnam,admin,224231,222396
Kimch’aek-si,516035.4964044225,4502018.960188639,52,T,"Korea, North",KP,Hambuk,minor,187270,187270
Manp’o,272560.4920069309,4559474.785483392,52,T,"Korea, North",KP,Chagang,,186827,186827
Sa-ri,740297.7607044472,4268996.218731269,51,S,"Korea, North",KP,Hwangbuk,,154942,154942
Chŏngju,689518.709190842,4396056.407666951,51,S,"Korea, North",KP,P’yŏngbuk,,141769,29065
Kilju,527581.5771109441,4534830.993968871,52,T,"Korea, North",KP,Hambuk,,101165,63652
Musan-ŭp,517144.82215250446,4674899.6808918,52,T,"Korea, North",KP,Hambuk,,80146,21739
Tunjŏn,347027.36021202593,4359372.065059425,52,S,"Korea, North",KP,Kangwŏn,,73619,73619
Ongjin,707570.5505390269,4201203.384792788,51,S,"Korea, North",KP,Hwangnam,,69195,64247
P’yŏnghwa-ri,274999.5322676917,4244023.357991462,52,S,"Korea, North",KP,Hwangbuk,,66260,66260
Sŏnbong,615047.8836320966,4688718.4587479355,52,T,"Korea, North",KP,Nasŏn,,60864,27331
Changyŏn,683413.9898012647,4235723.685909381,51,S,"Korea, North",KP,Hwangnam,,48984,39368
Sinhŭng-ni,711581.9387280386,4369416.170866017,51,S,"Korea, North",KP,P’yŏngnam,,19463,19463
Ch’osan-ŭp,736374.2895992885,4523945.819282956,51,T,"Korea, North",KP,Chagang,,7786,7786
Kŭmbanhyŏng,425079.0440947581,4523041.072294606,52,T,"Korea, North",KP,Yanggang,,3839,3839
Taep’yŏng-ni,705561.8200916634,4496266.0880444795,51,T,"Korea, North",KP,P’yŏngbuk,,1884,1884
Yongsŏng il-tong,741095.4301172507,4334404.105769482,51,S,"Korea, North",KP,P’yŏngyang,minor,,
Rajin,607266.1821727995,4678229.119124286,52,T,"Korea, North",KP,Nasŏn,admin,,
Pyongyang,738490.1491135501,4322545.374949562,51,S,"Korea, North",KP,P’yŏngyang,primary,,
Sariwŏn,740299.807479095,4265694.438475404,51,S,"Korea, North",KP,Hwangbuk,admin,,
Chaeryŏng-ŭp,728406.8198186813,4253344.428671797,51,S,"Korea, North",KP,Hwangnam,minor,,
Ŭijin-dong,289307.55506418407,4539022.114308426,52,T,"Korea, North",KP,Chagang,minor,,
Hamhŭng,374915.4675825889,4419718.359290028,52,S,"Korea, North",KP,Hamnam,admin,,
P’yŏngsŏng,747842.7890166019,4348050.813829985,51,S,"Korea, North",KP,P’yŏngnam,admin,,
Hŭngju-dong,293725.15968899813,4541242.202771435,52,T,"Korea, North",KP,Chagang,minor,,
