city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Gjakovë,453144.56271837815,4692156.331814471,34,T,Kosovo,XK,Gjakovë,admin,,
Graçanicë,516064.8926598297,4716538.983681254,34,T,Kosovo,XK,Graçanicë,admin,,
Kllokot,530829.6098641864,4691080.352029258,34,T,Kosovo,XK,Kllokot,admin,,
Ferizaj,512784.8777764081,4690931.641571996,34,T,Kosovo,XK,Ferizaj,admin,,
Podujevë,515504.1632103639,4750959.954867561,34,T,Kosovo,XK,Podujevë,admin,,
Suharekë,485588.57304633554,4689608.470841671,34,T,Kosovo,XK,Suharekë,admin,,
Viti,529526.508239063,4685522.845941696,34,T,Kosovo,XK,Viti,admin,,
Hani i Elezit,524511.480605517,4666473.356702917,34,T,Kosovo,XK,Hani i Elezit,admin,,
Novobërdë,534422.1630229624,4718456.485689914,34,T,Kosovo,XK,Novobërdë,admin,,
Mamushë,477503.6562986954,4686545.395393213,34,T,Kosovo,XK,Mamushë,admin,,
Rahovec,471584.41210743866,4694185.317164302,34,T,Kosovo,XK,Rahovec,admin,,
Kaçanik,521408.33728650387,4675561.802319631,34,T,Kosovo,XK,Kaçanik,admin,,
Istog,458078.7622944603,4736604.484713427,34,T,Kosovo,XK,Istog,admin,,
Fushë Kosovë,507876.4067729548,4723501.925380643,34,T,Kosovo,XK,Fushë Kosovë,admin,,
Zveçan,486961.8099504896,4750555.284476517,34,T,Kosovo,XK,Zveçan,admin,,
Prizren,478516.7241805581,4673557.305944845,34,T,Kosovo,XK,Prizren,admin,,
Malishevë,479110.15942247433,4703350.331783794,34,T,Kosovo,XK,Malishevë,admin,,
Zubin Potok,474674.6816325921,4751360.7112330925,34,T,Kosovo,XK,Zubin Potok,admin,,
Pristina,514127.86666706874,4723803.338365637,34,T,Kosovo,XK,Prishtinë,primary,,
Ranillug,549214.5712742533,4704603.168509622,34,T,Kosovo,XK,Ranillug,admin,,
Gjilan,538089.1853780975,4701942.554029177,34,T,Kosovo,XK,Gjilan,admin,,
Lipjan,510335.6412356969,4707706.628002848,34,T,Kosovo,XK,Lipjan,admin,,
Partesh,535683.786226078,4694496.228441057,34,T,Kosovo,XK,Partesh,admin,,
Gllogovc,491299.1203613742,4719548.609214048,34,T,Kosovo,XK,Gllogovc,admin,,
Klinë,465374.9619878377,4718889.344760772,34,T,Kosovo,XK,Klinë,admin,,
Skenderaj,482699.41166338674,4732704.884689943,34,T,Kosovo,XK,Skenderaj ,admin,,
Pejë,441992.99328011577,4723302.294800998,34,T,Kosovo,XK,Pejë,admin,,
Mitrovicë,489111.70724997966,4747867.878278617,34,T,Kosovo,XK,,admin,,
Kamenicë,547619.921691275,4714123.523590319,34,T,Kosovo,XK,Kamenicë,admin,,
Junik,440589.12105555355,4702862.670843598,34,T,Kosovo,XK,Junik,admin,,
Shtërpcë,502245.9897495749,4676362.333225212,34,T,Kosovo,XK,Shtërpcë,admin,,
Deçan,441788.2782503922,4709731.377671434,34,T,Kosovo,XK,Deçan,admin,,
Shtime,503267.28247403965,4697860.521757455,34,T,Kosovo,XK,Shtime,admin,,
Dragash,471301.7602098295,4652776.619927482,34,T,Kosovo,XK,Dragash,admin,,
Leposaviq,483951.8673797451,4772370.471695413,34,T,Kosovo,XK,Leposaviq,admin,,
Obiliq,505757.23921435914,4726053.807875229,34,T,Kosovo,XK,Obiliq,admin,,
Vushtrri,497343.3899171065,4741166.28299637,34,T,Kosovo,XK,Vushtrri,admin,,
