city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Riga,323625.46336750104,6315562.7871458335,35,V,Latvia,LV,Rīga,primary,742572,705033
Daugavpils,470807.5016155274,6193193.415561371,35,U,Latvia,LV,Daugavpils Novads,admin,111564,108375
Liepāja,501025.574087894,6263585.769315751,34,V,Latvia,LV,Liepāja,admin,85132,82807
Jelgava,666314.8728537572,6281716.535507087,34,V,Latvia,LV,Jelgavas Novads,admin,67207,61791
Ventspils,534436.1389495214,6360932.031672849,34,V,Latvia,LV,Ventspils,admin,42884,42644
Rēzekne,519494.0506565289,6261775.42171732,35,V,Latvia,LV,Rēzeknes Novads,admin,38340,38098
Inčukalns,359838.5008745734,6330677.620988948,35,V,Latvia,LV,Inčukalna Novads,admin,,
Ķekava,331426.2784002591,6301803.725858895,35,V,Latvia,LV,Ķekavas Novads,admin,,
Valka,440508.087163708,6403172.124527786,35,V,Latvia,LV,Valkas Novads,admin,,
Loja,357514.78479252325,6337039.379381432,35,V,Latvia,LV,Sējas Novads,admin,,
Mārupe,320158.5851247146,6310496.01085373,35,V,Latvia,LV,Mārupes Novads,admin,,
Drabeši,396376.07168965955,6344665.457794251,35,V,Latvia,LV,Amatas Novads,admin,,
Iecava,328242.2405668099,6276208.619036896,35,V,Latvia,LV,Iecavas Novads,admin,,
Salacgrīva,342789.55303369125,6404345.791880363,35,V,Latvia,LV,Salacgrīvas Novads,admin,,
Ķegums,360305.68796453706,6291237.38758713,35,V,Latvia,LV,Ķeguma Novads,admin,,
Sigulda,370827.79513744253,6336322.322529663,35,V,Latvia,LV,Siguldas Novads,admin,,
Jaunpils,623188.8057786559,6289419.942273331,34,V,Latvia,LV,Jaunpils Novads,admin,,
Alsunga,534280.4047614997,6315312.892227051,34,V,Latvia,LV,Alsungas Novads,admin,,
Tērvete,646992.0051803682,6261840.879541298,34,V,Latvia,LV,Tērvetes Novads,admin,,
Talsi,595798.3504363825,6345943.003025698,34,V,Latvia,LV,Talsu Novads,admin,,
Cesvaine,458452.26411396166,6313883.169793828,35,V,Latvia,LV,Cesvaines Novads,admin,,
Cēsis,394554.9326199918,6352136.592682686,35,V,Latvia,LV,Cēsu Novads,admin,,
Kocēni,400166.70118925907,6376126.245314539,35,V,Latvia,LV,Kocēnu Novads,admin,,
Koknese,403941.39200205647,6279523.791105245,35,V,Latvia,LV,Kokneses Novads,admin,,
