city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Beirut,732142.9310155162,3750792.2776191034,36,S,Lebanon,LB,Beyrouth,primary,1846000,1712125
Sidon,720534.4222271456,3715892.156059537,36,S,Lebanon,LB,Liban-Sud,admin,173894,173894
Nabatîyé el Faouqa,731907.5999817922,3694404.0649562604,36,S,Lebanon,LB,Nabatîyé,,80000,40000
Zahlé,768708.8869472019,3749288.9231384075,36,S,Lebanon,LB,Béqaa,admin,78145,44239
Bsaba,735364.4960714814,3743226.0038576475,36,S,Lebanon,LB,Mont-Liban,,9000,9000
Baabda,735434.2783034889,3746649.711650328,36,S,Lebanon,LB,Mont-Liban,admin,,
Aaley,740682.5506353411,3743605.4845014946,36,S,Lebanon,LB,Mont-Liban,minor,,
Halba,232004.26649808604,3826215.3542887545,37,S,Lebanon,LB,Aakkâr,admin,,
Hâsbaïya,749726.2616488439,3698608.35085526,36,S,Lebanon,LB,Nabatîyé,minor,,
Jezzîne,739973.9124545307,3714330.5463076704,36,S,Lebanon,LB,Liban-Sud,minor,,
Jdaidet el Matn,737334.224198816,3752986.2141769268,36,S,Lebanon,LB,Mont-Liban,minor,,
Joubb Jannîne,758269.8940114459,3724270.18172243,36,S,Lebanon,LB,Béqaa,minor,,
Nabatîyé,730995.762778806,3696024.9862145693,36,S,Lebanon,LB,Nabatîyé,admin,,
Beït ed Dîne,739216.4154296675,3731236.724736418,36,S,Lebanon,LB,Mont-Liban,minor,,
Batroûn,744761.4109876009,3793658.3921002457,36,S,Lebanon,LB,Liban-Nord,minor,,
Amioûn,758517.4517814462,3798992.8712214087,36,S,Lebanon,LB,Liban-Nord,minor,,
Baalbek,243072.9673155636,3766292.8248552335,37,S,Lebanon,LB,Baalbek-Hermel,admin,,
Marjayoûn,741094.990742283,3694227.6180963754,36,S,Lebanon,LB,Nabatîyé,minor,,
Joünié,741832.2278859948,3763119.8091447637,36,S,Lebanon,LB,Mont-Liban,minor,,
Bcharré,224699.28479218832,3794012.752403708,37,S,Lebanon,LB,Liban-Nord,minor,,
Jbaïl,744227.1185498628,3778751.8395779734,36,S,Lebanon,LB,Mont-Liban,minor,,
Tripoli,761850.6325673303,3814258.693660632,36,S,Lebanon,LB,Liban-Nord,admin,,
Sîr ed Danniyé,227028.96069795848,3808872.403763747,37,S,Lebanon,LB,Liban-Nord,minor,,
Zghartā,766130.250703952,3810019.7549590566,36,S,Lebanon,LB,Liban-Nord,minor,,
El Hermel,259575.5451467207,3808962.698251722,37,S,Lebanon,LB,Baalbek-Hermel,minor,,
Bent Jbaïl,727032.764243872,3667163.735072597,36,S,Lebanon,LB,Nabatîyé,minor,,
Tyre,704329.7382473663,3683736.196133695,36,S,Lebanon,LB,Liban-Sud,minor,,
Râchaïya el Ouadi,764177.874558798,3710437.7292963853,36,S,Lebanon,LB,Béqaa,minor,,
