city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Tripoli,329765.46979111526,3640838.197330632,33,S,Libya,LY,Ţarābulus,primary,2189000,229398
Benghazi,417859.18944544625,3553809.830949322,34,S,Libya,LY,Banghāzī,admin,1180000,582374
Mişrātah,508705.3848111987,3582045.6297934926,33,S,Libya,LY,Mişrātah,admin,386120,216200
Tobruk,780935.8970602448,3553581.395287931,34,S,Libya,LY,Al Buţnān,admin,263527,121052
Al Khums,430777.79646838875,3612573.7889794717,33,S,Libya,LY,Al Marqab,admin,201943,183061
Ḩārat az Zāwiyah,285952.4108011867,3627330.355476976,33,S,Libya,LY,,,200000,186123
Zuwārah,227151.89473528252,3647439.239989514,33,S,Libya,LY,An Nuqāţ al Khams,admin,180310,67386
Al Marj,484192.0586781875,3594538.7066438734,34,S,Libya,LY,Al Marj,admin,169540,85315
Gharyān,313338.84672149306,3561242.989190185,33,S,Libya,LY,Al Jabal al Gharbī,admin,146810,85219
Ajdābiyā,425944.70375238894,3402756.323390371,34,R,Libya,LY,Al Wāḩāt,admin,143833,134358
Surt,651340.5925710867,3453843.6808363814,33,R,Libya,LY,Surt,admin,128123,93390
Darnah,653301.6203332525,3626646.816411825,34,S,Libya,LY,Darnah,admin,127974,78782
Sabhā,443299.5089429851,2990735.254342376,33,R,Libya,LY,Sabhā,admin,100249,100249
Nālūt,687418.4022163074,3527569.062985659,32,R,Libya,LY,Nālūt,admin,66609,66228
Banī Walīd,404746.32090676227,3513899.314695525,33,R,Libya,LY,,,65392,46350
Murzuq,389543.17035018787,2865566.112645876,33,R,Libya,LY,Murzuq,admin,55071,43732
Birāk,428063.935509717,3047517.7922754735,33,R,Libya,LY,,,45421,39444
Shaḩḩāt,579560.9317124703,3632803.763377361,34,S,Libya,LY,,,45000,43376
Mizdah,308054.341797021,3480701.6052681417,33,R,Libya,LY,,,26107,6652
Ghāt,618383.8160828385,2761552.8854287774,32,R,Libya,LY,Ghāt,admin,24347,19665
Al Jawf,731896.0624603532,2676292.559901494,34,R,Libya,LY,,,24132,24132
Hūn,592197.2733731171,3222409.5927759404,33,R,Libya,LY,Al Jufrah,admin,18878,15826
Ghadāmis,548229.032571178,3333702.023603884,32,R,Libya,LY,,,6623,6623
Awjilah,527919.2715014638,3219991.400507618,34,R,Libya,LY,,,6610,6610
Qamīnis,406670.70962249965,3503201.9466897477,34,R,Libya,LY,,,5348,5348
Marādah,326680.26993773226,3235154.903075414,34,R,Libya,LY,,,2500,2229
Al Jaghbūb,259936.83757963803,3292820.6040712204,35,R,Libya,LY,,,1744,1744
Tajarhī,446332.34978779964,2695293.9423981826,33,R,Libya,LY,,,1500,1496
Dirj,640398.5111596194,3337968.9081382244,32,R,Libya,LY,,,931,931
Tmassah,578275.5456262374,2919647.951069966,33,R,Libya,LY,,,500,200
Umm al Aḩrār,500000.0,3043662.973722688,33,R,Libya,LY,,,300,298
Zillah,750128.5261809223,3160184.2024502233,33,R,Libya,LY,,,10,10
Idrī,328779.08265130175,3043012.9450656506,33,R,Libya,LY,Wādī ash Shāţi’,admin,,
Al Bayḑā’,570723.8875424865,3625235.0894371048,34,S,Libya,LY,Al Jabal al Akhḑar,admin,,
Az Zāwīyah,287122.4529536066,3626644.602191328,33,S,Libya,LY,Az Zāwiyah,admin,,
Al ‘Azīzīyah,313815.67141734745,3601132.7852729666,33,S,Libya,LY,Al Jafārah,admin,,
Awbārī,278968.2983715021,2943170.2365361266,33,R,Libya,LY,,admin,,
Al Kufrah,730587.3795120944,2674549.4700862467,34,R,Libya,LY,Al Kufrah,admin,,
