city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Vilnius,391478.4322081165,6060854.905581344,35,U,Lithuania,LT,Vilniaus Miestas,primary,542366,507029
Kaunas,686546.5877229674,6087842.636202893,34,U,Lithuania,LT,Kauno Miestas,admin,374643,353046
Klaipėda,508993.1220034933,6173688.771017686,34,U,Lithuania,LT,Klaipėdos Miestas,admin,192307,190361
Vijoliai,642479.7917516152,6203410.4977674605,34,U,Lithuania,LT,,,133528,130587
Paežerys I,337477.1217883602,6182352.379122596,35,U,Lithuania,LT,Panevėžys,,127405,117395
Šalčininkai,395041.4221166969,6019061.975301625,35,U,Lithuania,LT,Šalčininkai,admin,,
Skuodas,532952.0820557293,6236321.433637426,34,V,Lithuania,LT,Skuodas,admin,,
Telšiai,577015.0141369888,6204882.878587402,34,U,Lithuania,LT,Telšiai,admin,,
Panevėžys,334221.4537152052,6179394.390575693,35,U,Lithuania,LT,Panevėžio Miestas,admin,,
Ignalina,446754.2273530746,6133018.104539168,35,U,Lithuania,LT,Ignalina,admin,,
Palanga,504438.0963433647,6197212.976257867,34,U,Lithuania,LT,Palangos Miestas,admin,,
Širvintos,369302.6861562521,6101600.080550712,35,U,Lithuania,LT,Širvintos,admin,,
Visaginas,464701.50842157105,6161345.586555932,35,U,Lithuania,LT,Visaginas,admin,,
Varėna,341904.0104331294,6010208.930904654,35,U,Lithuania,LT,Varėna,admin,,
Rietavas,557996.462263501,6176091.454839262,34,U,Lithuania,LT,Rietavo,admin,,
Raseiniai,634563.0059810082,6139101.742042804,34,U,Lithuania,LT,Raseiniai,admin,,
Rokiškis,412261.90111334535,6202371.155209129,35,U,Lithuania,LT,Rokiškis,admin,,
Šiauliai,644719.4069869216,6201083.965150022,34,U,Lithuania,LT,Šiaulių Miestas,admin,,
Kazlų Rūda,660578.0534271451,6069791.041922277,34,U,Lithuania,LT,Kazlų Rūdos,admin,,
Mažeikiai,582060.4510145125,6241619.623523314,34,V,Lithuania,LT,Mažeikiai,admin,,
Kelmė,621817.0061125867,6166608.346138904,34,U,Lithuania,LT,Kelmė,admin,,
Joniškis,662085.9776023461,6235800.442156975,34,V,Lithuania,LT,Joniškis,admin,,
Biržai,360535.5147789677,6230456.134972337,35,V,Lithuania,LT,Biržai,admin,,
Birštonas,308252.7021093171,6054869.132583655,35,U,Lithuania,LT,Birštono,admin,,
Marijampolė,652219.33026668,6048369.1089277165,34,U,Lithuania,LT,Marijampolė,admin,,
Kupiškis,373527.90486770414,6190133.641081993,35,U,Lithuania,LT,Kupiškis,admin,,
Radviliškis,659238.2949751988,6187982.518630538,34,U,Lithuania,LT,Radviliškis,admin,,
Kretinga,515291.54137659684,6193730.898213839,34,U,Lithuania,LT,Kretinga,admin,,
Jurbarkas,612632.7482161337,6104621.740331247,34,U,Lithuania,LT,Jurbarkas,admin,,
Tauragė,581980.866699358,6123617.217709589,34,U,Lithuania,LT,Tauragė,admin,,
Kalvarija,644587.6855524174,6032227.565872431,34,U,Lithuania,LT,Kalvarijos,admin,,
Pagėgiai,558251.7408978367,6110522.0269187195,34,U,Lithuania,LT,Pagégiai,admin,,
Prienai,690116.1012237675,6058274.403918849,34,U,Lithuania,LT,Prienai,admin,,
Švenčionys,446415.02750541945,6109909.601915793,35,U,Lithuania,LT,Švenčionys,admin,,
Zarasai,452974.03316970624,6176534.0293353405,35,U,Lithuania,LT,Zarasai,admin,,
Pasvalys,338104.8716882993,6216085.2700816775,35,V,Lithuania,LT,Pasvalys,admin,,
Lazdijai,663895.3472157384,6012394.215479906,34,U,Lithuania,LT,Lazdijai,admin,,
Plungė,552860.1990974684,6196134.732941758,34,U,Lithuania,LT,Plungė,admin,,
Kėdainiai,688768.9169909274,6130847.611024777,34,U,Lithuania,LT,Kėdainiai,admin,,
Šilutė,530017.3745421127,6133322.599644271,34,U,Lithuania,LT,Šilutė,admin,,
Druskininkai,695697.0992078132,5989400.923956307,34,U,Lithuania,LT,Druskininkai,admin,,
Nida,499778.65699085785,6129133.002188704,34,U,Lithuania,LT,Neringa,admin,,
Jonava,326083.75438077195,6107100.907801105,35,U,Lithuania,LT,Jonava,admin,,
Anykščiai,380475.58742017235,6154794.525728218,35,U,Lithuania,LT,Anykščiai,admin,,
Šilalė,574996.23086271,6149938.332978028,34,U,Lithuania,LT,Šilalė,admin,,
Kaišiadorys,337517.1648552066,6082736.991668823,35,U,Lithuania,LT,Kaišiadorys,admin,,
Elektrėnai,349700.5050117379,6073521.854050255,35,U,Lithuania,LT,Elektrénai,admin,,
Molėtai,399301.5112417281,6120938.438479909,35,U,Lithuania,LT,Molėtai,admin,,
Pakruojis,678134.5949769174,6207410.038693147,34,U,Lithuania,LT,Pakruojis,admin,,
Utena,411507.4704268808,6151062.363978307,35,U,Lithuania,LT,Utena,admin,,
Alytus,307940.54022633797,6031654.899691778,35,U,Lithuania,LT,Alytaus Miestas,admin,,
Šakiai,631136.3845447217,6091523.170300699,34,U,Lithuania,LT,Šakiai,admin,,
Akmenė,608431.628755187,6235281.505177007,34,V,Lithuania,LT,Akmenė,admin,,
Trakai,366798.3009282086,6056682.262780934,35,U,Lithuania,LT,Trakai,admin,,
Vilkaviškis,631011.2276345973,6057518.169820975,34,U,Lithuania,LT,Vilkaviškis,admin,,
Ukmergė,357844.9761834478,6124824.472313767,35,U,Lithuania,LT,Ukmergė,admin,,
