city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Ampamantanana,766808.1306714779,7904634.335584578,38,K,Madagascar,MG,Antananarivo,,1697000,1391433
Antsirabe,713540.4354257404,7801948.364089109,38,K,Madagascar,MG,Antananarivo,minor,307921,307921
Toamasina,331608.1908989834,7992340.791064069,39,K,Madagascar,MG,Toamasina,admin,210226,206373
Fianarantsoa,716426.4168831388,7626848.329069965,38,K,Madagascar,MG,Fianarantsoa,admin,184184,167227
Mahajanga,640994.9254965374,8262268.57113192,38,L,Madagascar,MG,Mahajanga,admin,154657,135660
Toliara,364045.28073109814,7416799.15178396,38,K,Madagascar,MG,Toliara,admin,115319,97237
Anjiamena,319930.3359619582,8644646.94349579,39,L,Madagascar,MG,Antsiranana,,82937,69687
Antanananivo,421104.65175035776,8358135.159154587,39,L,Madagascar,MG,Antsiranana,,47224,34112
Sambava,409431.4548075129,8423601.427217193,39,L,Madagascar,MG,Antsiranana,minor,43465,31522
Ambatondrazaka,227236.94046570262,8026888.138761964,39,K,Madagascar,MG,Toamasina,minor,43134,40552
Maroantsetra,365108.00140908966,8293326.649650416,39,L,Madagascar,MG,Toamasina,,38046,23859
Morondava,424697.95256980247,7756148.97801011,38,K,Madagascar,MG,Toliara,minor,36803,3234
Marosakoa,678447.4382092652,8220514.564243993,38,K,Madagascar,MG,Mahajanga,,31253,1773
Ambanja,224541.58227580256,8486962.25477453,39,L,Madagascar,MG,Antsiranana,,30621,21842
Mananjary,224920.7874927494,7650409.989987718,39,K,Madagascar,MG,Fianarantsoa,,27686,11996
Farafangana,790369.0049940349,7473847.570159737,38,K,Madagascar,MG,Fianarantsoa,minor,24764,5221
Andoany,204808.3651862322,8516508.331245825,39,L,Madagascar,MG,Antsiranana,,22680,18391
Antsohihy,821485.326051909,8352828.400679977,38,L,Madagascar,MG,Mahajanga,minor,21290,9227
Miandrivazo,547983.4642658276,7841135.305132017,38,K,Madagascar,MG,Toliara,,20631,3156
Ihosy,616021.3528897793,7522042.600530237,38,K,Madagascar,MG,Fianarantsoa,minor,16990,10814
Tôlan̈aro,700752.8715549128,7230032.416784281,38,J,Madagascar,MG,Toliara,minor,16818,16818
Morombe,330360.15430184547,7594639.315738762,38,K,Madagascar,MG,Toliara,,16727,16727
Mandritsara,267147.41552522295,8247179.346614849,39,L,Madagascar,MG,Mahajanga,,9705,9705
Maintirano,396736.4691035624,8002916.498371659,38,K,Madagascar,MG,Mahajanga,minor,5925,5925
Bekily,532484.3927983186,7321167.260327234,38,J,Madagascar,MG,Toliara,,4286,4286
Manja,430830.46844331163,7629566.21874145,38,K,Madagascar,MG,Toliara,,1536,1536
Besalampy,445666.7419882966,8148439.205667753,38,K,Madagascar,MG,Mahajanga,,1022,1022
Androka,406828.9597403774,7231774.6992278285,38,J,Madagascar,MG,Toliara,,174,174
Ambositra,733826.8688810045,7728333.352179552,38,K,Madagascar,MG,Fianarantsoa,minor,,
Antsiran̈ana,314159.2647356099,8641430.587508285,39,L,Madagascar,MG,Antsiranana,admin,,
Tsiroanomandidy,610596.63076541,7924371.246461489,38,K,Madagascar,MG,Antananarivo,minor,,
Ambovombe,609653.0359200048,7215186.589585654,38,J,Madagascar,MG,Toliara,minor,,
Manakara,191374.8356551439,7548025.08576257,39,K,Madagascar,MG,Fianarantsoa,minor,,
Miarinarivo,700727.5187349601,7902826.79849739,38,K,Madagascar,MG,Antananarivo,minor,,
Maevatanana,694783.2693185247,8125402.556547258,38,K,Madagascar,MG,Mahajanga,minor,,
Antananarivo,765078.2909412084,7906504.9196653385,38,K,Madagascar,MG,Antananarivo,primary,,
Fenoarivo Atsinanana,330982.34889290074,8077496.9969202895,39,K,Madagascar,MG,Toamasina,minor,,
