city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Potkrajnica,360505.1279240475,4701320.333961417,34,T,Montenegro,ME,,,145850,136473
Petnjica,415468.58620903484,4751217.277620403,34,T,Montenegro,ME,Petnjica,admin,,
Ulcinj,351288.1987824483,4643374.788533183,34,T,Montenegro,ME,Ulcinj,admin,,
Budva,321914.22531068174,4683833.631997218,34,T,Montenegro,ME,Budva,admin,,
Nikšić,332978.36403776176,4737850.803604942,34,T,Montenegro,ME,Nikšić,admin,,
Danilovgrad,344432.74348479015,4712276.238637028,34,T,Montenegro,ME,Danilovgrad,admin,,
Tivat,310501.9357788383,4700801.385430852,34,T,Montenegro,ME,Tivat,admin,,
Rožaje,432040.6480623215,4743814.580127382,34,T,Montenegro,ME,Rožaje,admin,,
Golubovci,354273.5082155874,4688487.193715472,34,T,Montenegro,ME,,minor,,
Plav,413493.9588530215,4716596.493529917,34,T,Montenegro,ME,Plav,admin,,
Plužine,324330.8318580652,4780046.64239992,34,T,Montenegro,ME,Plužine,admin,,
Bar,342896.00429991685,4661854.441621964,34,T,Montenegro,ME,Bar,admin,,
Podgorica,357191.8368172754,4700214.702070905,34,T,Montenegro,ME,Podgorica,primary,,
Mojkovac,384393.4152843626,4757779.48387069,34,T,Montenegro,ME,Mojkovac,admin,,
Žabljak,347305.5948040819,4779708.619307275,34,T,Montenegro,ME,Žabljak,admin,,
Herceg-Novi,297508.9716626472,4703018.594154864,34,T,Montenegro,ME,Herceg Novi,admin,,
Šavnik,344750.7050313995,4757729.420976699,34,T,Montenegro,ME,Šavnik,admin,,
Cetinje,329003.52931912884,4695416.253472576,34,T,Montenegro,ME,Cetinje,admin,,
Tuzi,362601.52920808544,4691713.18287182,34,T,Montenegro,ME,,minor,,
Andrijevica,401108.88881027163,4731971.826537037,34,T,Montenegro,ME,Andrijevica,admin,,
Kolašin,379227.5411042832,4742347.768141295,34,T,Montenegro,ME,Kolašin,admin,,
Berane,407932.5646935528,4743940.501158398,34,T,Montenegro,ME,Berane,admin,,
Kotor,316708.8253969712,4699462.648079777,34,T,Montenegro,ME,Kotor,admin,,
Bijelo Polje,397800.13784841076,4764817.243837574,34,T,Montenegro,ME,Bijelo Polje,admin,,
Gusinje,404279.2256916722,4712830.191281365,34,T,Montenegro,ME,Gusinje,admin,,
Pljevlja,366618.58106049744,4801244.941328965,34,T,Montenegro,ME,Pljevlja,admin,,
