city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Niamey,404408.79516068986,1494445.365103477,31,P,Niger,NE,Niamey,primary,915000,742791
Maradi,294536.6950153242,1493224.6782354352,32,P,Niger,NE,Maradi,admin,232555,163487
Zinder,498743.1228423619,1526145.9897574882,32,P,Niger,NE,Zinder,admin,230358,191424
Agadez,392590.77801629016,1876881.084970754,32,Q,Niger,NE,Agadez,,117770,88561
Tahoua,744137.3393674429,1647269.5158155744,31,P,Niger,NE,Tahoua,admin,115956,80425
Arlit,329767.4031177599,2072491.9824119194,32,Q,Niger,NE,Agadez,minor,100000,80000
Birnin Konni,743821.2710567482,1526267.9184974793,31,P,Niger,NE,Tahoua,minor,65252,48103
Dosso,521000.9994500402,1442562.4729874053,31,P,Niger,NE,Dosso,admin,49750,43213
Gaya,548919.622782097,1313804.497443813,31,P,Niger,NE,Dosso,minor,33051,25738
Diffa,241234.4938144844,1473253.4360664005,33,P,Niger,NE,Diffa,admin,30988,27948
Ayorou,275782.34509801294,1629582.1636723168,31,P,Niger,NE,Tillabéri,,26290,1712
Madaoua,819677.7922776835,1557808.9658412375,31,P,Niger,NE,Tahoua,minor,24804,15104
Tillabéri,333198.25731081207,1571184.5141248424,31,P,Niger,NE,Tillabéri,admin,19262,8362
Nguigmi,296001.70992057223,1576152.3426256848,33,P,Niger,NE,Diffa,minor,17897,12739
Gouré,637206.2934106098,1546269.5289131878,32,P,Niger,NE,Zinder,minor,14639,11944
Djado,220222.40094529203,2326274.340522974,33,Q,Niger,NE,Agadez,,10,10
Illéla,741863.1220169778,1599839.293731833,31,P,Niger,NE,Tahoua,minor,,
Guidan Roumdji,250730.01576872348,1511042.7971274308,32,P,Niger,NE,Maradi,minor,,
Tchintabaraden,799670.9359481332,1759536.8037309672,31,P,Niger,NE,Tahoua,minor,,
Say,431589.1046624674,1448357.2004630233,31,P,Niger,NE,Tillabéri,minor,,
Loga,525506.3034545486,1504961.1753574691,31,P,Niger,NE,Dosso,minor,,
Ouallam,401426.0444954721,1582915.1313099551,31,P,Niger,NE,Tillabéri,minor,,
Téra,257303.9444607999,1549737.0725094085,31,P,Niger,NE,Tillabéri,minor,,
Keïta,798761.6365574098,1633082.8930783723,31,P,Niger,NE,Tahoua,minor,,
Dogondoutchi,611271.7197095489,1508074.1613080478,31,P,Niger,NE,Dosso,minor,,
Magaria,490230.7712069428,1436944.6977963974,32,P,Niger,NE,Zinder,minor,,
Filingué,534158.9017009079,1586690.7963870768,31,P,Niger,NE,Tillabéri,minor,,
Abalak,208031.5666931945,1710046.329647541,32,P,Niger,NE,Tahoua,minor,,
Kollo,428407.1666384156,1470882.5463610247,31,P,Niger,NE,Tillabéri,minor,,
Tchirozérine,368306.46768336557,1904420.6907594574,32,Q,Niger,NE,Agadez,minor,,
Mayahi,356464.3474832573,1543186.7132606083,32,P,Niger,NE,Maradi,minor,,
Bilma,280256.48495151335,2067290.3887272787,33,Q,Niger,NE,Agadez,minor,,
Bouza,181115.7626030739,1596552.262559574,32,P,Niger,NE,Tahoua,minor,,
Tanout,487942.58363009465,1655108.9081956747,32,P,Niger,NE,Zinder,minor,,
Aguié,367817.1349790711,1493423.4167122473,32,P,Niger,NE,Maradi,minor,,
Maïné Soroa,177433.8935929258,1462428.944078989,33,P,Niger,NE,Diffa,minor,,
Birnin Gaouré,490351.12434801954,1446175.5492421063,31,P,Niger,NE,Dosso,minor,,
Tessaoua,390530.2361265885,1521122.6283533257,32,P,Niger,NE,Maradi,minor,,
Mirriah,516232.65905244555,1515357.6910900401,32,P,Niger,NE,Zinder,minor,,
Dakoro,259129.21039087014,1605370.013457018,32,P,Niger,NE,Maradi,minor,,
Madarounfa,300255.59595604055,1472010.988101371,32,P,Niger,NE,Maradi,minor,,
Kantché,441886.94451942056,1496835.139792748,32,P,Niger,NE,Zinder,minor,,
