city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Johannesburg,604883.4681374365,7101170.105907079,35,J,South Africa,ZA,Gauteng,admin,3435000,2026469
Cape Town,261802.66083752678,6243076.153260235,34,H,South Africa,ZA,Western Cape,primary,3215000,2432858
Benoni,631029.8998642742,7102518.462199606,35,J,South Africa,ZA,Gauteng,,2986000,605344
Durban,309631.4099794929,6695330.356102413,36,J,South Africa,ZA,KwaZulu-Natal,,2729000,2729000
Pretoria,623349.5049495345,7156195.493908599,35,J,South Africa,ZA,Gauteng,primary,1338000,1338000
Vereeniging,592154.444621869,7049433.083885513,35,J,South Africa,ZA,Gauteng,,1074000,474681
Port Elizabeth,367816.70598860667,6246016.770866022,35,H,South Africa,ZA,Eastern Cape,,1021000,640054
Pietermaritzburg,247534.26479441268,6720836.745686462,36,J,South Africa,ZA,KwaZulu-Natal,admin,750845,490951
Bloemfontein,423532.05019023304,6778346.035461739,35,J,South Africa,ZA,Free State,primary,463064,456669
Welkom,471149.67079905316,6904264.854534093,35,J,South Africa,ZA,Free State,,431944,126079
Nelspruit,295953.37282951566,7180956.957650662,36,J,South Africa,ZA,Mpumalanga,admin,348138,21540
East London,585003.8504534415,6347120.140927948,35,H,South Africa,ZA,Eastern Cape,,338627,338627
Thohoyandou,242094.95431531448,7460289.897790033,36,K,South Africa,ZA,Limpopo,,269707,44046
Springs,646973.5244105294,7094867.1202734355,35,J,South Africa,ZA,Gauteng,,236083,186394
Uitenhage,351548.9181419506,6263569.584755768,35,H,South Africa,ZA,Eastern Cape,,228912,206766
Polokwane,751347.0750474539,7354152.99841693,35,K,South Africa,ZA,Limpopo,admin,220045,123749
Paarl,312420.32581689977,6265520.13697391,34,H,South Africa,ZA,Western Cape,,187865,131718
Klerksdorp,466890.2101281213,7029899.273176155,35,J,South Africa,ZA,North West,,178921,147804
George,635051.3693008178,6240983.965715224,34,H,South Africa,ZA,Western Cape,,174582,113248
Rustenburg,524294.5273642702,7161108.493590559,35,J,South Africa,ZA,North West,,165976,124064
Kimberley,281460.2692052698,6819624.724272104,35,J,South Africa,ZA,Northern Cape,admin,165264,142089
Bhisho,541377.7380113094,6365564.336900061,35,H,South Africa,ZA,Eastern Cape,admin,160997,137287
Middelburg,747189.1335284375,7146912.2761842385,35,J,South Africa,ZA,Mpumalanga,,154706,93790
Vryheid,282378.8136616973,6926374.029207312,36,J,South Africa,ZA,KwaZulu-Natal,,150012,66717
Umtata,669309.1340970682,6503745.9530031085,35,J,South Africa,ZA,Eastern Cape,,137772,78663
Worcester,356126.8733346164,6275957.725301789,34,H,South Africa,ZA,Western Cape,,127597,90803
