city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Geneva,279954.9112686004,5119734.519162901,32,T,Switzerland,CH,Genève,admin,1240000,192385
Zürich,466023.2722385277,5246009.957784537,32,T,Switzerland,CH,Zürich,admin,1108000,341730
Basel,392668.32287887594,5268205.8303624755,32,T,Switzerland,CH,Basel-Stadt,admin,830000,170635
Bern,383247.263811975,5197044.823935827,32,T,Switzerland,CH,Bern,primary,275329,121631
Lausanne,321070.98107593355,5155952.213989232,32,T,Switzerland,CH,Vaud,admin,265702,116751
Lucerne,444334.7882532814,5214685.563474527,32,T,Switzerland,CH,Luzern,admin,250000,77491
Lugano,496560.72195393854,5095079.412958514,32,T,Switzerland,CH,Ticino,,105388,26365
Sankt Fiden,530047.5586574867,5253207.23779435,32,T,Switzerland,CH,Sankt Gallen,,70572,70572
Chur,540166.1480425812,5189380.553380282,32,T,Switzerland,CH,Graubünden,admin,38293,32429
Schaffhausen,472608.44775352057,5282723.588137291,32,T,Switzerland,CH,Schaffhausen,admin,33863,33863
Fribourg,359181.35461416934,5184116.781119409,32,T,Switzerland,CH,Fribourg,admin,32827,32827
Neuchâtel,342612.90553029743,5206475.557682327,32,T,Switzerland,CH,Neuchâtel,admin,31270,31270
Tripon,370380.00646092056,5125515.490160648,32,T,Switzerland,CH,Valais,,28045,28045
Zug,463431.6984704225,5224437.860272852,32,T,Switzerland,CH,Zug,admin,23435,23435
Frauenfeld,492462.1864934896,5267395.01995767,32,T,Switzerland,CH,Thurgau,,21979,21979
Bellinzona,501908.0893532691,5115703.109221183,32,T,Switzerland,CH,Ticino,,16572,16572
Aarau,428480.33566336264,5248897.515048271,32,T,Switzerland,CH,Aargau,admin,15501,15501
Herisau,520520.2600113305,5247730.537672566,32,T,Switzerland,CH,Appenzell Ausserrhoden,,15438,15438
Solothurn,387660.5506535151,5229195.930748979,32,T,Switzerland,CH,Solothurn,admin,14853,14853
Schwyz,473869.31978113565,5208317.254035585,32,T,Switzerland,CH,Schwyz,admin,14177,14177
Liestal,405298.8300885924,5259581.618891728,32,T,Switzerland,CH,Basel-Landschaft,admin,12832,12832
Delémont,373834.24181078665,5247239.050809137,32,T,Switzerland,CH,Jura,admin,11315,11315
Sarnen,442924.91312918713,5194158.393549219,32,T,Switzerland,CH,Obwalden,admin,9410,9410
Altdorf,472905.7451436262,5191937.350725751,32,T,Switzerland,CH,Uri,admin,8678,8678
Stansstad,449805.7594606065,5202854.001410464,32,T,Switzerland,CH,Nidwalden,,7475,7475
Glarus,505168.5593847328,5209674.76922621,32,T,Switzerland,CH,Glarus,admin,5681,5681
Appenzell,530952.2806036435,5241741.974260825,32,T,Switzerland,CH,Appenzell Innerrhoden,admin,5649,5649
Saignelégier,348269.45126231905,5235500.740945339,32,T,Switzerland,CH,Jura,minor,,
Affoltern am Albis,458667.5541683309,5236561.11905549,32,T,Switzerland,CH,Zürich,minor,,
Cully,325791.9328948238,5150806.692907909,32,T,Switzerland,CH,Vaud,minor,,
Romont,340825.4832135854,5173541.293155222,32,T,Switzerland,CH,Fribourg,minor,,
Aarberg,368855.9398119267,5211481.611658549,32,T,Switzerland,CH,Bern,minor,,
Scuol,599660.6377020715,5183406.722271932,32,T,Switzerland,CH,Graubünden,minor,,
Fleurier,315852.47818760015,5197252.396910646,32,T,Switzerland,CH,Neuchâtel,minor,,
Unterkulm,433010.1965523567,5239992.851315319,32,T,Switzerland,CH,Aargau,minor,,
Stans,451768.9851246435,5200697.378965183,32,T,Switzerland,CH,Nidwalden,admin,,
