city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Aleppo,334684.3191018591,4007836.5068298867,37,S,Syria,SY,Ḩalab,admin,2738000,1602264
Damascus,247166.51294582378,3711425.698478863,37,S,Syria,SY,Dimashq,primary,2466000,2466000
Homs,291548.1804629988,3845108.815026458,37,S,Syria,SY,Ḩimş,admin,1005000,775404
Al Kuraydīyah,748963.705733968,3939566.212628481,36,S,Syria,SY,Al Lādhiqīyah,,539147,340181
Dūmā,258915.79711650094,3717696.7120963177,37,S,Syria,SY,Rīf Dimashq,minor,496145,317679
Ḩamāh,295709.4748182551,3889959.1910320977,37,S,Syria,SY,Ḩamāh,admin,460602,418990
Dayr az Zawr,603769.6116201701,3910669.257327705,37,S,Syria,SY,Dayr az Zawr,admin,309141,242565
Ar Raqqah,500710.5381893664,3978716.5492754164,37,S,Syria,SY,Ar Raqqah,admin,177636,173565
Ţarţūs,763799.7751310762,3864539.007074129,36,S,Syria,SY,Ţarţūs,admin,162980,115769
Dar‘ā,228086.6775075007,3612746.833016139,37,S,Syria,SY,Dar‘ā,admin,146481,97969
Idlib,286546.0437052337,3978839.9207126633,37,S,Syria,SY,Idlib,admin,128840,102731
Al Ḩasakah,656519.5623700031,4041091.0390155353,37,S,Syria,SY,Al Ḩasakah,admin,128100,81539
Manbij,406442.9951835918,4043038.812732801,37,S,Syria,SY,Ḩalab,minor,120169,68888
Al Qāmishlī,698421.3390923697,4102986.577686169,37,S,Syria,SY,Al Ḩasakah,minor,104107,104107
Ath Thawrah,459049.7198595988,3965690.193899284,37,S,Syria,SY,Ar Raqqah,minor,87880,83300
Ālbū Kamāl,676240.856814183,3813973.2732888055,37,S,Syria,SY,Dayr az Zawr,minor,80808,57572
As Suwaydā’,272182.88820157666,3621634.7853223756,37,S,Syria,SY,As Suwaydā’,admin,72248,59052
Tadmur,434319.38613471325,3824749.3423069916,37,S,Syria,SY,Ḩimş,minor,55111,51015
An Nabk,290268.7035502195,3767147.0386988563,37,S,Syria,SY,Rīf Dimashq,minor,50178,49372
I‘zāz,325218.9272345799,4050793.3681534925,37,S,Syria,SY,Ḩalab,minor,31534,31534
Al Qunayţirah,763531.3710458158,3668800.986943816,36,S,Syria,SY,Al Qunayţirah,admin,4318,153
Al Ḩāḑir,324296.70045427606,3984622.794837981,37,S,Syria,SY,Ḩalab,minor,,
Mas‘adah,756792.0861174492,3680395.7346958998,36,S,Syria,SY,Al Qunayţirah,minor,,
Kafr Nubl,279406.18295278976,3943841.6485820445,37,S,Syria,SY,Idlib,minor,,
Jubb Ramlah,266149.47815932287,3899269.4794954634,37,S,Syria,SY,Ḩamāh,minor,,
Al Mayādīn,632428.1766432143,3876203.677244731,37,S,Syria,SY,Dayr az Zawr,minor,,
Jubb al Jarrāḩ,346743.6903309921,3855964.0605111686,37,S,Syria,SY,Ḩimş,minor,,
Ash Shaddādah,656245.6470136887,3991725.788325836,37,S,Syria,SY,Al Ḩasakah,minor,,
Khirbat Tīn Nūr,276202.85477762134,3842627.969338378,37,S,Syria,SY,Ḩimş,minor,,
Şlinfah,245221.12830419128,3943027.7786378325,37,S,Syria,SY,Al Lādhiqīyah,minor,,
Ḩarastā,255392.75258781493,3716336.7858671886,37,S,Syria,SY,Rīf Dimashq,minor,,
Al Atārib,304301.4412846059,4001550.9761574105,37,S,Syria,SY,Ḩalab,minor,,
Ḩimmīn,229535.51843735995,3865992.1085508796,37,S,Syria,SY,Ţarţūs,minor,,
Bāniyās,768517.9797117872,3897196.4802034013,36,S,Syria,SY,Ţarţūs,minor,,
Brummānat al Mashāyikh,241856.89355315774,3878790.752029193,37,S,Syria,SY,Ţarţūs,minor,,
‘Āmūdā,671498.1798485173,4108170.9347917107,37,S,Syria,SY,Al Ḩasakah,minor,,
Al Buşayrah,629987.6184765379,3891295.461308301,37,S,Syria,SY,Dayr az Zawr,minor,,
Ad Dīmās,230173.70350641268,3720197.6541398233,37,S,Syria,SY,Rīf Dimashq,minor,,
Tall Abyaḑ,495874.9893931015,4061203.543638268,37,S,Syria,SY,Ar Raqqah,minor,,
Nawá,223087.1501158123,3643027.620251271,37,S,Syria,SY,Dar‘ā,minor,,
Babīlā,251948.61543997042,3706693.285504001,37,S,Syria,SY,Rīf Dimashq,minor,,
Al Qaḩţānīyah,726464.4548829163,4101120.889944113,37,S,Syria,SY,Al Ḩasakah,minor,,
Banān,346936.28333958564,3982350.5692512346,37,S,Syria,SY,Ḩalab,minor,,
Shaqqā,284547.3648974423,3642303.0125355646,37,S,Syria,SY,As Suwaydā’,minor,,
Khān Arnabah,769604.3852447907,3675386.1272509773,36,S,Syria,SY,Al Qunayţirah,minor,,
Khanāşir,364358.35389430716,3960763.1127155535,37,S,Syria,SY,Ḩalab,minor,,
Sulūk,511618.950553797,4050060.0571600827,37,S,Syria,SY,Ar Raqqah,minor,,
Hīsh,286394.78190854227,3936363.9864933933,37,S,Syria,SY,Idlib,minor,,
Arwād,761340.1546513744,3860806.1026801844,36,S,Syria,SY,Ţarţūs,minor,,
Sirghāyā,236912.25947797688,3744766.0859155813,37,S,Syria,SY,Rīf Dimashq,minor,,
Al Jawādīyah,750997.7468797426,4097104.2760341903,37,S,Syria,SY,Al Ḩasakah,minor,,
Al Bāriqīyah,246549.4724662692,3857608.812883365,37,S,Syria,SY,Ţarţūs,minor,,
Ḩarbinafsah,282856.2967504691,3868687.213736885,37,S,Syria,SY,Ḩamāh,minor,,
Darkūsh,265091.5575694849,3986166.6022534156,37,S,Syria,SY,Idlib,minor,,
Ar Rā‘ī,361187.59767566563,4052933.0294951154,37,S,Syria,SY,Ḩalab,minor,,
Jawbat Burghāl,243701.2039358872,3931049.6580350203,37,S,Syria,SY,Al Lādhiqīyah,minor,,
Tādif,368173.5732377708,4023564.9776665624,37,S,Syria,SY,Ḩalab,minor,,
Al Khafsah,412086.7086908831,4010025.377853404,37,S,Syria,SY,Ḩalab,minor,,
Latakia,752976.6755061706,3935588.5785514764,36,S,Syria,SY,Al Lādhiqīyah,admin,,
As Sūsah,679708.4228797106,3823071.114256885,37,S,Syria,SY,Dayr az Zawr,minor,,
Aş Şuwar,650705.963813188,3930467.230761401,37,S,Syria,SY,Dayr az Zawr,minor,,
Şirrīn ash Shamālīyah,437192.35591205076,4049441.3343193675,37,S,Syria,SY,Ḩalab,minor,,
‘Irbīn,255443.28751842963,3713949.2687070076,37,S,Syria,SY,Rīf Dimashq,minor,,
Ad Darbāsīyah,646853.1264371539,4104223.9173169774,37,S,Syria,SY,Al Ḩasakah,minor,,
Dārayyā,242782.63803792623,3705527.4186545317,37,S,Syria,SY,Rīf Dimashq,minor,,
Al Qaryatayn,337957.5114673926,3789009.544196854,37,S,Syria,SY,Ḩimş,minor,,
Taftanāz,300419.16099379153,3986029.650962062,37,S,Syria,SY,Idlib,minor,,
Jaramānā,253421.08839119514,3708341.889768676,37,S,Syria,SY,Rīf Dimashq,minor,,
Al Kiswah,243355.9655181884,3694385.087269015,37,S,Syria,SY,Rīf Dimashq,minor,,
Al Qurayyā,274415.5870346575,3603211.037340069,37,S,Syria,SY,As Suwaydā’,minor,,
Ash Shaykh Badr,233798.24533130293,3876014.767596974,37,S,Syria,SY,Ţarţūs,minor,,
Al Mushannaf,291493.8457887662,3624578.4275825676,37,S,Syria,SY,As Suwaydā’,minor,,
Ar Rastan,292875.7331792711,3867258.751440148,37,S,Syria,SY,Ḩimş,minor,,
Mahīn,321196.5712284383,3790658.3508520923,37,S,Syria,SY,Ḩimş,minor,,
Sa‘sa‘,222410.0761784318,3686512.039358878,37,S,Syria,SY,Rīf Dimashq,minor,,
Tall aḑ Ḑamān,342228.21049205586,3964032.907423298,37,S,Syria,SY,Ḩalab,minor,,
Bulbul,305406.9030971793,4071516.671095976,37,S,Syria,SY,Ḩalab,minor,,
Tall Ḩamīs,714187.5663180319,4070576.80455212,37,S,Syria,SY,Al Ḩasakah,minor,,
Khān Shaykhūn,286784.6476878278,3924605.5385225057,37,S,Syria,SY,Idlib,minor,,
Nubl,319966.1695085883,4027820.2000563154,37,S,Syria,SY,Ḩalab,minor,,
Hajīn,667744.4286908082,3840756.0580663937,37,S,Syria,SY,Dayr az Zawr,minor,,
Al Furqlus,324633.66028569406,3831056.5000903043,37,S,Syria,SY,Ḩimş,minor,,
Ash Shajarah,769958.2102654058,3629922.148901065,36,S,Syria,SY,Dar‘ā,minor,,
Dayr ‘Aţīyah,294082.19801376417,3774984.296805093,37,S,Syria,SY,Rīf Dimashq,minor,,
Bi’r al Ḩulw al Wardīyah,681818.2186551148,4063184.483771703,37,S,Syria,SY,Al Ḩasakah,minor,,
As Safīrah,353454.93188436143,3993710.311780465,37,S,Syria,SY,Ḩalab,minor,,
Aş Şanamayn,237032.97811029246,3662782.4302596487,37,S,Syria,SY,Dar‘ā,minor,,
Armanāz,275173.2905982006,3996046.5058049685,37,S,Syria,SY,Idlib,minor,,
Arīḩā,284037.2570100872,3965927.121641408,37,S,Syria,SY,Idlib,minor,,
Şadad,309124.4799419703,3798752.4159918334,37,S,Syria,SY,Ḩimş,minor,,
As Sabkhah,523730.59722494957,3963108.3652599193,37,S,Syria,SY,Ar Raqqah,minor,,
As Si‘in,352097.9967354201,3903504.723081375,37,S,Syria,SY,Ḩamāh,minor,,
Sarāqib,301898.678052891,3971139.126552066,37,S,Syria,SY,Idlib,minor,,
‘Ayn al Bayḑā,761514.5676841969,3949638.3543910664,36,S,Syria,SY,Al Lādhiqīyah,minor,,
Abū az̧ Z̧uhūr,323196.06680434267,3956938.3258029306,37,S,Syria,SY,Idlib,minor,,
Al Fākhūrah,228741.11445261014,3932435.235783948,37,S,Syria,SY,Al Lādhiqīyah,minor,,
Shaţḩah,250013.08011499178,3932551.2145736734,37,S,Syria,SY,Ḩamāh,minor,,
‘Assāl al Ward,260770.05785605666,3750144.622786508,37,S,Syria,SY,Rīf Dimashq,minor,,
Rājū,291269.69819116546,4061470.4694482763,37,S,Syria,SY,Ḩalab,minor,,
