city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Tanmei,356906.809151734,2771869.8554689465,51,R,Taiwan,TW,Taipei,,6900273,2618772
Kaohsiung,223821.93183613324,2503531.760752398,51,Q,Taiwan,TW,Kaohsiung,admin,2769072,1519711
Taiping,268217.1767462655,2670348.9368789564,51,R,Taiwan,TW,Taichung,,2629323,1040725
Tainan,214320.02407914773,2545219.919969668,51,Q,Taiwan,TW,Tainan,admin,1876312,762000
Zhongcuo,321659.76069255295,2762417.6189871556,51,R,Taiwan,TW,Taoyuan,,1632616,369770
Shangzhuwei,244761.1304454197,2662718.766715781,51,R,Taiwan,TW,Changhua,,750000,236588
Hsinchu,294660.4209364723,2744729.643450613,51,R,Taiwan,TW,Hsinchu,admin,750000,415557
Pingtung,241903.47566329324,2509321.1083277264,51,Q,Taiwan,TW,Pingtung,admin,503530,215975
Chiayi,239431.00980492085,2598877.2530370313,51,Q,Taiwan,TW,Chiayi,admin,500000,274212
Keelung,373171.0322800358,2779740.2842578283,51,R,Taiwan,TW,Keelung,admin,500000,387207
Taoyuan,330310.45520832745,2764848.157674325,51,R,Taiwan,TW,Taoyuan,admin,500000,402014
Hualien,358021.7552921959,2652376.6628174065,51,Q,Taiwan,TW,Hualien,admin,350468,108658
Pingzhen,318650.63062992255,2757594.995267002,51,R,Taiwan,TW,Taoyuan,,201632,201632
Zhubei,298676.7656958616,2748517.426538911,51,R,Taiwan,TW,Hsinchu,admin,200000,148006
Taitung,309494.48022201797,2518136.121268353,51,Q,Taiwan,TW,Taitung,admin,175000,109584
Xiaoyangmei,312764.8063277034,2754011.8997706617,51,R,Taiwan,TW,Taoyuan,,175000,150022
Bade,326695.50063250435,2758270.3816913003,51,R,Taiwan,TW,Taoyuan,,172065,172065
Zhuangtou,265901.7033645837,2648752.4172191676,51,Q,Taiwan,TW,Nantou,,165000,103698
Xiaoji,279847.89727873204,2723402.982892095,51,R,Taiwan,TW,Miaoli,,150000,90988
Yilan,373912.7229291203,2738615.796836442,51,R,Taiwan,TW,Yilan,admin,150000,95831
Douliu,249519.66931825853,2624218.6855259147,51,Q,Taiwan,TW,Yunlin,admin,106653,104723
Magong,762323.3800728964,2608969.87115985,50,Q,Taiwan,TW,Penghu,admin,56435,56435
Pozi,218478.52695802512,2597688.7475267844,51,Q,Taiwan,TW,Chiayi,,50000,44084
Taibao,227468.37162963528,2596908.645132063,51,Q,Taiwan,TW,Chiayi,admin,35000,34330
Nantou,264483.23201779294,2645733.378168301,51,Q,Taiwan,TW,Nantou,admin,,
Nangan,793215.5050587615,2895648.225845456,50,R,Taiwan,TW,Lienchiang,admin,,
Taipei,351895.8589912361,2771039.970614029,51,R,Taiwan,TW,Taipei,primary,,
Miaoli,279584.08138572425,2718442.305731902,51,R,Taiwan,TW,Miaoli,admin,,
Banqiao,345330.61700101447,2767402.3647201606,51,R,Taiwan,TW,New Taipei,admin,,
Changhua,249719.6655517046,2664613.4397215415,51,R,Taiwan,TW,Changhua,admin,,
Taichung,264652.2193344346,2672437.1834587473,51,R,Taiwan,TW,Taichung,admin,,
Jincheng,633520.0214635753,2702928.9115332183,50,R,Taiwan,TW,Kinmen,admin,,
