city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Kiev,323641.951382603,5589759.5239136135,36,U,Ukraine,UA,"Kyyiv, Misto",primary,2709000,1662508
Kharkiv,303044.9878772384,5540114.967299677,37,U,Ukraine,UA,Kharkivs’ka Oblast’,admin,1461000,1215127
Dnipro,650715.4310282439,5369358.660829519,36,U,Ukraine,UA,Dnipropetrovs’ka Oblast’,admin,1050000,848849
Odesa,326362.2913899055,5148080.641998948,36,T,Ukraine,UA,Odes’ka Oblast’,admin,991000,704001
Donets’k,408675.7393207471,5316098.63106634,37,T,Ukraine,UA,Donets’ka Oblast’,admin,988000,760275
L’viv,286494.5672983163,5525145.133348474,35,U,Ukraine,UA,L’vivs’ka Oblast’,admin,803880,717803
Zaporizhzhya,663942.1323687943,5298938.482043952,36,T,Ukraine,UA,Zaporiz’ka Oblast’,admin,788000,413557
Kryvyy Rih,533918.7313582315,5306541.264405503,36,T,Ukraine,UA,Dnipropetrovs’ka Oblast’,,652380,490907
Mykolayiv,423728.7778266394,5201863.513190087,36,T,Ukraine,UA,Mykolayivs’ka Oblast’,admin,510840,194995
Mariupol’,388698.035180291,5217954.769040342,37,T,Ukraine,UA,Donets’ka Oblast’,,481626,351244
Luhans’k,523390.8907721768,5379376.67889518,37,U,Ukraine,UA,Luhans’ka Oblast’,admin,452000,365862
Khmel’nyts’kyy,499748.27205010934,5474325.667910492,35,U,Ukraine,UA,Khmel’nyts’ka Oblast’,admin,398346,245840
Horlivka,429836.55143411394,5354052.836689668,37,U,Ukraine,UA,Donets’ka Oblast’,,396885,278550
Sevastopol’,541466.9184206482,4937347.89159166,36,T,Ukraine,UA,"Sevastopol’, Misto",admin,379200,314465
Makiyivka,419941.39355423214,5322172.982652275,37,U,Ukraine,UA,Donets’ka Oblast’,,376610,261155
Simferopol’,587612.1985310703,4978794.434933025,36,T,Ukraine,UA,"Krym, Avtonomna Respublika",admin,358108,253657
Vinnytsya,607814.2948995248,5454388.320603968,35,U,Ukraine,UA,Vinnyts’ka Oblast’,admin,352115,347139
Kherson,470756.96895548794,5166988.055945048,36,T,Ukraine,UA,Khersons’ka Oblast’,admin,320477,236680
Poltava,611345.401430955,5494601.114544341,36,U,Ukraine,UA,Poltavs’ka Oblast’,admin,317847,286588
Chernihiv,380966.80906310974,5707436.209422456,36,U,Ukraine,UA,Chernihivs’ka Oblast’,admin,307684,279629
Chernivtsi,421401.0183928572,5349241.364503117,35,U,Ukraine,UA,Chernivets’ka Oblast’,admin,298251,236250
Cherkasy,431988.37679206085,5475518.736459405,36,U,Ukraine,UA,Cherkas’ka Oblast’,admin,297568,273821
