city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Montevideo,575794.2134024549,6142384.332514217,21,H,Uruguay,UY,Montevideo,primary,1513000,5324
Rivera,639212.2946107001,6580417.61537103,21,J,Uruguay,UY,Rivera,admin,200000,64465
Punta del Este,688677.1083282443,6130832.699958172,21,H,Uruguay,UY,Maldonado,,159000,9280
Salto,408085.3164524157,6527510.069935791,21,J,Uruguay,UY,Salto,admin,105690,99823
Paysandú,398761.3887585746,6423431.764438791,21,H,Uruguay,UY,Paysandú,admin,79016,73249
Melo,766510.6479119742,6414991.856628033,21,H,Uruguay,UY,Cerro Largo,admin,55494,51023
Maldonado,687307.1045837011,6136128.802404078,21,H,Uruguay,UY,Maldonado,admin,55478,48277
Tacuarembó,596536.2883130548,6490486.944552736,21,J,Uruguay,UY,Tacuarembó,admin,54277,51854
Mercedes,404132.2161205306,6320248.168629061,21,H,Uruguay,UY,Soriano,admin,42359,41544
Artigas,551231.555785405,6636769.393384319,21,J,Uruguay,UY,Artigas,admin,41909,22236
Minas,662183.0124285144,6194946.109147431,21,H,Uruguay,UY,Lavalleja,admin,41180,38025
San José,526342.3886589898,6200384.525997914,21,H,Uruguay,UY,San José,admin,36529,36395
Durazno,544310.4494934755,6306421.937458338,21,H,Uruguay,UY,Durazno,admin,34037,33926
Florida,572489.4652212333,6226970.202315327,21,H,Uruguay,UY,Florida,admin,32234,32234
Treinta y Tres,743826.7997354001,6319792.579537544,21,H,Uruguay,UY,Treinta y Tres,admin,27684,25653
Rocha,744889.3834500837,6181023.027108163,21,H,Uruguay,UY,Rocha,admin,26874,25515
Fray Bentos,378437.4077655642,6334438.786980327,21,H,Uruguay,UY,Río Negro,admin,23279,23279
Bella Unión,442360.3222100383,6652289.433728157,21,J,Uruguay,UY,Artigas,,22723,13171
Colonia del Sacramento,422734.9963957826,6187074.526812993,21,H,Uruguay,UY,Colonia,admin,21714,21714
Trinidad,509467.26336609886,6291397.561497441,21,H,Uruguay,UY,Flores,admin,21093,21093
Canelones,566284.9182408816,6179640.191640081,21,H,Uruguay,UY,Canelones,admin,19698,19698
Carmelo,381379.0869533737,6237901.281938182,21,H,Uruguay,UY,Colonia,,16921,13306
Santa Lucía,555980.4783734255,6187409.060887214,21,H,Uruguay,UY,Canelones,,16438,14091
Paso de los Toros,545244.3254919254,6368933.64626771,21,H,Uruguay,UY,Durazno,,13221,9679
Castillos,236739.56328778435,6212069.934153782,22,H,Uruguay,UY,Rocha,,7686,7686
Tranqueras,619087.2046725401,6547559.6947139185,21,J,Uruguay,UY,Rivera,,7474,2077
Lascano,758999.8280581401,6270669.441911841,21,H,Uruguay,UY,Rocha,,6976,3455
Vergara,224166.0214666496,6352241.122090902,22,H,Uruguay,UY,Treinta y Tres,,3998,3500
La Paloma,759516.2373271363,6160998.391288143,21,H,Uruguay,UY,Rocha,,3230,2564
Aiguá,706689.5175155641,6212840.050275389,21,H,Uruguay,UY,Maldonado,,2692,2552
Baltasar Brum,468790.8477470636,6601488.5779211745,21,J,Uruguay,UY,Artigas,,2517,2347
José Batlle y Ordóñez,675013.5563310613,6295389.837174849,21,H,Uruguay,UY,Lavalleja,,2438,2438
