city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Nueva Caracas,725649.2237640179,1161804.059978085,19,P,Venezuela,VE,Distrito Capital,,2985000,1815679
Maracaibo,214197.48777736776,1180325.928807536,19,P,Venezuela,VE,Zulia,admin,2072000,1457300
Valencia,608708.1442766509,1123492.4078777935,19,P,Venezuela,VE,Carabobo,admin,1770000,1369053
Barquisimeto,464632.82521784026,1113599.3631837582,19,P,Venezuela,VE,Lara,admin,1116000,809490
Maracay,654308.3074789427,1131770.9651309364,19,P,Venezuela,VE,Aragua,admin,1007000,1007000
Ciudad Guayana,539524.6274924185,923144.6360543362,20,P,Venezuela,VE,Bolívar,,746535,522100
Barcelona,315255.10989708686,1120955.134807609,20,P,Venezuela,VE,Anzoátegui,admin,600954,121906
Cabimas,232842.72206148104,1149368.8966021733,19,P,Venezuela,VE,Zulia,,441094,200818
San Cristóbal,806089.9932710177,859535.6256857695,18,N,Venezuela,VE,Táchira,admin,438798,246583
Maturín,481318.0438482643,1077348.3110391924,20,P,Venezuela,VE,Monagas,admin,410972,304443
Ciudad Bolívar,440416.2835248373,898624.6827524191,20,P,Venezuela,VE,Bolívar,admin,338000,297943
Cumaná,371129.74295878,1156904.3461867669,20,P,Venezuela,VE,Sucre,admin,317603,257783
Maiquetía,723763.5477138663,1172066.923949586,19,P,Venezuela,VE,Vargas,,315442,52564
Los Teques,714260.8523902707,1144156.2040657527,19,P,Venezuela,VE,Miranda,admin,303470,303470
Alto Barinas,365076.9014317001,950083.2178630866,19,P,Venezuela,VE,Barinas,,284289,238522
Acarigua,478530.244769605,1056164.7226888083,19,P,Venezuela,VE,Portuguesa,,260921,143704
Punto Fijo,369261.952668288,1293171.2829424995,19,P,Venezuela,VE,Falcón,,234736,131784
El Tigre,363056.4692745218,982646.1601868694,20,P,Venezuela,VE,Anzoátegui,,197440,150999
Porlamar,407229.24360358133,1211462.1697592717,20,P,Venezuela,VE,Nueva Esparta,,196934,87120
Coro,426530.95029286295,1260791.2778635141,19,P,Venezuela,VE,Falcón,admin,195227,172969
Valera,323875.30050559866,1030384.273023701,19,P,Venezuela,VE,Trujillo,,191167,93756
Ocumare del Tuy,743700.8301552117,1119122.6981756205,19,P,Venezuela,VE,Miranda,,166072,95576
Guanare,418444.8746791091,999559.3494217508,19,P,Venezuela,VE,Portuguesa,admin,151642,112286
Carora,381393.59147182864,1125019.3590372456,19,P,Venezuela,VE,Lara,,149711,93788
Carúpano Arriba,476395.51832208753,1176907.9589073672,20,P,Venezuela,VE,Sucre,,126293,112082
San Fernando,668409.4977929485,872203.9277138384,19,N,Venezuela,VE,Apure,admin,122701,78779
Anaco,338056.2510464841,1042394.9485169566,20,P,Venezuela,VE,Anzoátegui,,117596,82640
Calabozo,672699.9753858082,986835.0436604866,19,P,Venezuela,VE,Guárico,,117132,104682
San Carlos del Zulia,179631.7568949663,996130.4370851466,19,P,Venezuela,VE,Zulia,,97288,56582
Valle de La Pascua,828881.1375124834,1020058.0577626165,19,P,Venezuela,VE,Guárico,,89080,83467
San Juan de los Morros,680487.1409524789,1096076.5762578412,19,P,Venezuela,VE,Guárico,admin,87739,87739
San Carlos,545783.029790296,1067986.461059048,19,P,Venezuela,VE,Cojedes,admin,77192,77192
San Felipe,528194.5035674038,1143006.3404877817,19,P,Venezuela,VE,Yaracuy,admin,76766,76766
Machiques,769081.6275953194,1113545.5496236489,18,P,Venezuela,VE,Zulia,,62968,26905
Upata,566241.728921107,885298.2241117286,20,P,Venezuela,VE,Bolívar,,53685,53264
Puerto Ayacucho,655325.3124601832,624702.2372301188,19,N,Venezuela,VE,Amazonas,admin,52526,50719
Tucupita,604406.1637512193,1001406.975856441,20,P,Venezuela,VE,Delta Amacuro,admin,51534,47874
Trujillo,342205.8620321341,1035620.1181019791,19,P,Venezuela,VE,Trujillo,admin,50353,38110
Zaraza,244686.57951906114,1034420.9860319692,20,P,Venezuela,VE,Guárico,,41483,29076
Altagracia de Orituco,787204.7254466764,1091063.4361665163,19,P,Venezuela,VE,Guárico,,40052,28802
La Asunción,405671.78779091773,1219745.616734659,20,P,Venezuela,VE,Nueva Esparta,admin,35084,35084
Santa Rita,224536.88636286586,1166009.91356657,19,P,Venezuela,VE,Zulia,,31810,10380
Guasdalito,308731.6458652953,800910.980371891,19,N,Venezuela,VE,Apure,,30860,25715
Chaguarama,417367.53937474097,1018770.4615650943,20,P,Venezuela,VE,Anzoátegui,,15000,10000
El Dorado,651047.8669117698,744481.1669490376,20,N,Venezuela,VE,Bolívar,,2383,2383
El Manteco,550646.1514356211,812457.656769662,20,N,Venezuela,VE,Bolívar,,2215,2215
Esmeralda,216585.5839836732,350363.9930354951,20,N,Venezuela,VE,Amazonas,,150,149
La Guaira,726477.927613252,1172549.1028524118,19,P,Venezuela,VE,Vargas,admin,,
Barinas,367135.81200775923,953339.2251165718,19,P,Venezuela,VE,Barinas,admin,,
Caracas,732125.5671646702,1160151.786817252,19,P,Venezuela,VE,Distrito Capital,primary,,
Mérida,262698.38797656447,950160.5978402718,19,P,Venezuela,VE,Mérida,admin,,
