city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Ho Chi Minh City,685971.4905456437,1191791.8649007033,48,P,Vietnam,VN,Hồ Chí Minh,admin,5314000,3467331
Hanoi,588756.7964673009,2325502.3684426304,48,Q,Vietnam,VN,Hà Nội,primary,4378000,1431270
Haiphong,675134.8496411899,2308102.1288080416,48,Q,Vietnam,VN,Hải Phòng,admin,1969000,602695
Cần Thơ,586381.3078266004,1109618.5204082713,48,P,Vietnam,VN,Cần Thơ,admin,1121000,259598
Đà Nẵng,202998.60225115775,1779203.3975531913,49,Q,Vietnam,VN,Đà Nẵng,admin,1000000,887069
Huế,777125.3025707426,1821808.9740194664,48,Q,Vietnam,VN,Thừa Thiên-Huế,admin,950000,340000
Quy Nhơn,308484.2804208471,1522872.6167480075,49,P,Vietnam,VN,Bình Định,admin,805290,280900
Hiệp Hòa,700357.1577938842,1209216.17583611,48,P,Vietnam,VN,Đồng Nai,,652646,652646
Phú Vinh,573800.1918375636,2069622.4260001883,48,Q,Vietnam,VN,Nghệ An,,593645,435208
Thành Phố Thái Nguyên,587798.2623739919,2388153.084341719,48,Q,Vietnam,VN,Thái Nguyên,admin,500000,330000
Nha Trang,303591.46656462457,1354643.7923200254,49,P,Vietnam,VN,Khánh Hòa,admin,411556,283441
Cà Mau,516745.0042732207,1014404.2182996756,48,P,Vietnam,VN,Cà Mau,admin,356636,204895
Việt Trì,541687.1952989311,2357920.0132271326,48,Q,Vietnam,VN,Phú Thọ,admin,350000,260288
Long Xuyên,547636.562631816,1148166.467955589,48,P,Vietnam,VN,An Giang,admin,350000,158153
Buôn Ma Thuột,178854.9306701175,1402925.381183506,49,P,Vietnam,VN,Đắk Lắk,admin,349945,146975
Phan Thiết,183218.0052514476,1209636.3647243062,49,P,Vietnam,VN,Bình Thuận,admin,336846,160652
Xóm Rạch Giồng,507305.65944578283,1109098.6493442405,48,P,Vietnam,VN,Kiến Giang,,300000,205660
Sóc Trăng,606651.953403843,1061332.5031186596,48,P,Vietnam,VN,Sóc Trăng,admin,300000,173922
Đà Lạt,221484.6955778704,1320749.7320651046,49,P,Vietnam,VN,Lâm Đồng,admin,256019,131377
Quảng Ngãi,262740.0300784625,1672843.0121410543,49,P,Vietnam,VN,Quảng Ngãi,admin,250000,119251
Vũng Tàu,726297.0567690879,1144843.6180165329,48,P,Vietnam,VN,Bà Rịa-Vũng Tàu,admin,248767,209683
Thủ Dầu Một,680495.7125570569,1214307.5153249153,48,P,Vietnam,VN,Bình Dương,admin,244277,244277
Thành Phố Nam Định,622815.9096583343,2259936.880851605,48,Q,Vietnam,VN,Nam Định,admin,243186,243186
Thành phố Bạc Liêu,579927.8299222792,1027453.8330594434,48,P,Vietnam,VN,Bạc Liêu,admin,225000,150000
Thành Phố Thái Bình,639779.9519243126,2261850.7556530414,48,Q,Vietnam,VN,Thái Bình,admin,210000,210000
Tinh Xa,582045.7013948123,2189539.545939445,48,Q,Vietnam,VN,Thanh Hóa,,197551,197551
Sơn Vi,555386.075575902,2335152.454698906,48,Q,Vietnam,VN,Hà Nội,,189547,40636
Động Hỏi,673409.0258285523,1935612.2930259607,48,Q,Vietnam,VN,Quảng Bình,,189265,31040
Phan Rang-Tháp Chàm,280651.6983322896,1279149.259365307,49,P,Vietnam,VN,Ninh Thuận,admin,179773,91520
Hà Tĩnh,595695.4860760417,2028352.5271292198,48,Q,Vietnam,VN,Hà Tĩnh,admin,165396,165396
Cao Lãnh,569269.3225219952,1156360.7952008985,48,P,Vietnam,VN,Đồng Tháp,admin,149837,149837
Thành Phố Lạng Sơn,681980.9928987512,2417557.497092355,48,Q,Vietnam,VN,Lạng Sơn,admin,148000,148000
Cam Ranh,305767.83912752883,1316119.3217828912,49,P,Vietnam,VN,Khánh Hòa,,146771,23883
Plei Khưn,179430.71255845245,1544198.613912883,49,P,Vietnam,VN,Gia Lai,,142900,114225
Tân An,654684.9441427559,1165012.6600050372,48,P,Vietnam,VN,Long An,admin,137498,64801
Cẩm Phả Mines,739057.740310457,2325713.687907037,48,Q,Vietnam,VN,Quảng Ninh,,135477,16374
Trà Vinh,647140.8940374271,1099871.1802200254,48,P,Vietnam,VN,Trà Vinh,admin,131360,131360
Thành Phố Ninh Bình,602312.3817678393,2240344.28892866,48,Q,Vietnam,VN,Ninh Bình,admin,130517,130517
Tây Ninh,619859.4704097534,1250486.6987617859,48,P,Vietnam,VN,Tây Ninh,admin,126370,126370
Mỹ Hòa,651346.7630039052,1147630.0612971282,48,P,Vietnam,VN,Tiền Giang,,124143,122310
Kon Tum,821759.5793952928,1592203.958097334,48,P,Vietnam,VN,Kon Tum,,105489,47409
Thành Phố Hòa Bình,535128.0289858679,2301949.893727602,48,Q,Vietnam,VN,Hòa Bình,admin,105260,99502
An Long,603202.6681490464,1137015.7638332904,48,P,Vietnam,VN,Vĩnh Long,,103314,103314
Yên Bái,490826.2132343949,2402156.913725137,48,Q,Vietnam,VN,Yên Bái,admin,96540,96540
Quảng Trị,734531.7621970491,1853197.2417259952,48,Q,Vietnam,VN,Quảng Trị,,72722,72722
Châu Phong,514579.55516555166,1184654.6146640657,48,P,Vietnam,VN,An Giang,,70239,70239
Tuy Hòa,317966.6397808848,1448296.4495413739,49,P,Vietnam,VN,Phú Yên,admin,69596,69596
Lào Cai,394112.19616198546,2486936.485264147,48,Q,Vietnam,VN,Lào Cai,admin,67206,36502
Hàn Thượng,636894.1877915564,2317176.490993119,48,Q,Vietnam,VN,Hải Dương,,58030,58030
Bắc Giang,623932.4922652756,2352838.6543547343,48,Q,Vietnam,VN,Bắc Giang,admin,53728,53728
Nà Hoàng,628437.0173030349,2505315.3134629005,48,Q,Vietnam,VN,Cao Bằng,,41112,41112
Thành Phố Hà Giang,498314.25044854626,2523963.0889768447,48,Q,Vietnam,VN,Hà Giang,admin,38362,32690
Thành Phố Tuyên Quang,522141.3222870395,2413313.0106714177,48,Q,Vietnam,VN,Tuyên Quang,admin,36430,36430
Bắc Kạn,586082.892566561,2449335.365524813,48,Q,Vietnam,VN,Bắc Kạn,admin,29227,29227
Bản Lân,385928.8599126644,2359437.628795532,48,Q,Vietnam,VN,Sơn La,,19054,19054
Đông Hà,723870.1790554514,1860566.694952345,48,Q,Vietnam,VN,Quảng Trị,admin,17662,17662
Luân Châu,325903.669164378,2404258.3160745385,48,Q,Vietnam,VN,Điện Biên,,7335,7335
Kiến Đức,773421.9211695663,1326933.4463902845,48,P,Vietnam,VN,Đắk Nông,minor,,
Kẻ Sặt,619356.9064913921,2312621.80491339,48,Q,Vietnam,VN,Hải Dương,minor,,
Lộc Bình,698890.7325781644,2407360.2826316487,48,Q,Vietnam,VN,Lạng Sơn,minor,,
Phú Hòa,820608.4273040781,1560816.124162972,48,P,Vietnam,VN,Gia Lai,minor,,
Đại Nghĩa,577559.0541474986,2287649.247630408,48,Q,Vietnam,VN,Hà Nội,minor,,
Cẩm Xuyên,605856.167742735,2018166.8233584466,48,Q,Vietnam,VN,Hà Tĩnh,minor,,
Neo,629473.1555189193,2344845.3046507337,48,Q,Vietnam,VN,Bắc Giang,minor,,
Thị Trấn Hùng Quốc,635797.884815688,2525196.297722551,48,Q,Vietnam,VN,Cao Bằng,minor,,
Tam Đảo,563687.2659772488,2365793.826588737,48,Q,Vietnam,VN,Vĩnh Phúc,minor,,
Tân Thạnh,614548.7847061406,1172681.1089994663,48,P,Vietnam,VN,Long An,minor,,
Phố Mới,619572.3676020362,2339545.5110539305,48,Q,Vietnam,VN,Bắc Ninh,minor,,
Phát Diệm,613251.3667569016,2221868.0665381034,48,Q,Vietnam,VN,Ninh Bình,minor,,
Vũng Liêm,629893.7127335622,1116235.1138221747,48,P,Vietnam,VN,Vĩnh Long,minor,,
Triệu Sơn,563245.5200101866,2191579.2282862808,48,Q,Vietnam,VN,Thanh Hóa,minor,,
Quảng Phú,182715.01980330603,1418987.9788344337,49,P,Vietnam,VN,Đắk Lắk,minor,,
Rừng Thông,576743.0153364225,2191625.088628278,48,Q,Vietnam,VN,Thanh Hóa,minor,,
