city,utm easting,utm northing,zone number,zone letter,country,iso2,admin,capital,population,population_proper
Sanaa,414850.6494527431,1697716.5384926542,38,P,Yemen,YE,Amānat al ‘Āşimah,primary,2008000,1835853
Aden,503979.70159887266,1412745.7520595202,38,P,Yemen,YE,‘Adan,admin,1000000,550602
Al Ḩudaydah,279848.9831686316,1636967.302628908,38,P,Yemen,YE,Al Ḩudaydah,admin,780000,475221
Ta‘izz,394073.064117481,1501436.842922473,38,P,Yemen,YE,Ta‘izz,admin,751000,615222
Al Mukallā,297888.07973228104,1608554.3114028634,39,P,Yemen,YE,Ḩaḑramawt,admin,258132,130029
Ibb,411135.2072075743,1541329.5943795117,38,P,Yemen,YE,Ibb,admin,234837,234837
Ḩajjah,350597.20272917976,1735606.9290375751,38,P,Yemen,YE,Ḩajjah,admin,208287,43549
Dhamār,435913.76006220863,1607835.7725500057,38,P,Yemen,YE,Dhamār,admin,191259,191259
Zabīd,318186.4228302806,1569959.237493777,38,P,Yemen,YE,Al Ḩudaydah,minor,152504,52590
Say’ūn,263788.8803969933,1763917.1098151784,39,P,Yemen,YE,Ḩaḑramawt,minor,68747,68747
Laḩij,487200.74919548165,1443405.304899232,38,P,Yemen,YE,Laḩij,admin,66288,23375
Ash Shiḩr,349888.1282739602,1632275.2646308383,39,P,Yemen,YE,Ḩaḑramawt,minor,54274,54274
Radā‘,482439.13076911645,1593640.9808104457,38,P,Yemen,YE,Al Bayḑā’,minor,45233,45233
Al Bayḑā’,561853.2355832491,1546167.0881880156,38,P,Yemen,YE,Al Bayḑā’,admin,37821,37821
‘Ataq,697385.8506131958,1607982.9775774756,38,P,Yemen,YE,Shabwah,admin,37315,37315
Al Ghayz̧ah,625704.0264226599,1792289.0410009704,39,Q,Yemen,YE,Al Mahrah,admin,27404,20000
Ma’rib,534896.4011234017,1709339.5435248506,38,P,Yemen,YE,Ma’rib,admin,16794,16794
Ḩadībū,176519.10826235352,1400281.9320508642,40,P,Yemen,YE,Arkhabīl Suquţrá,admin,11396,8545
Sayḩūt,526373.1643314727,1681629.4647891892,39,P,Yemen,YE,Al Mahrah,minor,189,189
Bājil,315899.83445932774,1665564.9509094788,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Burūm,282136.1494385847,1588893.626607159,39,P,Yemen,YE,Ḩaḑramawt,minor,,
Ḩaydān,333068.0422617781,1855764.869641234,38,Q,Yemen,YE,Şa‘dah,minor,,
Kirsh,444826.15432166844,1477527.5615935598,38,P,Yemen,YE,Laḩij,minor,,
Ḑawrān ad Daydah,414603.44190976175,1629638.4121916522,38,P,Yemen,YE,Dhamār,minor,,
Bayḩān,577359.0580173457,1636403.273703628,38,P,Yemen,YE,Shabwah,minor,,
Ḩarīb,554153.8191532769,1650817.8983918226,38,P,Yemen,YE,Ma’rib,minor,,
Al Ghayl,465785.9775830667,1780879.0957652922,38,Q,Yemen,YE,Al Jawf,minor,,
Bayt al Faqīh,319445.6818729902,1605495.4924859144,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Jiblah,407815.56000929506,1539222.8416678638,38,P,Yemen,YE,Ibb,minor,,
Al Tuḩaytā’,308590.13317940466,1568753.3816873953,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Bayt as Sayyid,437257.82243972586,1714213.133214335,38,P,Yemen,YE,Şan‘ā’,minor,,
Al Ḩarjah,464146.21939012187,1712406.5963173439,38,P,Yemen,YE,Ma’rib,minor,,
Nişāb,660939.3430379072,1604371.8234620995,38,P,Yemen,YE,Shabwah,minor,,
Al Manşūrah,498010.6205177366,1421674.9250140092,38,P,Yemen,YE,‘Adan,minor,,
Al Manşūrīyah,316865.42493419844,1624241.3296857078,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Ḩūth,389764.748468376,1794780.1069162355,38,Q,Yemen,YE,‘Amrān,minor,,
Al Ḩuşūn,539357.6886026347,1710776.1575780853,38,P,Yemen,YE,Ma’rib,minor,,
As Suwaydā,524904.319872714,1524174.6249151037,38,P,Yemen,YE,Laḩij,minor,,
Al Misrākh,393968.98020461557,1488282.9907158182,38,P,Yemen,YE,Ta‘izz,minor,,
Ḩabābah,379426.4947487138,1718833.678079315,38,P,Yemen,YE,‘Amrān,minor,,
Madīnat Lab‘ūs,527013.263822554,1532994.543797548,38,P,Yemen,YE,Laḩij,minor,,
Al ‘Ayn,401672.48590726714,1473814.5838488403,38,P,Yemen,YE,Ta‘izz,minor,,
Ḩabūr,361684.0484238563,1775005.2041470595,38,Q,Yemen,YE,‘Amrān,minor,,
Al Qaflah,368380.601807981,1804616.5991297183,38,Q,Yemen,YE,‘Amrān,minor,,
Ḩabīl ar Raydah,483881.67957099003,1508404.3385324767,38,P,Yemen,YE,Laḩij,minor,,
Ḩadādah,421391.7443207452,1456640.9059691594,38,P,Yemen,YE,Laḩij,minor,,
Aş Şalw,415209.3557137562,1473638.462950943,38,P,Yemen,YE,Ta‘izz,minor,,
Bi’r Ḩāt,616430.3981574576,1915504.683209723,39,Q,Yemen,YE,Al Mahrah,minor,,
Al Ḩadīyah,345965.47208197217,1606424.3274536855,38,P,Yemen,YE,Raymah,minor,,
Mocha,310789.92794083664,1473072.6939928867,38,P,Yemen,YE,Ta‘izz,minor,,
Sharas,355264.8707326376,1737577.535343028,38,P,Yemen,YE,Ḩajjah,minor,,
Al Ḩajab,556915.5165180818,1642015.7013547076,38,P,Yemen,YE,Shabwah,minor,,
Rajūzah,437582.2884048011,1846521.728052972,38,Q,Yemen,YE,Al Jawf,minor,,
Al Qanāwiş,299859.5804969119,1713709.4407701308,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Al Jawl,206828.29475440073,1599923.8817102928,39,P,Yemen,YE,Ḩaḑramawt,minor,,
Mashra‘ah,391343.0912656771,1496230.6630134813,38,P,Yemen,YE,Ta‘izz,minor,,
Ash Shuqayrah,368454.0241397389,1452328.9247593419,38,P,Yemen,YE,Ta‘izz,minor,,
Bayt Marrān,414843.1022507544,1735150.1386591343,38,P,Yemen,YE,Şan‘ā’,minor,,
Kamarān,243354.03672500042,1696806.2086216863,38,P,Yemen,YE,Al Ḩudaydah,minor,,
As Sukhnah,331701.2849840161,1636136.657350065,38,P,Yemen,YE,Al Ḩudaydah,minor,,
‘Ubāl,343492.7602130105,1657521.9089293906,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Dhī Nā‘im,548365.3357442436,1559466.435173388,38,P,Yemen,YE,Al Bayḑā’,minor,,
Al Wuday‘,610031.575689184,1522754.9517337594,38,P,Yemen,YE,Abyan,minor,,
Al Madīd,443555.8063985363,1729685.5332339758,38,P,Yemen,YE,Şan‘ā’,minor,,
Bidbadah,467812.21717106015,1705356.1756858982,38,P,Yemen,YE,Ma’rib,minor,,
Māwiyah,429428.6906844634,1501697.2295554038,38,P,Yemen,YE,Ta‘izz,minor,,
Al Miftāḩ,335602.8096346103,1766700.7623326657,38,P,Yemen,YE,Ḩajjah,minor,,
Ad Dīs ash Sharqīyah,386899.470022071,1648462.1430260795,39,P,Yemen,YE,Ḩaḑramawt,minor,,
Banī Ḩujjāj,319644.1883310315,1705133.8938885056,38,P,Yemen,YE,Al Maḩwīt,minor,,
Mabyan,345398.0938177134,1740452.565856339,38,P,Yemen,YE,Ḩajjah,minor,,
Yarīm,432910.32475092076,1580778.0719193148,38,P,Yemen,YE,Ibb,minor,,
Al Munīrah,277759.9819224515,1695059.0401805502,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Ar Raḑmah,455395.6685822146,1572066.663025984,38,P,Yemen,YE,Ibb,minor,,
Zarājah,433160.96587903827,1643699.4955836772,38,P,Yemen,YE,Dhamār,minor,,
Al Bilād,317325.7585726585,1784963.572827366,39,Q,Yemen,YE,Ḩaḑramawt,minor,,
Aş Şawma‘ah,586472.8241236164,1557279.999511802,38,P,Yemen,YE,Al Bayḑā’,minor,,
Raydah,397280.84266072116,1748618.3767376258,38,P,Yemen,YE,‘Amrān,minor,,
Kuḩlān ‘Affār,362756.0826898441,1739827.3699219546,38,P,Yemen,YE,Ḩajjah,minor,,
Ma‘bar,423976.3487818257,1635656.2776761653,38,P,Yemen,YE,Dhamār,minor,,
Washḩah,330198.4779082425,1803638.2107388633,38,Q,Yemen,YE,Ḩajjah,minor,,
Al Malāḩīţ,316225.3593653962,1854740.9131206297,38,Q,Yemen,YE,Şa‘dah,minor,,
Riḩāb,412411.5317979432,1573052.154264146,38,P,Yemen,YE,Ibb,minor,,
Z̧almah al ‘Ulyā,402204.49084522075,1559228.18171146,38,P,Yemen,YE,Ibb,minor,,
Şīf,213288.16609458096,1694809.2640440767,39,P,Yemen,YE,Ḩaḑramawt,minor,,
Aslam,321083.05011792225,1776251.5745552627,38,Q,Yemen,YE,Ḩajjah,minor,,
Kushar,331175.63531467796,1786753.8877500428,38,Q,Yemen,YE,Ḩajjah,minor,,
Ad Dann,376291.07080812746,1586941.0172625768,38,P,Yemen,YE,Dhamār,minor,,
Aḑ Ḑāli‘,470952.5801446869,1514091.3219885917,38,P,Yemen,YE,Aḑ Ḑāli‘,admin,,
Az̧ Z̧alī‘ah,179167.90560055454,1662335.046501242,39,P,Yemen,YE,Ḩaḑramawt,minor,,
As Saddah,437547.64599411096,1561306.970598525,38,P,Yemen,YE,Ibb,minor,,
Ar Raḑā‘ī,434451.8398036684,1549699.1532531646,38,P,Yemen,YE,Ibb,minor,,
Madghil,504302.2536874587,1724534.3135342074,38,P,Yemen,YE,Ma’rib,minor,,
Al Musaymīr,458355.33198342606,1486257.0874858818,38,P,Yemen,YE,Laḩij,minor,,
Az Zāhir,446060.21175826003,1804103.399805619,38,Q,Yemen,YE,Al Jawf,minor,,
Qaryat ad Da‘īs,421689.32539158454,1546485.879870431,38,P,Yemen,YE,Ibb,minor,,
Al Jum‘ah,388577.7523928397,1629580.3592943337,38,P,Yemen,YE,Dhamār,minor,,
Tarīm,285921.61693177687,1776268.5511071028,39,Q,Yemen,YE,Ḩaḑramawt,minor,,
Al ‘Aqabah,477024.5608399984,1577795.5768818662,38,P,Yemen,YE,Al Bayḑā’,minor,,
Markaz al Marīr,348298.1490364452,1546160.2530734001,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Al Marāwi‘ah,301346.05345408944,1640418.7426816593,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Al Jurbah,517179.4356118961,1524673.3402494718,38,P,Yemen,YE,Laḩij,minor,,
Dār an Naşr,393569.86083560355,1499082.0408758104,38,P,Yemen,YE,Ta‘izz,minor,,
Ḩays,336123.3778544343,1540695.2915795548,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Al Ḩazm,476151.7344915843,1787095.3995045687,38,Q,Yemen,YE,Al Jawf,admin,,
‘Usaylān,589040.1343248356,1662033.6055256005,38,P,Yemen,YE,Shabwah,minor,,
Al ‘Awābil,485336.15983794717,1529763.8628215317,38,P,Yemen,YE,Aḑ Ḑāli‘,minor,,
Ḩabbān,723937.007599321,1587895.8027130705,38,P,Yemen,YE,Shabwah,minor,,
Āl Ma‘ūdah,541789.3385873784,1571047.4117915533,38,P,Yemen,YE,Al Bayḑā’,minor,,
Şuwayr,351389.03125357843,1789547.305108919,38,Q,Yemen,YE,‘Amrān,minor,,
Ḩişn Banī Sa‘d,444149.0447566087,1799197.3684360448,38,Q,Yemen,YE,Al Jawf,minor,,
Matwaḩ,354052.68302953837,1666252.0736249725,38,P,Yemen,YE,Şan‘ā’,minor,,
As Sarīr,465821.79330366,1518806.3994629462,38,P,Yemen,YE,Aḑ Ḑāli‘,minor,,
Al Ḩazm,565633.1728585347,1624038.367334865,38,P,Yemen,YE,Al Bayḑā’,minor,,
Aţ Ţalḩ,757790.7520048518,1676991.8077232237,38,P,Yemen,YE,Shabwah,minor,,
Sirār,533930.5431784018,1507689.6202629176,38,P,Yemen,YE,Abyan,minor,,
Jawl al Majma‘,718093.1717584224,1651885.793555926,38,P,Yemen,YE,Shabwah,minor,,
Sūq Sibāḩ,542398.324813524,1527229.7056838176,38,P,Yemen,YE,Abyan,minor,,
Raşad,532781.3377758407,1515913.0127098758,38,P,Yemen,YE,Abyan,minor,,
Al Jarrāḩī,326047.6492426016,1562981.7539750473,38,P,Yemen,YE,Al Ḩudaydah,minor,,
Ḩammām ‘Alī,408219.02991561056,1621304.5351994454,38,P,Yemen,YE,Dhamār,minor,,
Shahārat al Ghīs,361272.448774058,1789738.2763291376,38,Q,Yemen,YE,‘Amrān,minor,,
Thamūd,384865.8802637444,1913066.7320408458,39,Q,Yemen,YE,Ḩaḑramawt,minor,,
Al Maḩfid,706598.8865909006,1555030.8537160987,38,P,Yemen,YE,Abyan,minor,,
Sayyān,427426.83814720146,1677436.199093821,38,P,Yemen,YE,Şan‘ā’,minor,,
