city,x,y,country,iso2,admin,capital,population,population_proper
Kabul,7701453.40094148,4098390.5736432937,Afghanistan,AF,Kābul,primary,3277000,3043532
Kandahār,7314817.766281846,3712659.6036315653,Afghanistan,AF,Kandahār,admin,715542,512200
Jalālābād,7842628.445207037,4086211.0230043344,Afghanistan,AF,Nangarhār,admin,597971,205423
Herāt,6924035.925868127,4075648.708715658,Afghanistan,AF,Herāt,admin,481009,397456
Mazār-e Sharīf,7470747.429815616,4398628.081562426,Afghanistan,AF,Balkh,admin,458151,272714
Kunduz,7665126.288871929,4401393.648867292,Afghanistan,AF,Kunduz,admin,259809,161902
Ṯaghar,7651777.412133454,4321622.857498038,Afghanistan,AF,Baghlān,,218748,108449
Lashkar Gāh,7165815.29202116,3710110.099605257,Afghanistan,AF,Helmand,admin,201546,201546
Maīmanah,7211728.348081902,4289802.855946007,Afghanistan,AF,Fāryāb,admin,199795,199795
Balkh,7446961.794217817,4405199.594180354,Afghanistan,AF,Balkh,minor,179969,114883
Ghaznī,7616757.858802762,3968648.1569827017,Afghanistan,AF,Ghaznī,admin,141000,118785
Gardēz,7706194.386734874,3974875.158024357,Afghanistan,AF,Paktiyā,admin,103601,61760
Shibirghān,7319579.791459001,4392870.6573706325,Afghanistan,AF,Jowzjān,admin,93241,55641
Farāh,6914764.125479955,3812571.64225056,Afghanistan,AF,Farāh,admin,73647,43561
Andkhōy,7249543.913062849,4432547.308318857,Afghanistan,AF,Fāryāb,minor,71730,29208
Faīẕābād,7856932.109218045,4455377.114233972,Afghanistan,AF,Badakhshān,admin,64704,40276
Tāluqān,7740440.380924045,4402112.8638394,Afghanistan,AF,Takhār,admin,64256,64256
Pul-e Khumrī,7649332.39083767,4292998.7550814245,Afghanistan,AF,Baghlān,admin,56369,25689
Chārīkār,7700415.680648304,4166135.207787678,Afghanistan,AF,Parwān,admin,53676,53676
Asadābād,7920044.47188431,4146651.0492278086,Afghanistan,AF,Kunaṟ,admin,48400,48400
Aībak,7571452.161883789,4337102.316351638,Afghanistan,AF,Samangān,admin,24000,24000
Barakī Barak,7675389.723284087,4024431.253785801,Afghanistan,AF,Lōgar,minor,22305,22305
Karukh,6967075.046635058,4093584.101667121,Afghanistan,AF,Herāt,minor,17484,11293
Mehtar Lām,7815679.554958858,4119313.4083758066,Afghanistan,AF,Laghmān,admin,17345,17345
Zarghūn Shahr,7619344.033212871,3875058.785618449,Afghanistan,AF,Paktīkā,,13737,13737
Qalāt,7448201.448067292,3777199.9767461764,Afghanistan,AF,Zābul,admin,12191,12191
Tarīn Kōṯ,7332983.660025927,3845865.4213207774,Afghanistan,AF,Uruzgān,admin,10000,10000
Maḩmūd-e Rāqī,7719394.874592122,4166110.8774969187,Afghanistan,AF,Kāpīsā,admin,7407,7407
Qal‘ah-ye Now,7027478.226853887,4162162.3283215677,Afghanistan,AF,Bādghīs,admin,2997,2997
Dowlat Shāh,7800269.931806815,4157142.3359655207,Afghanistan,AF,Laghmān,minor,,
Dowlatyār,7324045.706790645,4103073.130006887,Afghanistan,AF,Ghōr,minor,,
Karbōṟī,7934252.289813748,4159258.1074365815,Afghanistan,AF,Kunaṟ,minor,,
Ḩāfiz̧ān,7833827.192306448,4067357.6383356056,Afghanistan,AF,Nangarhār,minor,,
Mīr Bachah Kōṯ,7694290.436986896,4129957.6096784887,Afghanistan,AF,Kābul,minor,,
Nīlī,7361583.4183225725,3991504.376527117,Afghanistan,AF,Dāykundī,admin,,
Kalān Deh,7614512.322034479,4006904.557301357,Afghanistan,AF,Wardak,minor,,
Kā’ī,7872322.585417669,4046027.692097404,Afghanistan,AF,Nangarhār,minor,,
Āsmār,7943545.908822114,4168411.2090024464,Afghanistan,AF,Kunaṟ,minor,,
Dū Qal‘ah,6840237.50750571,3782013.7077955073,Afghanistan,AF,Farāh,minor,,
Chimtāl,7436504.218613715,4394343.520553373,Afghanistan,AF,Balkh,minor,,
Bāzārak,7738395.553197663,4206487.453108009,Afghanistan,AF,Panjshir,admin,,
Nūrgal,7877520.982998734,4111467.8833758626,Afghanistan,AF,Kunaṟ,minor,,
Salām Khēl,7717760.927106258,3984665.7775180936,Afghanistan,AF,Paktiyā,minor,,
Khulm,7536135.274193187,4397006.487667037,Afghanistan,AF,Balkh,minor,,
Qarqīn,7351937.807084317,4497606.145959831,Afghanistan,AF,Jowzjān,minor,,
Qal‘ah-ye Kuhnah,7087356.535673626,3844432.5782620506,Afghanistan,AF,Farāh,minor,,
Qal‘ah-ye Kūf,7845016.470923535,4585246.072292095,Afghanistan,AF,Badakhshān,minor,,
Jalrēz,7642570.399688924,4092194.977873698,Afghanistan,AF,Wardak,minor,,
Nādir Shāh Kōṯ,7873465.725268625,4061542.08114318,Afghanistan,AF,Nangarhār,minor,,
‘Alī Khēl,7761092.261536521,4021087.5488557126,Afghanistan,AF,Paktiyā,minor,,
Fayrōz Kōh,7263700.857984992,4098775.488101851,Afghanistan,AF,Ghōr,admin,,
Khwājah Ghār,7727938.979468979,4448294.0107481405,Afghanistan,AF,Takhār,minor,,
Shērwānī-ye Bālā,7747763.310986897,4165876.684181362,Afghanistan,AF,Kāpīsā,minor,,
Now Dahānak,7792932.75284914,4249003.780504254,Afghanistan,AF,Panjshir,minor,,
Zindah Jān,6873616.434181092,4074903.6588617777,Afghanistan,AF,Herāt,minor,,
Kanḏay,7879079.34455035,4157577.084193598,Afghanistan,AF,Kunaṟ,minor,,
Bāzār-e Tālah,7594568.322063956,4217287.633697953,Afghanistan,AF,Baghlān,minor,,
Āfāqī,7720112.662668758,4392059.781048683,Afghanistan,AF,Takhār,minor,,
Nahrīn,7695898.2243924225,4309555.741345615,Afghanistan,AF,Baghlān,minor,,
Qāshqāl,7681807.848525775,4169283.9153233604,Afghanistan,AF,Parwān,minor,,
Māymay,7907956.844976524,4637303.501648259,Afghanistan,AF,Badakhshān,minor,,
March,7842257.862622185,4513024.260238966,Afghanistan,AF,Badakhshān,minor,,
Ōmnah,7658365.18827911,3882076.329744337,Afghanistan,AF,Paktīkā,minor,,
Qaranghū Tōghaī,7529619.410438585,4469156.395324199,Afghanistan,AF,Balkh,minor,,
Khōst,7783504.437256914,3940455.6981315184,Afghanistan,AF,Khōst,admin,,
Markaz-e Sayyidābād,7649147.155204991,4028851.305374249,Afghanistan,AF,Wardak,minor,,
Mashhad,7803730.96609507,4413580.882688352,Afghanistan,AF,Badakhshān,minor,,
Chowṉêy,7377402.140603278,3946222.521667598,Afghanistan,AF,Dāykundī,minor,,
Sarfirāz Kalā,7565847.7821198,3893092.0395150525,Afghanistan,AF,Ghaznī,minor,,
Bāsawul,7889454.655050754,4062083.0343886907,Afghanistan,AF,Nangarhār,minor,,
Kuhsān,6812505.4846398,4116944.95197121,Afghanistan,AF,Herāt,minor,,
Wulêswālī Bihsūd,7559224.717695563,4075033.223360489,Afghanistan,AF,Wardak,minor,,
Anār Darah,6863288.434464274,3863318.7839313233,Afghanistan,AF,Farāh,minor,,
Spērah,7738397.000351043,3922151.9365291744,Afghanistan,AF,Khōst,minor,,
Nayak,7453165.072842273,4127810.4045996144,Afghanistan,AF,Bāmyān,minor,,
Ghulām ‘Alī,7706503.96623877,4157191.3648289028,Afghanistan,AF,Parwān,minor,,
Gōshtah,7877261.274626714,4077004.6474827616,Afghanistan,AF,Nangarhār,minor,,
Mardīān,7380097.185475385,4438064.780485572,Afghanistan,AF,Jowzjān,minor,,
‘Alāqahdārī Shāh Jōy,7504397.642090061,3831967.3807168487,Afghanistan,AF,Zābul,minor,,
Ghōriyān,6845393.047082819,4075194.473239233,Afghanistan,AF,Herāt,minor,,
Ḩukūmatī Dahanah-ye Ghōrī,7624126.541176329,4287717.9028069535,Afghanistan,AF,Baghlān,minor,,
Zamtō Kêlay,7366799.1817442,3812320.684933831,Afghanistan,AF,Kandahār,minor,,
Āq Tapah,7633426.728034655,4435844.6553155845,Afghanistan,AF,Kunduz,minor,,
Bābā Şāḩib,7309347.303865283,3718950.822724828,Afghanistan,AF,Kandahār,minor,,
Ghurayd Gharamē,7880377.441132489,4372715.800071651,Afghanistan,AF,Badakhshān,minor,,
Chākarān,7911342.627289,4426725.152533417,Afghanistan,AF,Badakhshān,minor,,
Guz̄arah,6925447.457011386,4057334.7850628574,Afghanistan,AF,Herāt,minor,,
Qal‘ah-ye Fārsī,7040663.241301915,4000008.428709962,Afghanistan,AF,Herāt,minor,,
Pul-e ‘Alam,7683576.269956515,4028169.4714742256,Afghanistan,AF,Lōgar,admin,,
Dūāb,7549900.7084662095,4240625.057411783,Afghanistan,AF,Samangān,minor,,
Ţāqchah Khānah,7750959.293567574,4386162.621759228,Afghanistan,AF,Takhār,minor,,
Deh-e Şalāḩ,7716122.192882292,4258091.2037644945,Afghanistan,AF,Baghlān,minor,,
Now Zād,7176721.70781214,3816346.789088865,Afghanistan,AF,Helmand,minor,,
Ḩājī Khēl,7729292.067879571,4178733.357167488,Afghanistan,AF,Kāpīsā,minor,,
Khōshāmand,7596220.859904782,3853655.4537812034,Afghanistan,AF,Paktīkā,minor,,
Chahār Qal‘ah,7602929.751656421,3968893.8010320202,Afghanistan,AF,Ghaznī,minor,,
Pul-e Sangī,7709979.806019301,4109617.0021548625,Afghanistan,AF,Kābul,minor,,
Dū Laīnah,7211907.238503605,4049766.5499394443,Afghanistan,AF,Ghōr,minor,,
Mīray,7618781.869784364,3938472.06594317,Afghanistan,AF,Ghaznī,minor,,
S̲h̲ēwah,7857886.228573636,4105827.1975452825,Afghanistan,AF,Nangarhār,minor,,
Bāzār-e Tashkān,7823170.688772298,4422627.033970333,Afghanistan,AF,Badakhshān,minor,,
Kajrān,7288433.488490969,3922355.4876020905,Afghanistan,AF,Dāykundī,minor,,
Maīdān Shahr,7666147.97915843,4082047.8321614037,Afghanistan,AF,Wardak,admin,,
Zīṟūk ‘Alāqahdārī,7715863.152427214,3916302.0947044347,Afghanistan,AF,Paktīkā,minor,,
Taywarah,7171330.282234039,3964687.450989045,Afghanistan,AF,Ghōr,minor,,
Darqad,7731466.026215272,4492787.768962821,Afghanistan,AF,Takhār,minor,,
Shaykh Amīr Kêlay,7782661.080794663,3933519.661049659,Afghanistan,AF,Khōst,minor,,
Qaīşār,7157084.281719263,4257702.365199134,Afghanistan,AF,Fāryāb,minor,,
Qal‘ah-ye Na‘īm,7699640.8969923835,4082573.442397968,Afghanistan,AF,Kābul,minor,,
Charkh,7674086.728644352,4001592.8903489076,Afghanistan,AF,Lōgar,minor,,
Nūsay,7881880.031619216,4642268.473522241,Afghanistan,AF,Badakhshān,minor,,
‘Alāqahdārī Gēlān,7529312.391282977,3859113.4005811466,Afghanistan,AF,Ghaznī,minor,,
Wuluswālī ‘Alīngār,7832361.671210155,4141520.7224428505,Afghanistan,AF,Laghmān,minor,,
Lāsh-e Juwayn,6859810.1456549475,3725803.793076101,Afghanistan,AF,Farāh,minor,,
Fayẕābād,7220429.524760267,4340752.085449698,Afghanistan,AF,Fāryāb,minor,,
Faīẕābād,7398205.7496817075,4414173.262834532,Afghanistan,AF,Jowzjān,minor,,
‘Alāqahdārī Dīshū,7046303.79990041,3559208.518904044,Afghanistan,AF,Helmand,minor,,
Pachīr wa Āgām,7823317.964458618,4055703.39509024,Afghanistan,AF,Nangarhār,minor,,
‘Alāqahdārī Aṯghar,7498191.580478336,3728583.1588557255,Afghanistan,AF,Zābul,minor,,
Mīrān,7604522.622250183,4058431.5286574867,Afghanistan,AF,Wardak,minor,,
Zīārat-e Shāh Maqşūd,7288488.257680439,3761315.6875244025,Afghanistan,AF,Kandahār,minor,,
Dasht-e Qal‘ah,7106580.2985387165,3899257.8260785863,Afghanistan,AF,Farāh,minor,,
Dasht-e Qal‘ah,7730415.392861166,4460580.786507862,Afghanistan,AF,Takhār,minor,,
Ḩukūmat-e Shīnkaī,7495762.589189227,3761083.7819824493,Afghanistan,AF,Zābul,minor,,
Khayr Kōṯ,7619787.418744699,3875880.739623235,Afghanistan,AF,Paktīkā,minor,,
Tūlak,7094244.206527478,4025457.1750266603,Afghanistan,AF,Ghōr,minor,,
Tsowkêy,7895544.165155618,4122165.693896769,Afghanistan,AF,Kunaṟ,minor,,
Khānābād,7693600.924060922,4395017.841016329,Afghanistan,AF,Kunduz,minor,,
Sarōbī,7765652.909754832,4108250.372509538,Afghanistan,AF,Kābul,minor,,
Chakaray,7729768.849258638,4074680.5309733185,Afghanistan,AF,Kābul,minor,,
Khadīr,7339737.079573885,4018376.799793044,Afghanistan,AF,Dāykundī,minor,,
Baghlān,7648571.410798607,4318618.220345932,Afghanistan,AF,Baghlān,minor,,
Urgūn,7701082.373078667,3887490.03968327,Afghanistan,AF,Paktīkā,minor,,
Ibrāhīm Khān,7709602.655584493,4171156.678934132,Afghanistan,AF,Parwān,minor,,
Jurm,7885227.853985335,4420273.9157832,Afghanistan,AF,Badakhshān,minor,,
Bālā Murghāb,7049814.705320539,4243556.505468102,Afghanistan,AF,Bādghīs,minor,,
Narang,7908957.718518246,4131326.0751837245,Afghanistan,AF,Kunaṟ,minor,,
Rabāţ-e Sangī-ye Pā’īn,6917300.985355643,4136669.164765922,Afghanistan,AF,Herāt,minor,,
‘Alīābād,7669896.10641344,4372569.660922155,Afghanistan,AF,Kunduz,minor,,
Dehdādī,7457670.283954167,4392262.806601467,Afghanistan,AF,Balkh,minor,,
Sulţānpūr-e ‘Ulyā,7825352.88475032,4084264.708123971,Afghanistan,AF,Nangarhār,minor,,
Būrkah,7697784.533163914,4331269.890282303,Afghanistan,AF,Baghlān,minor,,
Chisht-e Sharīf,7095466.383216897,4075532.889744266,Afghanistan,AF,Herāt,minor,,
‘Alāqahdārī Kirān wa Munjān,7878367.011128764,4304566.073725655,Afghanistan,AF,Badakhshān,minor,,
Dōshī,7645949.05755399,4246977.816083524,Afghanistan,AF,Baghlān,minor,,
Sangar Sarāy,7863539.143635608,4083643.086233656,Afghanistan,AF,Nangarhār,minor,,
Rū-ye Sang,7528968.080097953,4207452.255621207,Afghanistan,AF,Bāmyān,minor,,
Āqchah,7367503.166203978,4425873.411055432,Afghanistan,AF,Jowzjān,minor,,
Shīnḏanḏ,6918216.92212589,3935584.0941242953,Afghanistan,AF,Herāt,minor,,
Barg-e Matāl,7941909.512307455,4255696.303999161,Afghanistan,AF,Nūristān,minor,,
Banū,7710009.639642832,4250305.826515662,Afghanistan,AF,Baghlān,minor,,
Kōṯowāl,7843653.029800299,4042666.755643631,Afghanistan,AF,Nangarhār,minor,,
Sar Chakān,7261431.944123643,4259663.283247373,Afghanistan,AF,Fāryāb,minor,,
Zurmat,7684132.867410482,3953557.414595312,Afghanistan,AF,Paktiyā,minor,,
Dāngām,7950366.231384036,4162860.8836575076,Afghanistan,AF,Kunaṟ,minor,,
Pas Pul,7860956.420129714,4505320.714474426,Afghanistan,AF,Badakhshān,minor,,
Khulbisāt,7793038.283726413,3961165.3974644616,Afghanistan,AF,Khōst,minor,,
Chandal Bā’ī,7676061.647730515,4107584.9681638763,Afghanistan,AF,Kābul,minor,,
Bāgh-e Maīdān,7704863.56222244,4194031.447378193,Afghanistan,AF,Parwān,minor,,
Kalakān,7697744.1241887575,4134526.3636234533,Afghanistan,AF,Kābul,minor,,
Lāsh,7210671.814794783,4215396.1211312665,Afghanistan,AF,Fāryāb,minor,,
Surkh Bilandī,7684232.16439627,4121120.5387278995,Afghanistan,AF,Kābul,minor,,
Nāyak,7433251.2404537555,3838670.3119663,Afghanistan,AF,Zābul,minor,,
Alah Sāy,7761249.444657522,4149824.7876734366,Afghanistan,AF,Kāpīsā,minor,,
Siyāhgird,7664990.145134689,4164632.538466352,Afghanistan,AF,Parwān,minor,,
Sar-e Pul,7339570.879574128,4330306.634230501,Afghanistan,AF,Sar-e Pul,admin,,
‘Alī Shēr ‘Alāqahdārī,7799834.895236796,3953346.9127578926,Afghanistan,AF,Khōst,minor,,
Māṉōgay,7894000.720415771,4162542.920721716,Afghanistan,AF,Kunaṟ,minor,,
Khwājah Dū Kōh,7305265.99737433,4415271.617308831,Afghanistan,AF,Jowzjān,minor,,
Kaz̲h̲ah,7812706.656637731,4061191.6940380987,Afghanistan,AF,Nangarhār,minor,,
Shwāk,7722994.390326923,3951700.648287338,Afghanistan,AF,Paktiyā,minor,,
Khinjān,7670016.220144005,4244225.870774701,Afghanistan,AF,Baghlān,minor,,
Jānī Khēl,7613944.147353469,3863907.855886562,Afghanistan,AF,Paktīkā,minor,,
Sāyagaz,7462106.0317038065,3837734.576633297,Afghanistan,AF,Zābul,minor,,
Panjāb,7460996.621658562,4081013.816703716,Afghanistan,AF,Bāmyān,minor,,
Khamyāb,7320184.144974517,4512890.770504908,Afghanistan,AF,Jowzjān,minor,,
Khākirān,7466618.03330464,3873887.504364536,Afghanistan,AF,Zābul,minor,,
Yaḩyá Khēl,7641662.255283033,3887000.8558290848,Afghanistan,AF,Paktīkā,minor,,
Tsapêraī,7783369.40671458,4006001.8437635214,Afghanistan,AF,Paktiyā,minor,,
Mingajik,7361354.3228105195,4442996.540713229,Afghanistan,AF,Jowzjān,minor,,
Rāmak,7639455.457697546,3964842.7445821115,Afghanistan,AF,Ghaznī,minor,,
Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,7007490.812281955,3795038.823336118,Afghanistan,AF,Farāh,minor,,
Injīl,6929248.683663503,4069367.2084794627,Afghanistan,AF,Herāt,minor,,
Langar,7575381.294630828,4299897.765880783,Afghanistan,AF,Samangān,minor,,
Dê Nārkhēl Kêlay,7306436.744459003,3820158.7441465403,Afghanistan,AF,Kandahār,minor,,
Chāh Āb,7771730.619993672,4494691.734066675,Afghanistan,AF,Takhār,minor,,
Stêr Giyān,7722575.606402558,3892257.2018962363,Afghanistan,AF,Paktīkā,minor,,
