city,x,y,country,iso2,admin,capital,population,population_proper
Tirana,2206228.6315684104,5060768.514723913,Albania,AL,Tiranë,primary,895350,421286
Elbasan,2235542.7270374764,5028949.576405843,Albania,AL,Elbasan,admin,165010,100903
Shkodër,2172183.4577406314,5171095.985610986,Albania,AL,Shkodër,admin,155767,88245
Durrës,2164205.52379395,5060109.764145973,Albania,AL,Durrës,admin,142432,122034
Vlorë,2169585.9287424614,4933990.609065256,Albania,AL,Vlorë,admin,89546,89471
Fier,2176976.318416736,4971700.264040619,Albania,AL,Fier,admin,82297,57198
Korçë,2313311.7478200556,4956248.592234949,Albania,AL,Korçë,admin,58259,58259
Berat,2221071.1932343505,4969048.447286947,Albania,AL,Berat,admin,46866,46866
Lushnjë,2193550.5660814554,5003782.184766705,Albania,AL,Fier,,41469,41469
Pogradec,2299025.783608082,4997971.055499594,Albania,AL,Korçë,,40000,30000
Gjirokastër,2241850.8686222583,4876968.251353266,Albania,AL,Gjirokastër,admin,23437,23437
Krujë,2203321.9683443075,5087736.263897189,Albania,AL,Durrës,,21286,21286
Lezhë,2186716.7738611475,5128620.332782771,Albania,AL,Lezhë,admin,18695,18695
Kukës,2273360.4070887486,5172512.25956713,Albania,AL,Kukës,admin,17832,17832
Burrel,2227379.334819133,5102778.574265432,Albania,AL,Dibër,,15405,15405
Sarandë,2226977.3601378785,4847874.861205518,Albania,AL,Vlorë,,15147,15147
Peshkopi,2274133.5209523076,5113910.140945836,Albania,AL,Dibër,admin,14848,14848
Çorovodë,2251684.053202501,4939479.22192852,Albania,AL,Berat,,14046,14046
Librazhd-Katund,2266526.726187931,5043407.271645804,Albania,AL,Elbasan,,12691,12691
Tepelenë,2228523.476545506,4909025.512838398,Albania,AL,Gjirokastër,,11955,11955
Gramsh,2246922.028025346,4993144.637913259,Albania,AL,Elbasan,,11556,11556
Përmet,2265537.2072342695,4899948.292349603,Albania,AL,Gjirokastër,,10686,10686
Rrëshen,2212536.7731531933,5126215.447012747,Albania,AL,Lezhë,,10064,10064
Bajram Curri,2234522.372584865,5214640.677025851,Albania,AL,Kukës,,7967,7967
Ersekë,2301963.3936506263,4915149.352091926,Albania,AL,Korçë,,7890,7890
Pukë,2215226.9199677035,5167639.266383448,Albania,AL,Shkodër,,6495,6495
