city,x,y,country,iso2,admin,capital,population,population_proper
Algiers,339586.34055636544,4406131.109590802,Algeria,DZ,Alger,primary,3354000,1977663
Oran,-71430.04369884747,4258201.53939759,Algeria,DZ,Oran,admin,798000,645984
Constantine,736347.4847790642,4350961.737897838,Algeria,DZ,Constantine,admin,605179,450097
Blida,314778.0127966489,4365492.261779354,Algeria,DZ,Blida,admin,511348,265000
Annaba,864581.4156009216,4425177.227865093,Algeria,DZ,Annaba,admin,503524,206570
Chlef,148558.4208119118,4323383.819270786,Algeria,DZ,Chlef,admin,449167,449167
Bejaïa,565985.2492639461,4405132.623804964,Algeria,DZ,Bejaïa,admin,384937,164103
Batna,687799.8303297189,4239599.598311011,Algeria,DZ,Batna,admin,280798,258136
Sétif,602654.0008507413,4326951.294227959,Algeria,DZ,Sétif,admin,274744,274744
Tlemcen,-146385.13039315474,4147359.3522879086,Algeria,DZ,Tlemcen,admin,229777,132341
Skikda,769129.5163448121,4421861.065340693,Algeria,DZ,Skikda,admin,225181,162702
Sidi Bel Abbès,-70225.45548897346,4189722.8746464327,Algeria,DZ,Sidi Bel Abbès,admin,208604,191769
Biskra,637643.1639604475,4143566.6559013687,Algeria,DZ,Biskra,admin,202103,202103
Mostaganem,9927.026910980965,4291151.986535054,Algeria,DZ,Mostaganem,admin,188354,130000
Tiaret,146606.43354085178,4214417.654031911,Algeria,DZ,Tiaret,admin,184195,184195
El Oued,764006.370739524,3942663.5671362234,Algeria,DZ,El Oued,admin,177497,177497
Ouargla,592478.954114273,3754784.2738484535,Algeria,DZ,Ouargla,admin,176271,176271
Tébessa,904378.133559517,4218942.376227787,Algeria,DZ,Tébessa,admin,171742,171742
Djelfa,363234.9418609977,4119502.6357870093,Algeria,DZ,Djelfa,admin,170901,170901
M’Sila,505606.89329156413,4260219.575835663,Algeria,DZ,M’sila,admin,150000,100000
Jijel,641703.9876650954,4414094.555028385,Algeria,DZ,Jijel,admin,148000,148000
Médéa,306565.64000235667,4337031.766231082,Algeria,DZ,Médéa,admin,147707,144020
Béchar,-246758.24169825338,3713096.7300388524,Algeria,DZ,Béchar,admin,143382,141449
Saïda,16888.61390671991,4140848.1853876505,Algeria,DZ,Saïda,admin,142213,127497
Bordj Bou Arreridj,530001.0012260389,4310700.32528911,Algeria,DZ,Bordj Bou Arréridj,admin,140000,129000
Souk Ahras,885113.6277607962,4340099.949456626,Algeria,DZ,Souk Ahras,admin,134947,134947
Touggourt,674369.0224460195,3909285.14564553,Algeria,DZ,Ouargla,,133954,49044
Ghardaïa,408171.5033485,3826924.1584665044,Algeria,DZ,Ghardaïa,admin,125480,125480
Guelma,826666.9989121498,4364398.319569152,Algeria,DZ,Guelma,admin,123590,123590
Laghouat,318946.25980991224,4001978.423556837,Algeria,DZ,Laghouat,admin,113872,102686
Bouira,434368.4304363718,4352329.582253737,Algeria,DZ,Bouira,admin,110144,110144
Mascara,15614.784973572483,4217914.9781352,Algeria,DZ,Mascara,admin,108230,108230
Oum el Bouaghi,791874.0920647122,4283491.63200626,Algeria,DZ,Oum el Bouaghi,admin,100821,100821
Tamanrasset,614792.8347242938,2606038.6488582636,Algeria,DZ,Tamanrasset,admin,76000,67616
El Bayadh,113464.95133933233,3986339.2266967953,Algeria,DZ,El Bayadh,admin,67413,67413
Aïn Sefra,-64936.33252291265,3862167.464912445,Algeria,DZ,Naama,,63420,38816
Adrar,-31796.631433245904,3232709.984124935,Algeria,DZ,Adrar,admin,56910,56910
Timimoun,25712.130705467156,3409275.4921581023,Algeria,DZ,Adrar,,49237,3899
I-n-Salah,273922.86911959114,3147668.888330197,Algeria,DZ,Tamanrasset,,49223,8041
Reggane,19079.715444003916,3088004.8772383416,Algeria,DZ,Adrar,,32974,11729
El Golea,320971.16134744184,3576599.555438158,Algeria,DZ,Ghardaïa,,32049,32049
Tindouf,-906968.3154712948,3207571.0831706924,Algeria,DZ,Tindouf,admin,18270,18270
Hassi Messaoud,673800.7364455198,3724249.4214697983,Algeria,DZ,Ouargla,,18124,18124
Abadla,-303219.5987480925,3635216.771075546,Algeria,DZ,Béchar,,14364,14364
Illizi,942505.0591562131,3059068.007023411,Algeria,DZ,Illizi,admin,7957,6629
Beni Ounif,-139013.2197543518,3769710.9993517105,Algeria,DZ,Béchar,,5628,5628
I-n-Amguel,574621.4153596883,2716738.325697765,Algeria,DZ,Tamanrasset,,3030,3030
Djanet,1055956.9861151227,2820907.9987475458,Algeria,DZ,Illizi,,666,666
I-n-Amenas,1062113.0652754817,3254486.2436603107,Algeria,DZ,Illizi,,216,216
Mila,697354.7161829779,4362757.130915616,Algeria,DZ,Mila,admin,,
Khenchela,795192.1921267873,4223267.97766974,Algeria,DZ,Khenchela,admin,,
Tizi Ouzou,450389.0862733766,4399014.667933283,Algeria,DZ,Tizi Ouzou,admin,,
El Tarf,925484.7542918848,4406706.816820182,Algeria,DZ,El Tarf,admin,,
Aïn Defla,219065.2919736107,4337016.027128221,Algeria,DZ,Aïn Defla,admin,,
Relizane,61892.1897276798,4264540.238295897,Algeria,DZ,Relizane,admin,,
Naama,-35251.20919103356,3930753.2751268437,Algeria,DZ,Naama,admin,,
Boumerdes,386815.0816787921,4405562.658747191,Algeria,DZ,Boumerdes,admin,,
Tipasa,272454.45371653704,4382072.5778867,Algeria,DZ,Tipaza,admin,,
Tissemsilt,201578.44712336775,4246709.450121839,Algeria,DZ,Tissemsilt,admin,,
Aïn Temouchent,-126945.74167439777,4204382.561008016,Algeria,DZ,Aïn Temouchent,admin,,
