city,x,y,country,iso2,admin,capital,population,population_proper
Luanda,1473110.1912587872,-987631.8372662062,Angola,AO,Luanda,primary,5172900,1951272
Huambo,1752076.0559502954,-1434164.9454945123,Angola,AO,Huambo,admin,1100000,872000
Lobito,1507977.4595260748,-1385783.8787494602,Angola,AO,Benguela,,207932,133534
Benguela,1492485.125992375,-1411598.253384832,Angola,AO,Benguela,admin,151226,132808
Namibe,1352779.1650468167,-1711811.6443500181,Angola,AO,Namibe,admin,132900,123361
Malanje,1819548.023834497,-1067462.2972984412,Angola,AO,Malanje,admin,125856,87046
Lubango,1502813.125709193,-1679598.1774272027,Angola,AO,Huíla,admin,125632,102541
Cuito,1885010.0069929357,-1389365.545777736,Angola,AO,Bié,admin,114286,113624
Cabinda,1358097.7876779374,-618791.6167022216,Angola,AO,Cabinda,admin,91791,66020
Capenda Camulemba,2052212.1048034139,-1053180.149404022,Angola,AO,Lunda Norte,,80000,79685
Soio,1376903.5458550993,-684242.9926355045,Angola,AO,Zaire,,67491,63167
Mbanza Congo,1585200.4582063132,-699037.6450746135,Angola,AO,Zaire,admin,60182,24220
Uíge,1676095.3827873094,-850011.7063279286,Angola,AO,Uíge,admin,60008,53567
Saurimo,2269977.29644405,-1080565.4176423138,Angola,AO,Lunda Sul,admin,41316,40498
Tômbua,1319135.9659002917,-1781573.1821900648,Angola,AO,Namibe,,40000,40000
Somba,1542344.124043265,-1259222.4456874777,Angola,AO,Kwanza Sul,,33277,26000
Lucapa,2309284.4312821366,-940606.6376467147,Angola,AO,Lunda Norte,admin,31041,20115
Mavinga,2265351.6376431175,-1781573.1821900648,Angola,AO,Kuando Kubango,,30000,30000
Caxito,1521088.1125542526,-958711.1147886724,Angola,AO,Bengo,admin,28224,3107
Luena,2217113.2287391955,-1321060.155674825,Angola,AO,Moxico,admin,21115,13438
Nzeto,1432303.5828797154,-807115.0179703729,Angola,AO,Zaire,,21059,18352
Camacupa,1946235.7269292357,-1347605.278922351,Angola,AO,Bié,,19828,19150
Luanga,2476342.1477130563,-1199491.7685669065,Angola,AO,Moxico,,18465,1463
Ambriz,1459008.1268456045,-875965.6388090829,Angola,AO,Bengo,,17000,17000
Menongue,1969044.0887173605,-1650235.840227469,Angola,AO,Kuando Kubango,admin,13030,13030
Camabatela,1711531.6049720414,-914615.8955723058,Angola,AO,Kwanza Norte,,12837,12625
Uacu Cungo,1683237.3073581334,-1273346.5682468324,Angola,AO,Kwanza Sul,,12069,10970
Dundo,2319207.895969412,-823940.8751858702,Angola,AO,Lunda Norte,,11985,11985
Songo,1652681.665608251,-820684.2832442789,Angola,AO,Uíge,,10579,10579
Ondjiva,1751426.618041007,-1928586.853179941,Angola,AO,Cunene,admin,10169,7327
Quibala,1667560.2947892074,-1201916.5694223428,Angola,AO,Kwanza Sul,,8915,1582
N’dalatando,1660515.774772828,-1039847.3760265798,Angola,AO,Kwanza Norte,admin,8144,8144
Cubal,1586302.7438041484,-1463540.7448035632,Angola,AO,Benguela,,4837,4837
Dondo,1605406.2816191819,-1082605.0491562996,Angola,AO,Kwanza Norte,,2353,2353
Muconda,2373113.914108092,-1185910.9662612476,Angola,AO,Lunda Sul,,2324,2324
Chibemba,1567749.458232106,-1775789.3700312863,Angola,AO,Huíla,,1502,1502
Chibia,1525077.0238678479,-1710337.709796031,Angola,AO,Huíla,,1411,1411
Bala Cangamba,2211547.254199532,-1543640.1677759641,Angola,AO,Moxico,,1307,1307
Cacolo,2144679.305872374,-1135287.0359301926,Angola,AO,Lunda Sul,,984,984
Cacuso,1659314.0808697145,-1118006.377025947,Angola,AO,Kwanza Sul,,795,795
Calenga,1807759.9576764344,-1272545.970204531,Angola,AO,Bié,,531,531
Chitado,1549196.2839795542,-1957718.3058905427,Angola,AO,Cunene,,500,437
Xangongo,1667936.9999460522,-1891742.8731838758,Angola,AO,Cunene,,447,447
Cazombo,2551071.7011190164,-1334329.869670457,Angola,AO,Moxico,,298,298
Quipungo,1614132.6165024668,-1671919.2177689103,Angola,AO,Huíla,,186,186
Luiana,2560348.2882452924,-1965493.2859456707,Angola,AO,Kuando Kubango,,150,150
Cuito Cuanavale,2135478.861277801,-1708415.4308334722,Angola,AO,Kuando Kubango,,149,149
Mucusso,2385947.7155626668,-2039499.4799839593,Angola,AO,Kuando Kubango,,100,100
Sumbe,1541075.0818482216,-1255481.489323376,Angola,AO,Kwanza Sul,admin,,
