city,x,y,country,iso2,admin,capital,population,population_proper
Buenos Aires,-6504985.391323381,-4110518.8037262587,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",primary,12795000,10929146
Córdoba,-7144602.027216611,-3686566.707753745,Argentina,AR,Córdoba,admin,1452000,1296935
Rosario,-6750337.890491898,-3888247.06803783,Argentina,AR,Santa Fe,minor,1203000,986569
Mendoza,-7661805.628461566,-3880824.4092234117,Argentina,AR,Mendoza,admin,893000,762630
San Miguel de Tucumán,-7260546.620213365,-3101517.9932683664,Argentina,AR,Tucumán,admin,830000,527607
La Plata,-6451469.102721969,-4153212.172848151,Argentina,AR,Buenos Aires,admin,694253,186524
Mar del Plata,-6407275.932793984,-4579747.62286769,Argentina,AR,Buenos Aires,minor,555897,553935
Salta,-7281593.128420705,-2849469.596576643,Argentina,AR,Salta,admin,512686,456606
Santa Fe,-6757208.418144167,-3714772.308886753,Argentina,AR,Santa Fe,admin,489505,297503
San Juan,-7629435.9242897155,-3702752.2596003725,Argentina,AR,San Juan,admin,447048,420736
San Luis,-7384448.21909253,-3934527.6594749913,Argentina,AR,San Luis,admin,432310,183982
Resistencia,-6566056.154528499,-3181131.4159890227,Argentina,AR,Chaco,admin,387158,349753
Posadas,-6222322.940301102,-3169408.5022631106,Argentina,AR,Misiones,admin,357119,312060
Santiago del Estero,-7153556.23309755,-3223166.572298225,Argentina,AR,Santiago del Estero,admin,354692,280407
Corrientes,-6549381.941961046,-3183645.25401925,Argentina,AR,Corrientes,admin,340823,339067
San Salvador de Jujuy,-7268841.703389317,-2777134.68791798,Argentina,AR,Jujuy,admin,305891,211587
Bahía Blanca,-6932135.4206987545,-4681585.182771248,Argentina,AR,Buenos Aires,minor,281536,276546
Paraná,-6737478.819512913,-3728178.32672655,Argentina,AR,Entre Ríos,admin,262295,191409
Neuquén,-7576304.578487467,-4714741.916068049,Argentina,AR,Neuquén,admin,242092,185555
Formosa,-6476360.80878029,-3021085.9565986977,Argentina,AR,Formosa,admin,221383,183161
La Rioja,-7441782.320950188,-3428067.98712595,Argentina,AR,La Rioja,admin,162620,131640
Río Cuarto,-7163400.104348909,-3912661.2249577097,Argentina,AR,Córdoba,minor,153757,118162
Concordia,-6458855.930172538,-3683888.1946228617,Argentina,AR,Entre Ríos,minor,145210,120311
Comodoro Rivadavia,-7513682.466858654,-5758603.426370514,Argentina,AR,Chubut,minor,140850,105732
San Martín,-7621838.257723584,-3906064.4190736744,Argentina,AR,Mendoza,minor,117399,82549
Santa Rosa,-7155987.896054438,-4385808.953888032,Argentina,AR,La Pampa,admin,111424,83963
San Rafael,-7606468.152990776,-4112051.004585847,Argentina,AR,Mendoza,minor,109163,49884
Tandil,-6582673.705475137,-4484039.345061256,Argentina,AR,Buenos Aires,minor,104325,65274
San Carlos de Bariloche,-7937232.089943301,-5033056.924217183,Argentina,AR,Río Negro,minor,95394,88512
Trelew,-7270642.74143086,-5350113.605980865,Argentina,AR,Chubut,,93442,92815
Villa María,-7039862.520204638,-3816922.8491176865,Argentina,AR,Córdoba,minor,92453,60949
Reconquista,-6640207.6258187685,-3394751.5617592,Argentina,AR,Santa Fe,minor,90184,83097
Zárate,-6571032.024447465,-4041987.7239837893,Argentina,AR,Buenos Aires,minor,88781,83603
Rafaela,-6844667.689280812,-3665302.371059018,Argentina,AR,Santa Fe,minor,88713,50585
Pergamino,-6743018.74529173,-4014034.4206667384,Argentina,AR,Buenos Aires,minor,87652,55244
Olavarría,-6715074.436156875,-4424163.173415924,Argentina,AR,Buenos Aires,minor,86320,43798
Río Gallegos,-7705326.65130414,-6732174.584267683,Argentina,AR,Santa Cruz,admin,85700,68666
Junín,-6784179.127012543,-4107466.2515146737,Argentina,AR,Buenos Aires,minor,85007,47276
Presidencia Roque Sáenz Peña,-6728012.098696362,-3096663.482396872,Argentina,AR,Chaco,minor,81879,70037
Luján,-6579538.503336434,-4105635.9022779004,Argentina,AR,Buenos Aires,minor,81749,57740
