city,x,y,country,iso2,admin,capital,population,population_proper
Sydney,16832116.48215506,-4010217.439490443,Australia,AU,New South Wales,admin,4630000,3641422
South Melbourne,16137615.552438054,-4555908.036370739,Australia,AU,Victoria,,4170000,93625
Brisbane,17034586.264441207,-3182442.4793185364,Australia,AU,Queensland,admin,1860000,926353
Perth,12897631.716637313,-3757043.0164257926,Australia,AU,Western Australia,admin,1532000,880216
Adelaide,15428729.250203805,-4154190.6800167887,Australia,AU,South Australia,admin,1145000,836354
Newcastle,16896571.58051927,-3885723.4764969954,Australia,AU,New South Wales,,1134616,497955
Gold Coast,17079847.210924882,-3249010.3520653597,Australia,AU,Queensland,,527660,332249
Cranbourne,16172866.650309598,-4593562.106521998,Australia,AU,Victoria,,460491,39419
Canberra,16601559.90178584,-4201456.076210843,Australia,AU,Australian Capital Territory,primary,327700,234032
Wollongong,16797381.795401305,-4085877.9543963005,Australia,AU,New South Wales,,260914,141725
Geelong,16069869.404648028,-4601127.445574457,Australia,AU,Victoria,,160991,137681
Cairns,16226624.836164504,-1911868.280593874,Australia,AU,Queensland,,154225,109989
Townsville,16342335.212952625,-2186324.265733062,Australia,AU,Queensland,,138954,119470
Albury,16355505.533227868,-4310921.791662934,Australia,AU,New South Wales,,104258,32810
Nowra,16764755.054525213,-4148158.2147109327,Australia,AU,New South Wales,,94781,27292
Darwin,14564668.030583357,-1397787.720304146,Australia,AU,Northern Territory,admin,93080,72866
Toowoomba,16915425.985313907,-3193682.5812940393,Australia,AU,Queensland,,92800,80622
Ballarat,16014709.038487092,-4517827.233063627,Australia,AU,Victoria,,85109,61699
Bendigo,16061203.182289775,-4405453.446291007,Australia,AU,Victoria,,81657,55923
Hobart,16400885.925525164,-5294211.927493284,Australia,AU,Tasmania,admin,80870,47700
North Mackay,16607012.664403366,-2405795.33035685,Australia,AU,Queensland,,75922,56185
Mandurah,12882081.05169044,-3832675.0393753364,Australia,AU,Western Australia,,73356,32376
Launceston,16378956.987714307,-5077275.518792643,Australia,AU,Tasmania,,72458,57755
Rockhampton,16754245.826677386,-2678077.1642100173,Australia,AU,Queensland,,65850,52199
Coffs Harbour,17044517.9667708,-3541688.5593254045,Australia,AU,New South Wales,,62978,34944
Wagga Wagga,16403343.85988188,-4180986.0831685825,Australia,AU,New South Wales,,55381,35717
Bundaberg,16959290.651424564,-2859320.58538475,Australia,AU,Queensland,,52472,39652
Port Macquarie,17021744.89326126,-3688829.234476616,Australia,AU,New South Wales,,48547,35593
Mildura,15825457.777815698,-4053738.6353027364,Australia,AU,Victoria,,47867,18782
Taree,16971087.511822395,-3751632.34418865,Australia,AU,New South Wales,,44182,16081
Orange,16597736.745194035,-3932939.858523192,Australia,AU,New South Wales,,39329,34087
Caloundra,17047212.009767488,-3098143.7427006015,Australia,AU,Queensland,,38706,28768
West Tamworth,16799152.665860843,-3646555.4295553085,Australia,AU,New South Wales,,38551,31609
Kalgoorlie,13521522.359385671,-3599516.2818567036,Australia,AU,Western Australia,,36852,27264
Shepparton,16185705.461141258,-4353100.540264976,Australia,AU,Victoria,,33550,33311
Mount Isa,15528764.952132305,-2359145.076651612,Australia,AU,Queensland,,33200,21992
Tweed Heads,17092218.03461725,-3271132.2881174455,Australia,AU,New South Wales,,33065,33065
Queanbeyan,16612429.693464348,-4212220.071806107,Australia,AU,New South Wales,,32602,32214
Melton,16095176.889004463,-4534795.764922558,Australia,AU,Victoria,,32368,27132
Dubbo,16542615.452174362,-3795244.010065665,Australia,AU,New South Wales,,31574,29361
Caboolture,17026438.122993104,-3134051.6345104356,Australia,AU,Queensland,,31513,21478
North Lismore,17063422.576655786,-3350215.06008894,Australia,AU,New South Wales,,31430,24701
Gladstone,16837779.63861018,-2734849.6886868738,Australia,AU,Queensland,,30489,27621
Warrnambool,15861690.602276545,-4633496.958841203,Australia,AU,Victoria,,29928,29836
Sunbury,16110832.86218963,-4519900.090214424,Australia,AU,Victoria,,29925,7430
Alice Springs,14903856.515279628,-2716587.6994290105,Australia,AU,Northern Territory,,27710,26188
Geraldton,12758838.241557788,-3347543.961557455,Australia,AU,Western Australia,,27258,26872
Bunbury,12873138.756995013,-3938803.2695059357,Australia,AU,Western Australia,,26998,26369
Albany,13120777.758504424,-4164302.5655632233,Australia,AU,Western Australia,,26445,23913
Hervey Bay,17017829.564131077,-2911470.866275012,Australia,AU,Queensland,,25114,25114
Mount Gambier,15671467.74508951,-4555691.826330755,Australia,AU,South Australia,,23209,20428
Armidale,16883964.53686744,-3569053.248675408,Australia,AU,New South Wales,,22673,20914
Whyalla,15313647.383260697,-3899642.6233811155,Australia,AU,South Australia,,22559,19645
Sale,16371537.543652937,-4595111.204907182,Australia,AU,Victoria,,22486,12917
Katoomba,16732626.023092456,-3990334.01601852,Australia,AU,New South Wales,,22076,18593
Goulburn,16666849.451053038,-4130168.6947268564,Australia,AU,New South Wales,,20940,11948
Maryborough,16999034.60394452,-2942308.685182809,Australia,AU,Queensland,,20678,17163
Kwinana,12888713.24431292,-3793556.6874149414,Australia,AU,Western Australia,,20086,17549
Burnie,16241930.932190109,-5020581.543309783,Australia,AU,Tasmania,,19972,17009
Echuca,16113701.788106354,-4319981.141722068,Australia,AU,Victoria,,19457,7463
Devonport,16291776.34926312,-5038476.74007985,Australia,AU,Tasmania,,19317,16548
Roebourne,13040686.167865934,-2364747.10337941,Australia,AU,Western Australia,,19260,3303
East Maitland,16874179.442307223,-3862167.464912446,Australia,AU,New South Wales,,18625,1428
Traralgon,16312925.605360463,-4607048.892334051,Australia,AU,Victoria,,18226,15739
Murray Bridge,15503849.86898092,-4180181.8647473794,Australia,AU,South Australia,,18194,10177
Forster,16978131.586560816,-3787140.2967265006,Australia,AU,New South Wales,,17591,8960
Broken Hill,15746275.77873648,-3758743.4527266654,Australia,AU,New South Wales,,17395,17070
Karratha,13006897.585464435,-2360778.364794252,Australia,AU,Western Australia,,16796,16476
Gawler,15445470.588424202,-4109994.0513521624,Australia,AU,South Australia,,16362,14723
Griffith,16258315.602762006,-4067610.3982309964,Australia,AU,New South Wales,,15455,7874
Kingston Beach,16399216.355802247,-5309435.303580733,Australia,AU,Tasmania,,14371,10933
Port Hedland,13203670.258850766,-2310046.15559771,Australia,AU,Western Australia,,14288,3706
Ballina,17094823.689938243,-3358365.4391446547,Australia,AU,New South Wales,,14242,13753
Wangaratta,16288329.897828164,-4350057.540901191,Australia,AU,Victoria,,14022,8717
Port Augusta West,15334259.856773434,-3826924.1584665067,Australia,AU,South Australia,,13897,8476
Richmond North,16778009.198377024,-3972700.950598657,Australia,AU,New South Wales,,13880,5560
Singleton,16827725.596160207,-3838026.0943829613,Australia,AU,New South Wales,,13813,2868
Bongaree,17049629.089871082,-3133929.104624135,Australia,AU,Queensland,,13649,7006
Port Lincoln,15125471.246231385,-4126741.56160871,Australia,AU,South Australia,,13630,11247
Broome,13607607.725366943,-2032326.3954167515,Australia,AU,Western Australia,,13218,10563
Horsham,15829610.885378215,-4398943.292814832,Australia,AU,Victoria,,12830,11141
Port Pirie,15364032.922503041,-3920784.777482134,Australia,AU,South Australia,,12506,12328
Warwick,16924389.542032074,-3276613.9790352345,Australia,AU,Queensland,,12347,7701
Kempsey,17013061.63902091,-3643010.323217429,Australia,AU,New South Wales,,11840,9522
Portland,15763479.20416316,-4629358.518111113,Australia,AU,Victoria,,11808,8841
Gympie South,16992663.12156948,-3025302.150388903,Australia,AU,Queensland,,11649,11027
Muswellbrook,16797008.09587071,-3797643.732250466,Australia,AU,New South Wales,,11630,4712
Parkes,16494866.069793498,-3913529.027520952,Australia,AU,New South Wales,,11137,3183
Lithgow,16713097.244822593,-3959520.4224858615,Australia,AU,New South Wales,,11128,9548
Bairnsdale East,16436517.847374711,-4555549.474065051,Australia,AU,Victoria,,11005,7849
Bowen,16502840.99811393,-2274650.3964784127,Australia,AU,Queensland,,10983,10983
Yeppoon,16780752.444588643,-2647363.6825478207,Australia,AU,Queensland,,10769,2132
Batemans Bay,16717450.727468535,-4260322.118812163,Australia,AU,New South Wales,,10557,651
Kiama,16792788.753211174,-4118892.8693345715,Australia,AU,New South Wales,,10379,10379
Busselton,12840201.991337065,-3982234.693582228,Australia,AU,Western Australia,,10214,8976
Innisfail,16256098.897741841,-1981685.1562306993,Australia,AU,Queensland,,10143,9271
Katherine,14723502.57622938,-1627638.9606744924,Australia,AU,Northern Territory,,10141,6202
Moranbah,16479162.563185764,-2511318.729564028,Australia,AU,Queensland,,10000,4714
South Grafton,17026316.11683119,-3465045.6347282142,Australia,AU,New South Wales,,9955,5788
Dalby,16838414.82762465,-3146189.9100972884,Australia,AU,Queensland,,9847,9790
Charters Towers,16281982.237824146,-2282120.497106474,Australia,AU,Queensland,,9573,7166
Emerald,16492854.971872825,-2695385.637163329,Australia,AU,Queensland,,9398,5580
Swan Hill,15980208.122664005,-4209950.329301911,Australia,AU,Victoria,,9276,8870
Ulladulla,16750519.072764607,-4212783.383156789,Australia,AU,New South Wales,,9250,4372
Colac,15983796.283810748,-4627426.595335124,Australia,AU,Victoria,,9089,5811
Ayr,16409234.553376192,-2222624.924289725,Australia,AU,Queensland,,9078,5254
Hamilton,15810586.495721135,-4543231.541706845,Australia,AU,Victoria,,8869,5116
Kingaroy,16902450.474147554,-3066109.97719179,Australia,AU,Queensland,,8573,6416
Inverell,16821673.48940425,-3474536.579604446,Australia,AU,New South Wales,,8561,5130
Moree,16680287.049425676,-3434680.454350141,Australia,AU,New South Wales,,8203,7921
Deniliquin,16136165.727389963,-4236476.055521021,Australia,AU,New South Wales,,8024,4015
Esperance,13567907.96668483,-4010036.32944002,Australia,AU,Western Australia,,7888,6522
