city,x,y,country,iso2,admin,capital,population,population_proper
Vienna,1821929.0364230745,6140192.439289726,Austria,AT,Wien,primary,2400000,1731000
Linz,1591868.718343812,6156910.055358622,Austria,AT,Oberösterreich,admin,349161,181162
Graz,1719886.1327560765,5952962.620699987,Austria,AT,Steiermark,admin,263234,222326
Salzburg,1450863.9928991687,6073646.223350629,Austria,AT,Salzburg,admin,206279,150269
Innsbruck,1269042.1950433187,5985710.057070605,Austria,AT,Tirol,admin,155214,112467
Klagenfurt,1592456.2626162188,5881032.837309691,Austria,AT,Kärnten,admin,90610,86566
Wiener Neustadt,1808941.7253906955,6073646.223350629,Austria,AT,Niederösterreich,minor,82762,38481
Bregenz,1087220.3971874688,6024072.119373783,Austria,AT,Vorarlberg,admin,26928,26928
Eisenstadt,1838626.9600420655,6081936.359820879,Austria,AT,Burgenland,admin,13165,13165
Dornbirn,1083478.837782416,6010351.9144429285,Austria,AT,Vorarlberg,minor,,
Deutschlandsberg,1694530.0017821665,5911974.690065374,Austria,AT,Steiermark,minor,,
Hartberg,1777401.240105765,5988444.477998107,Austria,AT,Steiermark,minor,,
Vöcklabruck,1519511.0493281842,6109628.077855218,Austria,AT,Oberösterreich,minor,,
Judenburg,1632685.9020745095,5969320.926398011,Austria,AT,Steiermark,minor,,
Villach,1542424.2740766362,5878691.915250957,Austria,AT,Kärnten,minor,,
Sankt Johann im Pongau,1469417.278471211,5999391.278141545,Austria,AT,Salzburg,minor,,
Voitsberg,1686490.2855180944,5947516.56462731,Austria,AT,Steiermark,minor,,
Zwettl,1688345.647471146,6210066.349071231,Austria,AT,Niederösterreich,minor,,
Scheibbs,1688345.647471146,6106854.834885075,Austria,AT,Niederösterreich,minor,,
Kirchdorf,1571460.1821382088,6090234.492705669,Austria,AT,Oberösterreich,minor,,
Gmunden,1536208.9729471754,6093002.373108038,Austria,AT,Oberösterreich,minor,,
Hollabrunn,1790388.439818653,6198847.904540942,Austria,AT,Niederösterreich,minor,,
Wels,1562183.4836924423,6134627.209862353,Austria,AT,Oberösterreich,minor,,
Gmünd,1667936.9999460522,6235362.007939599,Austria,AT,Niederösterreich,minor,,
Völkermarkt,1629098.8541226778,5887113.335501565,Austria,AT,Kärnten,minor,,
Kitzbühel,1378506.323883541,6015837.3544284385,Austria,AT,Tirol,minor,,
Freistadt,1614132.6165024668,6190443.809135445,Austria,AT,Oberösterreich,minor,,
Tulln,1786677.827232041,6162489.813930713,Austria,AT,Niederösterreich,minor,,
Schwaz,1302438.0422813005,5996653.241846776,Austria,AT,Tirol,minor,,
Tamsweg,1536208.9729471754,5963864.631935203,Austria,AT,Salzburg,minor,,
Mistelbach,1845306.129489662,6202211.867728726,Austria,AT,Niederösterreich,minor,,
Zell am See,1423034.1202008503,5993916.2337604,Austria,AT,Salzburg,minor,,
Sankt Pölten,1740294.6689616798,6140192.439289726,Austria,AT,Niederösterreich,admin,,
Horn,1742150.0309147313,6215681.042900641,Austria,AT,Niederösterreich,minor,,
Leibnitz,1730090.4565186237,5906509.100729377,Austria,AT,Steiermark,minor,,
Perg,1628975.1781684065,6148547.16096017,Austria,AT,Oberösterreich,minor,,
Amstetten,1654949.8002331639,6126286.05981555,Austria,AT,Niederösterreich,minor,,
Korneuburg,1818218.3125169715,6165281.144871334,Austria,AT,Niederösterreich,minor,,
Rohrbach,1556617.5091527784,6201651.170895278,Austria,AT,Oberösterreich,minor,,
Lienz,1420405.75570373,5914550.52710902,Austria,AT,Tirol,minor,,
Hermagor,1488032.3463606439,5881438.072766922,Austria,AT,Kärnten,minor,,
Reutte,1192973.9134410785,6021326.272078293,Austria,AT,Tirol,minor,,
Bruck an der Mur,1701332.8471840343,6010351.9144429285,Austria,AT,Steiermark,minor,,
Bruck an der Leitha,1866456.832740384,6109628.077855218,Austria,AT,Niederösterreich,minor,,
Imst,1194829.1640746393,5980243.468966004,Austria,AT,Tirol,minor,,
Leoben,1680924.3109784308,6004869.781454874,Austria,AT,Steiermark,minor,,
Sankt Veit an der Glan,1598578.834609849,5904296.7443478,Austria,AT,Kärnten,minor,,
Gänserndorf,1861502.002205175,6163418.034920251,Austria,AT,Niederösterreich,minor,,
Melk,1705043.5710901371,6142976.495500044,Austria,AT,Niederösterreich,minor,,
Hallein,1458285.3293918837,6054333.491894965,Austria,AT,Salzburg,minor,,
Mattersburg,1825639.6490096862,6062605.0542624565,Austria,AT,Burgenland,minor,,
Feldkirchen,1569604.8201851572,5895948.919810573,Austria,AT,Kärnten,minor,,
Murau,1577335.2909038055,5960138.3325452125,Austria,AT,Steiermark,minor,,
Feldbach,1768681.1391139645,5934414.980168572,Austria,AT,Steiermark,minor,,
Bludenz,1092786.3717271327,5966546.846945435,Austria,AT,Vorarlberg,minor,,
Krems an der Donau,1736584.0563750677,6176455.440257356,Austria,AT,Niederösterreich,minor,,
Mödling,1812652.3379773076,6120729.690845446,Austria,AT,Niederösterreich,minor,,
Klosterneuburg,1816363.0618834104,6156910.055358622,Austria,AT,Niederösterreich,minor,,
Steyr,1604856.029376191,6115177.087951665,Austria,AT,Oberösterreich,minor,,
Neusiedl am See,1873878.0579136084,6095770.979113645,Austria,AT,Burgenland,minor,,
Neunkirchen,1790388.439818653,6059847.095298113,Austria,AT,Niederösterreich,minor,,
Wolfsberg,1652445.1116903154,5916087.475399643,Austria,AT,Kärnten,minor,,
Landeck,1176275.9898220878,5963864.631935203,Austria,AT,Tirol,minor,,
Eferding,1560328.2330588815,6159699.562651669,Austria,AT,Oberösterreich,minor,,
Weiz,1738439.4183281192,5977511.628232527,Austria,AT,Steiermark,minor,,
Spittal an der Drau,1502813.125709193,5909489.863677087,Austria,AT,Kärnten,minor,,
Waidhofen an der Thaya,1701332.8471840343,6243810.679180247,Austria,AT,Niederösterreich,minor,,
Rust,1855324.8836610566,6073646.223350629,Austria,AT,Burgenland,minor,,
Baden,1807086.3634376437,6109628.077855218,Austria,AT,Niederösterreich,minor,,
Liezen,1584447.3818510969,6035064.0696576685,Austria,AT,Steiermark,minor,,
Oberwart,1803375.7508510319,5988444.477998107,Austria,AT,Burgenland,minor,,
Ried im Innkreis,1502813.125709193,6142976.495500044,Austria,AT,Oberösterreich,minor,,
Oberpullendorf,1838626.9600420655,6024072.119373783,Austria,AT,Burgenland,minor,,
Güssing,1818218.3125169715,5952962.620699987,Austria,AT,Burgenland,minor,,
Grieskirchen,1539919.5855337875,6145761.291051834,Austria,AT,Oberösterreich,minor,,
Schärding,1495391.789216478,6182047.999176792,Austria,AT,Oberösterreich,minor,,
Lilienfeld,1740294.6689616798,6109628.077855218,Austria,AT,Niederösterreich,minor,,
Jennersdorf,1797438.7484485544,5932150.225065986,Austria,AT,Burgenland,minor,,
Kufstein,1354387.1750913253,6037814.118846004,Austria,AT,Tirol,minor,,
Braunau am Inn,1450863.9928991687,6151333.938985078,Austria,AT,Oberösterreich,minor,,
