city,x,y,country,iso2,admin,capital,population,population_proper
Baku,5552863.552677029,4923550.362961498,Azerbaijan,AZ,Bakı,primary,2122300,1892000
Gəncə,5160833.486813044,4965663.491069774,Azerbaijan,AZ,Gəncə,admin,303268,300131
Sumqayıt,5529084.484929186,4952012.808155857,Azerbaijan,AZ,Sumqayıt,admin,279159,265150
Hacıvar,5059029.808731762,4751519.358832111,Azerbaijan,AZ,Babək,,94788,64754
Şəki,5251002.274355595,5040694.717457534,Azerbaijan,AZ,Şəki,admin,64968,62191
Lənkəran,5437639.864702653,4686773.121988831,Azerbaijan,AZ,Lənkəran,admin,60180,60180
Yevlax,5247860.059088973,4955386.448800629,Azerbaijan,AZ,Yevlax,admin,53716,46312
Göyçay,5314636.280155717,4960934.441862656,Azerbaijan,AZ,Göyçay,admin,35348,34715
Tovuz,5079328.472599951,5011233.561212681,Azerbaijan,AZ,Tovuz,admin,12626,12626
Qəbələ,5326536.5563605,5009756.926437633,Azerbaijan,AZ,Qəbələ,admin,11867,11867
Gədəbəy,5099800.572234797,4949202.913797401,Azerbaijan,AZ,Gədəbəy,admin,8657,8657
Goranboy,5208608.027398829,4955026.597115015,Azerbaijan,AZ,Goranboy,admin,7333,7333
Oğuz,5283811.245238115,5022861.139480656,Azerbaijan,AZ,Oğuz,admin,6876,6876
Zaqatala,5192474.38227867,5105953.0665481165,Azerbaijan,AZ,Zaqatala,admin,,
Mingəçevir,5238643.250529254,4977586.001470303,Azerbaijan,AZ,Mingəçevir,admin,,
Xızı,5463701.761248193,4998451.354321842,Azerbaijan,AZ,Xızı,admin,,
Xırdalan,5538703.713448123,4931272.027148322,Azerbaijan,AZ,Abşeron,admin,,
Heydərabad,4992507.507423516,4825749.968139863,Azerbaijan,AZ,Sədərək,admin,,
Zəngilan,5193198.960844243,4734342.1793655185,Azerbaijan,AZ,Zəngilan,admin,,
Ağstafa,5059117.417171015,5029294.436278093,Azerbaijan,AZ,Ağstafa,admin,,
Ucar,5304891.149292693,4941163.596962455,Azerbaijan,AZ,Ucar,admin,,
Göygöl,5156196.028146087,4951443.465043326,Azerbaijan,AZ,Göygöl,admin,,
Xocavənd,5244249.077446621,4836264.029965034,Azerbaijan,AZ,Xocavənd,admin,,
Xaçmaz,5433020.328473714,5081062.675840233,Azerbaijan,AZ,Xaçmaz,admin,,
Kəlbəcər,5125645.8410512535,4881917.081697281,Azerbaijan,AZ,Kəlbəcər,admin,,
Yardımlı,5370110.23332222,4708460.573549932,Azerbaijan,AZ,Yardımlı,admin,,
Daşkəsən,5129809.523965393,4942373.321681651,Azerbaijan,AZ,Daşkəsən,admin,,
Kürdəmir,5360127.769304824,4916250.572168219,Azerbaijan,AZ,Kürdəmir,admin,,
Hacıqabul,5448294.809763931,4871573.9049313,Azerbaijan,AZ,Hacıqabul,admin,,
Qax,5223158.375401437,5074231.901015846,Azerbaijan,AZ,Qax,admin,,
Qazax,5050076.382087258,5025989.073166117,Azerbaijan,AZ,Qazax,admin,,
Tərtər,5224492.873457067,4915735.875210845,Azerbaijan,AZ,Tərtər,admin,,
Biləsuvar,5404004.680559466,4787538.112085747,Azerbaijan,AZ,Biləsuvar,admin,,
Şəmkir,5122678.508704668,4987262.16730845,Azerbaijan,AZ,Şəmkir,admin,,
Qubadlı,5185466.041096798,4771125.678683416,Azerbaijan,AZ,Qubadlı,admin,,
Quba,5400488.209164796,5065747.210766164,Azerbaijan,AZ,Quba,admin,,
Qusar,5391225.203016398,5075603.191691725,Azerbaijan,AZ,Qusar,admin,,
Babək,5058672.139207842,4743839.803664196,Azerbaijan,AZ,Babək,minor,,
Füzuli,5248189.676101212,4808120.300111982,Azerbaijan,AZ,Füzuli,admin,,
Cəbrayıl,5235171.418250393,4779012.044855849,Azerbaijan,AZ,Cəbrayıl,admin,,
Salyan,5452961.434137476,4807437.527804158,Azerbaijan,AZ,Salyan,admin,,
Xocalı,5208670.588952656,4853303.80043255,Azerbaijan,AZ,Xocalı,admin,,
Astara,5440737.88613143,4644041.84387269,Azerbaijan,AZ,Astara,admin,,
Culfa,5079464.950295663,4715080.31309824,Azerbaijan,AZ,Culfa,minor,,
Ağdaş,5284759.575980183,4960410.942455886,Azerbaijan,AZ,Ağdaş,admin,,
Lerik,5389529.695852125,4689333.813668136,Azerbaijan,AZ,Lerik,admin,,
Masallı,5417950.341088084,4725651.744053583,Azerbaijan,AZ,Masallı,admin,,
Ağdam,5071078.028539808,4998852.284262267,Azerbaijan,AZ,Tovuz,,0,0
Beyləqan,5300879.528802975,4833380.0924695,Azerbaijan,AZ,Beyləqan,admin,,
Ağsu,5387471.064508885,4949000.0920130825,Azerbaijan,AZ,Ağsu,admin,,
Qobustan,5446661.530195013,4943789.420567294,Azerbaijan,AZ,Qobustan,admin,,
Bərdə,5246063.585146551,4920699.060005651,Azerbaijan,AZ,Bərdə,admin,,
Ordubad,5123227.647752751,4708732.238648569,Azerbaijan,AZ,Ordubad,admin,,
Balakən,5165756.479973886,5120062.012088222,Azerbaijan,AZ,Balakən,admin,,
İsmayıllı,5360190.33085865,4980658.10776414,Azerbaijan,AZ,İsmayıllı,admin,,
Şuşa,5204174.283400024,4831135.4344865875,Azerbaijan,AZ,Şuşa,admin,,
Samux,5166190.403348998,4977719.308386588,Azerbaijan,AZ,Samux,admin,,
