city,x,y,country,iso2,admin,capital,population,population_proper
Minsk,3068707.3333077384,7151240.192854466,Belarus,BY,,primary,1805000,1577138
Horad Homyel’,3449048.852638429,6880381.888095821,Belarus,BY,Homyel’skaya Voblasts’,admin,480951,463724
Horad Mahilyow,3377031.3759866655,7153864.739738765,Belarus,BY,Mahilyowskaya Voblasts’,admin,369200,317854
Horad Vitsyebsk,3361230.1308660144,7399316.428114458,Belarus,BY,Vitsyebskaya Voblasts’,admin,342700,323937
Hrodna,2652966.104585296,7124061.551745546,Belarus,BY,Hrodzyenskaya Voblasts’,,317365,254369
Brest,2636908.3793578567,6817782.638183176,Belarus,BY,Brestskaya Voblasts’,admin,300715,232835
Babruysk,3252911.368266564,7008639.318516709,Belarus,BY,Mahilyowskaya Voblasts’,minor,220517,205126
Baranavichy,2895854.101547139,7007581.649264057,Belarus,BY,Brestskaya Voblasts’,minor,168772,144257
Horad Barysaw,3173162.085062263,7213436.521859847,Belarus,BY,Minskaya Voblasts’,minor,155389,100000
Orsha,3386027.2153571607,7266977.724788162,Belarus,BY,Vitsyebskaya Voblasts’,minor,135206,125347
Pinsk,2904893.244199553,6822377.928642875,Belarus,BY,Brestskaya Voblasts’,minor,130777,110900
Mazyr,3255605.2999437614,6809080.642557497,Belarus,BY,Homyel’skaya Voblasts’,minor,112137,89735
Maladzyechna,2989373.6057625683,7230365.112811744,Belarus,BY,Minskaya Voblasts’,minor,101300,90810
Lida,2816352.1702513807,7148091.850220769,Belarus,BY,Hrodzyenskaya Voblasts’,,100216,98036
Polatsk,3204398.334178855,7457139.21518571,Belarus,BY,Vitsyebskaya Voblasts’,minor,82258,76174
Vyetka,3470874.931239794,6901856.155736164,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Horad Kobryn,2712454.0159508223,6839295.816421905,Belarus,BY,Brestskaya Voblasts’,minor,,
Horad Pinsk,2902408.3705260656,6822103.972321903,Belarus,BY,Brestskaya Voblasts’,minor,,
Horad Luninyets,2983300.4596228506,6845506.051426937,Belarus,BY,Brestskaya Voblasts’,minor,,
Byaroza,2780605.032728863,6896785.650579586,Belarus,BY,Brestskaya Voblasts’,minor,,
Dobrush,3486938.333761263,6874400.200667684,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Brahin,3369384.951483567,6761703.572324267,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Asipovichy,3188034.3690322447,7038888.643213697,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Slawharad,3451060.0618785913,7065346.352004388,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Klyetsk,2964671.8107555415,6994752.350121744,Belarus,BY,Minskaya Voblasts’,minor,,
Horad Smalyavichy,3126897.704688579,7174873.4670342235,Belarus,BY,Minskaya Voblasts’,minor,,
Chachersk,3441764.884397353,6967549.129403221,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Chavusy,3447753.873002031,7134216.667595076,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Pastavy,2989028.515341109,7383944.844794095,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Kapyl’,3015789.720927812,7011089.196755158,Belarus,BY,Minskaya Voblasts’,minor,,
Kastsyukovichy,3567945.5272115283,7048468.923176928,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Krychaw,3530720.289490258,7115894.172226605,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Shklow,3371611.341299432,7210618.631963564,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Salihorsk,3065905.755682944,6943805.902413018,Belarus,BY,Minskaya Voblasts’,minor,,
Horad Orsha,3384700.064387923,7268354.125443978,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Braslaw,3010279.406133545,7487337.518700243,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Krupki,3243560.531039929,7230575.042752487,Belarus,BY,Minskaya Voblasts’,minor,,
Mahilyow,3377978.816172807,7154414.93001201,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Svyetlahorsk,3310519.204752084,6915380.946023718,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Zhlobin,3342256.3915772457,6963156.483428527,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Astravyets,2889531.1544700814,7287405.038505851,Belarus,BY,Hrodzyenskaya Voblasts’,minor,,
Lyel’chytsy,3153547.5907844882,6761559.607371341,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Drybin,3461357.114776969,7192763.746801957,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Chashniki,3246165.407124492,7334432.797030984,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Cherykaw,3493550.711514384,7088930.218621474,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Masty,2731635.588728902,7059610.725745655,Belarus,BY,Hrodzyenskaya Voblasts’,admin,,
Hlybokaye,3082492.3598111416,7388773.195179463,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Homyel’,3448165.755117966,6879073.156630103,Belarus,BY,Homyel’skaya Voblasts’,admin,,
Hantsavichy,2942174.1416662205,6938359.321643383,Belarus,BY,Brestskaya Voblasts’,minor,,
Myadzyel,2998624.2554474897,7338398.455938426,Belarus,BY,Minskaya Voblasts’,minor,,
Bykhaw,3366902.5268388763,7079956.343654822,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Loyew,3428117.1148260976,6790331.32589802,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Khoyniki,3334597.6106106685,6780458.838065322,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Staryya Darohi,3146668.0462534637,6990437.296843902,Belarus,BY,Minskaya Voblasts’,minor,,
Ashmyany,2887182.313214343,7250295.3040814465,Belarus,BY,Hrodzyenskaya Voblasts’,minor,,
Rasony,3207504.1479719877,7539685.90943196,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Lyakhavichy,2923873.2173798066,6990178.097540117,Belarus,BY,Brestskaya Voblasts’,minor,,
Kalinkavichy,3264521.991156303,6824082.432087296,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Krasnapollye,3495420.8789597107,7045261.785632498,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Lyozna,3428306.3579604463,7366661.355848269,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Slonim,2818197.6247697514,6999088.272661329,Belarus,BY,Hrodzyenskaya Voblasts’,minor,,
Smarhon’,2938355.8831320116,7261553.479153259,Belarus,BY,Hrodzyenskaya Voblasts’,minor,,
Haradok,3337859.271690911,7452130.694803211,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Vilyeyka,2995729.948686864,7263776.390717975,Belarus,BY,Minskaya Voblasts’,minor,,
Shchuchin,2754767.7789157447,7095024.753996658,Belarus,BY,Hrodzyenskaya Voblasts’,admin,,
Horad Rechytsa,3383524.9758431097,6866190.584231813,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Mstsislaw,3531243.491096986,7173660.751382741,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Vyerkhnyadzvinsk,3110144.121324191,7514288.693988334,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Aktsyabrski,3214918.0260588196,6917417.135277572,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Narowlya,3283969.506197888,6763341.353397564,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Zhytkavichy,3100926.867486508,6839421.002681324,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Karma,3428818.427618095,7007099.250236352,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Khotsimsk,3626566.3710632664,7058938.415411847,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Lyuban’,3117480.0757674677,6945812.502423621,Belarus,BY,Minskaya Voblasts’,minor,,
Yel’sk,3245208.05950367,6766581.894065613,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Kobryn,2711342.0455572885,6838875.938808128,Belarus,BY,Brestskaya Voblasts’,minor,,
Dokshytsy,3090974.905009589,7340894.953557852,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Zhabinka,2672947.9531826884,6836078.523589019,Belarus,BY,Brestskaya Voblasts’,minor,,
Hrodna,2652275.9237423777,7111362.468200589,Belarus,BY,Hrodzyenskaya Voblasts’,admin,,
Horki,3449379.137567613,7224546.561901822,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Hlusk,3193143.9336596555,6965075.662154394,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Slutsk,3067931.7704153815,6988067.787874383,Belarus,BY,Minskaya Voblasts’,minor,,
Sharkawshchyna,3057790.564804114,7433793.781420935,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Buda-Kashalyova,3403047.9654994523,6930986.577306729,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Malaryta,2679905.4213572685,6762333.44901551,Belarus,BY,Brestskaya Voblasts’,minor,,
Byalynichy,3307758.48138041,7170042.662001063,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Nyasvizh,2969770.243433873,7023591.58690881,Belarus,BY,Minskaya Voblasts’,minor,,
Pyetrykaw,3171726.06363103,6823465.868055732,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Horad Zhodzina,3154026.2645948995,7188833.129471375,Belarus,BY,Minskaya Voblasts’,minor,,
Myory,3075546.0235856418,7483571.060167374,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Pruzhany,2722574.1821783297,6901288.539429074,Belarus,BY,Brestskaya Voblasts’,minor,,
Talachyn,3305687.9388516555,7247942.320717145,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
Voranava,2817629.895366706,7198463.779420406,Belarus,BY,Hrodzyenskaya Voblasts’,minor,,
Valozhyn,2952927.6044768505,7187067.838568194,Belarus,BY,Minskaya Voblasts’,minor,,
Rahachow,3345095.0385924736,7000293.11392625,Belarus,BY,Homyel’skaya Voblasts’,minor,,
Kirawsk,3281164.255029897,7032967.3164224755,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Luninyets,2983885.55486646,6844946.394480027,Belarus,BY,Brestskaya Voblasts’,minor,,
Ivatsevichy,2820847.0286506317,6929351.151793161,Belarus,BY,Brestskaya Voblasts’,minor,,
Horad Krychaw,3530404.9213728406,7113334.474743523,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Klimavichy,3557615.078465913,7096244.223701147,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Klichaw,3265624.054115156,7074584.372650502,Belarus,BY,Mahilyowskaya Voblasts’,minor,,
Dubrowna,3416506.4919363586,7279162.423382035,Belarus,BY,Vitsyebskaya Voblasts’,minor,,
