city,x,y,country,iso2,admin,capital,population,population_proper
Brussels,482384.42299768847,6591865.043604825,Belgium,BE,Brussels-Capital Region,primary,1743000,1019022
Antwerp,489974.2971994647,6659215.242226203,Belgium,BE,Flanders,minor,920000,459805
Liège,620074.9445624347,6557626.504665764,Belgium,BE,Wallonia,minor,749110,196496
Gent,413737.4778881637,6630142.913981801,Belgium,BE,Flanders,minor,444336,231493
Charleroi,495648.1403257071,6517493.674189135,Belgium,BE,Wallonia,minor,345367,200132
Brugge,359113.4490338675,6658690.484741131,Belgium,BE,Flanders,minor,146469,116709
Namur,537202.2590854558,6528059.493520289,Belgium,BE,Wallonia,admin,106284,88027
Mons,439892.66016698803,6525497.1135012545,Belgium,BE,Wallonia,minor,91277,91277
Hasselt,593703.9137909621,6609509.563821727,Belgium,BE,Flanders,minor,69222,69222
Arlon,647508.4085540381,6391614.239420592,Belgium,BE,Wallonia,minor,26179,26179
Mouscron,356933.4794456629,6576304.898689381,Belgium,BE,Wallonia,minor,,
Vilvoorde,490598.0203063795,6607312.521469041,Belgium,BE,Flanders,minor,,
Virton,615884.8789289758,6371835.6731422385,Belgium,BE,Wallonia,minor,,
Tournai,377297.48785494873,6552095.109438727,Belgium,BE,Wallonia,minor,,
Leuven,523095.6305731506,6599977.348930879,Belgium,BE,Flanders,minor,,
Ieper,321233.31874826003,6595004.586218345,Belgium,BE,Flanders,minor,,
Roeselare,347626.8360568728,6611803.662863769,Belgium,BE,Flanders,minor,,
Dendermonde,456527.79959317175,6626370.398476305,Belgium,BE,Flanders,minor,,
Tielt,370367.4042751043,6621171.139979306,Belgium,BE,Flanders,minor,,
Veurne,296375.2311761588,6634093.974023972,Belgium,BE,Flanders,minor,,
Oudenaarde,401742.46879671613,6595100.154008945,Belgium,BE,Flanders,minor,,
Philippeville,505807.26837499207,6480310.597186196,Belgium,BE,Wallonia,minor,,
Waremme,584934.2756257588,6567569.492309546,Belgium,BE,Wallonia,minor,,
Oostende,324146.1045443568,6660904.717218786,Belgium,BE,Flanders,minor,,
Wavre,515371.05978751456,6570842.536393207,Belgium,BE,Wallonia,minor,,
Thuin,477554.3816116592,6505622.747469021,Belgium,BE,Wallonia,minor,,
Ath,420568.7097601837,6556028.504400874,Belgium,BE,Wallonia,minor,,
Hannut,565389.5786687114,6563375.371382175,Belgium,BE,Wallonia,minor,,
Marche-en-Famenne,593703.9137909621,6480984.632951007,Belgium,BE,Wallonia,minor,,
Tongeren,608546.5867763924,6583056.958263894,Belgium,BE,Flanders,minor,,
Maaseik,644607.6452629471,6638207.5292155435,Belgium,BE,Flanders,minor,,
Mechelen,498636.4007365617,6626300.838598245,Belgium,BE,Flanders,minor,,
Lincent,560323.651281691,6570734.064454157,Belgium,BE,Wallonia,minor,,
Huy,583456.1754270057,6537449.663713096,Belgium,BE,Wallonia,minor,,
Nivelles,481627.0051823311,6550573.941558763,Belgium,BE,Wallonia,minor,,
Aalst,449229.6937767647,6609987.904622383,Belgium,BE,Flanders,minor,,
Enghien,448766.27073659224,6566562.23072382,Belgium,BE,Wallonia,minor,,
Soignies,453084.01982599095,6547231.794592273,Belgium,BE,Wallonia,minor,,
Dinant,548089.6392435104,6492236.206967047,Belgium,BE,Wallonia,minor,,
Eeklo,395911.9991469276,6654443.5509435795,Belgium,BE,Flanders,minor,,
Neufchâteau,605060.0603247471,6418740.015895303,Belgium,BE,Wallonia,minor,,
Turnhout,550442.7106398985,6678546.139711377,Belgium,BE,Flanders,minor,,
Verviers,654221.307807345,6548308.582301941,Belgium,BE,Wallonia,minor,,
Kortrijk,363747.0115186468,6590229.550265409,Belgium,BE,Flanders,minor,,
Bastogne,636573.8289318873,6446877.151968447,Belgium,BE,Wallonia,minor,,
Sint-Niklaas,461274.9079585601,6650548.705513736,Belgium,BE,Flanders,minor,,
Diksmuide,318800.7652354454,6627041.601953672,Belgium,BE,Flanders,minor,,
