city,x,y,country,iso2,admin,capital,population,population_proper
Santa Cruz,-7033401.091681033,-2012199.235493795,Bolivia,BO,Santa Cruz,,2102998,1616063
La Paz,-7586423.297561595,-1862698.872150688,Bolivia,BO,La Paz,primary,1590000,812799
Cochabamba,-7364540.954553968,-1966212.4273109864,Bolivia,BO,Cochabamba,admin,1000000,608276
Oruro,-7475103.806768321,-2035597.7939054687,Bolivia,BO,Oruro,admin,246501,208684
Quillacollo,-7378075.512203088,-1966536.6029318457,Bolivia,BO,Cochabamba,,227052,227052
Sucre,-7264605.106208706,-2160546.263421784,Bolivia,BO,Chuquisaca,primary,224838,221736
Potosí,-7319596.712021601,-2223768.623745286,Bolivia,BO,Potosí,admin,179901,141251
Tarija,-7205493.788680533,-2454674.3465105644,Bolivia,BO,Tarija,admin,159269,151757
Montero,-7041013.45241995,-1960283.1794988215,Bolivia,BO,Santa Cruz,,88616,79026
Trinidad,-7224634.952483456,-1669999.8196354166,Bolivia,BO,El Beni,admin,84259,54408
Riberalta,-7354112.767295437,-1232849.0329292188,Bolivia,BO,El Beni,,74014,74014
Cobija,-7653995.898265473,-1234211.1746807753,Bolivia,BO,Pando,admin,44437,26585
Villazón,-7302060.9979149,-2522098.293995273,Bolivia,BO,Potosí,,37215,30253
Bermejo,-7161989.241122595,-2599647.344223332,Bolivia,BO,Tarija,,36544,36544
Guayaramerín,-7278439.335927038,-1209433.8422168824,Bolivia,BO,El Beni,,36008,36008
Viacha,-7603121.221180585,-1880120.7294082856,Bolivia,BO,La Paz,,34776,34776
Tupiza,-7315777.896889937,-2444833.8978295783,Bolivia,BO,Potosí,,28766,22233
Llallagua,-7412083.616640431,-2087267.6028732886,Bolivia,BO,Potosí,,28069,28069
Camiri,-7070828.151639113,-2277591.035245114,Bolivia,BO,Santa Cruz,,27961,10464
Punata,-7328687.840876216,-1984049.5409711238,Bolivia,BO,Cochabamba,,26323,15194
San Ignacio de Velasco,-6784922.963850024,-1847224.1575243613,Bolivia,BO,Santa Cruz,,25391,23569
Puerto Suárez,-6434266.567851212,-2149050.108801489,Bolivia,BO,Santa Cruz,,22000,12546
