city,x,y,country,iso2,admin,capital,population,population_proper
Sarajevo,2046423.2686431822,5442258.605045214,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",primary,696731,628902
Banja Luka,1914012.2965682885,5586705.75582048,Bosnia And Herzegovina,BA,"Srpska, Republika",admin,221738,221106
Heca,1992672.4298746684,5503164.260256479,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",,164423,138353
Mostar,1982383.7259381001,5364377.500054925,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,163067,104518
Tuzla,2078011.0647116997,5549145.368356488,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,144334,142486
Prijedor,1860595.3049526638,5618359.281156614,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,104858,36347
Kladanj,2080866.632289529,5500590.418629841,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Šekovići,2098964.2871857546,5511823.940153225,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Laktaši,1925977.6946751855,5607139.012924809,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Lopare,2097637.247536008,5564238.603665211,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bosansko Grahovo,1821619.7908776505,5493253.679284338,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Petrovo,2043072.3293313233,5563153.3149148375,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bosanski Petrovac,1822185.8504883347,5551792.944448144,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Šamac,2055799.0414357546,5630950.933936105,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Milići,2125306.597528603,5491811.930827526,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Čajniče,2123069.6323611117,5397160.105396963,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Hreša,2059075.6193277643,5446581.9266916085,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bihać,1766733.0480250823,5592748.955246168,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Hadžići,2026756.8994826977,5437971.719384571,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Han Pijesak,2109791.1095408173,5478079.751902515,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Sokolac,2092894.0353527972,5455878.674148275,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Sapna,2114867.7235989543,5543740.92680777,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Modriča,2037373.1053611797,5614606.840249846,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kotor Varoš,1933847.092118343,5561631.18842137,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Vlasenica,2108498.5789332166,5493624.668633988,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kupres,1923198.7149070222,5464317.048264607,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Bratunac,2151900.04464268,5494046.279808768,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Glamoč,1875578.7970939477,5472537.687342041,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Lukavac,2062325.03526402,5549775.093570231,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Srebrenica,2148097.370837182,5482090.054125167,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Donji Žabar,2075744.9338376212,5612579.041119497,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Fojnica,1992939.0400551185,5459180.409533672,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Omanjska,1999028.1048820196,5574150.643585828,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Kopači,2118236.807987813,5415796.897309106,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Tešanj,2002138.4827742747,5560630.809173127,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Ugljevik,2117362.1707486496,5568805.183225939,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Novo Selo,1909748.6487514153,5477842.19270589,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Jezero,1911221.8508925736,5519694.139481207,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Brčko,2093933.425438334,5601071.115406853,Bosnia And Herzegovina,BA,Brcko District,admin,,
Ljubuški,1953100.465967985,5341996.937369664,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Bužim,1784734.1889227903,5629964.605316609,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Tomislavgrad,1917494.8155182651,5421979.9421017375,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Mrkonjić Grad,1901657.9481605606,5530247.352205634,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Ilijaš,2033949.919699796,5457904.970927685,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Dobratići,1938546.110463709,5524113.189458672,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Živinice,2076083.790367596,5535235.999721759,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Gornji Vakuf,1957924.2734625295,5455861.2053491855,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Žepče,2007956.2620021126,5531709.054787788,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Ustikolina,2090940.6009283569,5403077.836736352,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Travnik,1966550.643443082,5500539.930974723,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Prozor,1960243.5037337167,5437971.719384571,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Rudo,2155945.72889658,5406486.798712357,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Jajce,1922553.6184578752,5518525.426708603,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Prnjavor,1966187.296625133,5601112.268735501,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Lukavica,2046406.6820390539,5438697.6859118845,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kiseljak,2012803.2239507425,5456617.186404546,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Stolac,1999292.8226311258,5324766.255913464,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Zavidovići,2020417.8110794749,5534697.094185279,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Drvar,1823505.988329652,5523485.859171388,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Šipovo,1902001.9253871115,5509244.548813644,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Novi Travnik,1965696.8229486977,5491993.669576927,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Ravno,1999915.6551821143,5294850.476299894,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Velika Kladuša,1759492.8283438878,5650688.225431065,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Potoci,1850131.2728180962,5526401.878073314,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Breza,2032763.6992059029,5468323.968698841,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Čapljina,1968623.3010421619,5330466.780244692,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Čelić,2094447.83280529,5578369.210432026,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Matuzići,2009189.2366821386,5572498.5892678695,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Rogatica,2115474.303504287,5434379.914128472,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Cazin,1774772.8756086451,5616318.995847432,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Gacko,2063337.7086717666,5337459.476177591,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Domaljevac,2068997.5255421686,5631145.722572423,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Bijeljina,2138933.6616745703,5583619.510500976,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Vogošća,2042087.3744767841,5450327.2767750565,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Široki Brijeg,1958572.932135382,5370435.620957037,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Teslić,1988135.1587494256,5559766.884196906,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Gornji Ribnik,1872048.8560408931,5530282.730806635,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Čitluk,1970447.7161767727,5346833.761323233,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Orašje,2080933.0900255325,5626822.279276738,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Maglaj,2014885.6776650124,5550596.363254644,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Berkovići,2022706.0945322213,5326400.6326592965,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Višegrad,2147638.28925715,5431859.976453724,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Olovo,2068388.9418860015,5485225.52134619,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Kneževo,1934911.9743672716,5541697.708679065,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Neum,1960954.7239603952,5300309.618811665,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Zvornik,2126476.899335312,5525379.973745478,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Drinić,1833097.1643369098,5544195.297742901,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Brod,2002327.725908623,5643188.875860462,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bosanska Krupa,1797964.3990840802,5603042.444631002,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Novi Grad,1823170.6940233828,5628833.273242541,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Ilidža,2037149.6871431577,5439077.124554909,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Vitez,1980383.2033690545,5489342.7520948015,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Livno,1893262.2321649315,5438700.617667422,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Donji Dubovik,1817301.485190798,5604253.040328949,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bileća,2051581.3685685794,5293185.14472472,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kalesija,2104731.861323245,5533421.063067699,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Zenica,1993061.1575365185,5496706.790086851,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Oštra Luka,1854659.3044256037,5599550.3014362855,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Foča,2090417.5106411194,5389380.248542111,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Gračanica,2038271.2310129001,5574896.907081603,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Teočak,2112807.0885048797,5559269.3632469755,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Odžak,2039492.2945074115,5625397.4469225565,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Trnovo,2053391.6461278598,5413868.4780494915,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Jablanica,1977219.726079691,5413019.054755345,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Goražde,2112358.5822764733,5414199.958978048,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Čelinac,1927921.4443039265,5580678.340790628,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Banovići,2062357.8745138035,5528481.402037098,Bosnia And Herzegovina,BA,,minor,,
Konjic,1999388.8913516807,5411631.5236030705,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Osmaci,2105761.455293592,5527800.639522806,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Grude,1936409.332837932,5370537.0188121945,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Pelagićevo,2069635.831502377,5605957.576290159,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Nevesinje,2016367.0061289985,5351418.132991563,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kostajnica,1841145.5635212634,5656153.038997437,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Gradiška,1920765.15951879,5644351.842659085,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kozarska Dubica,1871218.7465980477,5649377.101180187,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kreševo,2008574.6417734695,5444660.182539913,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Ključ,1867587.3934888802,5548222.568589035,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Srebrenik,2058112.928371384,5575698.523575628,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Pale,2067145.8371323133,5437110.508747355,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Vareš,2040300.696649552,5490925.63753153,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Donji Vakuf,1936959.13980296,5487693.279722632,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Vukosavlje,2039750.2217675797,5624224.641470405,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Posušje,1928744.540618852,5384217.6552503565,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Kalinovik,2053454.2076816855,5389101.991133023,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
